Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_BOSSLucy_0_Description,Text,,,"At the start of the turn, draw only 1 skill.",,回合开始后抽取技能时，只能抽取1个技能。,
Buff/B_BOSSLucy_0_Name,Text,,,Slow +,,减速+,
Buff/B_BOSSLucy_C2_Description,Text,,,"When the turn ends, based on the total overload of all allies this turn, deal additional attacks to a random enemy, each deal 4 damage, then remove this buff.
(Chase Count: &a)",,"按下结束回合键时，根据本回合内所有调查员过载总和对随机敌人追加攻击，每次造成4点伤害，随后移除此增益。
(追击次数：&a)",
Buff/B_BOSSLucy_C2_Name,Text,,,Imageless Drift,,无想空转,
Buff/B_BOSSLucy_C4_Description,Text,,,"Whenever a skill with an included [Drift] debuff is used, deal 10 pain damage to the skill owner.
Drawn non-Lucy skills gain a [Drift] debuff.",,"每当使用附带空转减益的技能时，对技能拥有者造成10点痛苦伤害。
抽取的非露西技能附带空转减益。",
Buff/B_BOSSLucy_C4_Name,Text,,,Cutting Kite,,切风筝,
Buff/B_BOSSLucy_C5_Name,Text,,,Shallow Sigh,,浅悠叹,
Buff/B_BOSSLucy_Furure_0_Description,Text,,,Immune to effects from the [Tribute] buff.,,免疫来自祭奠增益的效果。,
Buff/B_BOSSLucy_Furure_0_Name,Text,,,Embrace the Future,,拥抱未来,
Buff/B_BOSSLucy_Future_Description,Text,,,"At the begin of the turn, all allies take pain damage equal to their remaining health.
At the end of the turn, all allies lose their healing gauge.
When future Lucy is present, ""The Fate Reverser"" Lucy cannot die.",,"回合开始时，所有队员受到相当于剩余体力值的痛苦伤害。
回合结束时，所有队员失去体力极限。
未来的露西在场时，反转命运者·露西不会死亡。",
Buff/B_BOSSLucy_Future_Name,Text,,,Tribute,,祭奠,
Buff/B_BOSSLucy_Hide_Name,Text,,,,,,
Buff/B_BOSSLucy_LucyAttack_Description,Text,,,"When play a Lucy skill, Lucy automatically attacks ""The Fate Reverser"" Lucy.",,使用露西技能时，露西自动向反转命运者·露西发动攻击。,
Buff/B_BOSSLucy_LucyAttack_Name,Text,,,Lucy’s Support,,露西的支援,
Buff/B_BOSSLucy_M0_Description,Text,,,"Whenever using potion, ""The Fate Reverser"" Lucy randomly selects a skill from Super Healing Potion, Super Purification Potion, Super Smoke Bomb, or Super Gear as an additional action.",,每当使用药水时，反转命运者·露西从超级治疗药水、超级净化药水、超级烟雾弹、超级齿轮中随机选择一个技能作为增加的行动。,
Buff/B_BOSSLucy_M0_Name,Text,,,Virtual Potion,,虚拟药水,
Buff/B_BOSSLucy_M1_Name,Text,,,Super Purification,,超级净化,
Buff/B_BOSSLucy_M2_Description,Text,,,Evade all attacks.,,闪避所有攻击。,
Buff/B_BOSSLucy_M2_Name,Text,,,Super Smoke,,超级烟雾,
Buff/B_BOSSLucy_NO2_Description,Text,,,Remove this buff when cast [Self-Duel].,,使用技能自我的对决后移除此增益。,
Buff/B_BOSSLucy_NO2_Name,Text,,,Invincible,,无敌,
Buff/B_BOSSLucy_NO3_Description,Text,,,Remove this buff when cast [Superego-Duel].,,使用技能超我的对决后移除此增益。,
Buff/B_BOSSLucy_NO3_Name,Text,,,Invincible,,无敌,
Buff/B_BOSSLucy_NO_Description,Text,,,Remove this buff when cast [Sword Retrieval].,,使用技能拾剑后移除此增益。,
Buff/B_BOSSLucy_NO_Name,Text,,,Invincible,,无敌,
Buff/B_BOSSLucy_Past_0_Description,Text,,,"Immune to effects from the [Howling] buff.
At the begin of the turn, mana will not decrease due to the [Howling] buff.",,"免疫来自嚎哭增益的效果。
回合开始时法力值不会因嚎哭增益减少。",
Buff/B_BOSSLucy_Past_0_Name,Text,,,Wipe Away Tears,,拭去泪水,
Buff/B_BOSSLucy_Past_Description,Text,,,"At the begin of the turn, all allies lose 1 level (minimum level 2).
At the end of the turn, if there are remaining skills, calculate their number; at the start of the next turn, lose mana equal to that number.
When past Lucy is present, ""The Fate Reverser"" Lucy cannot die.",,"回合开始时，所有队员的等级下降1级（最低2级）。
回合结束时若手中有剩余技能，则计算其数量，下一回合开始时失去与数量等值的法力值。
过去的露西在场时，反转命运者·露西不会死亡。",
Buff/B_BOSSLucy_Past_Name,Text,,,Howling,,嚎哭,
Buff/B_BOSSLucy_Star_Description,Text,,,<color #00FFFF>"The Fate Reverser" Lucy WILL NOT GIVE UP.</color>,,<color #00FFFF>反转命运者·露西不会放弃。</color>,
Buff/B_BOSSLucy_Star_Name,Text,,,Gathering Wishes,,聚集的祈愿,
