Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/Chiyo_BadDay_Buff_Description,Text,,,Resist all <color=purple>Pain damage</color>. ,,免疫所有<color=purple>痛苦伤害</color>。 ,
Buff/Chiyo_BadDay_Buff_Name,Text,,,Just Another Painful Day,,只是另一个痛苦的一天,
Buff/Chiyo_Freelancing_Buff_Description,Text,,,"Remove one stack at the start of the turn and earn &EarnGold Gold.
Earn additional &BonusGold Gold if at Death's Door.
Scales based on Attack Power and Healing Power.",,"回合开始时，移除1层该增益并获得&EarnGold金币。
如果自身处于濒死状态，获得额外&BonusGold金币。
基于自身攻击力和治疗力，提升获得金币的数量。",
Buff/Chiyo_Freelancing_Buff_Name,Text,,,Freelancing,,自由职业,
Buff/Chiyo_HardwareAcceleration_Buff_Name,Text,,,Hardware Acceleration,,硬件加速,
Buff/Chiyo_MoneyEqualsLife_Buff_Description,Text,,,"Remove one stack after you gain or lose gold.
Heal all other allies by &HealAmount after you gain gold.
Deal &DamageAmount damage to a random enemy after you lose gold.
Healing and damage are boosted when at Death's Door.",,"获得或失去金币时移除1层。
获得金币时，治疗所有其他友军&HealAmount点体力。
失去金币时，对1个随机敌人造成&DamageAmount点伤害。
如果自身处于濒死状态，治疗和伤害会获得增幅。",
Buff/Chiyo_MoneyEqualsLife_Buff_Name,Text,,,Money = Life,,金钱 = 生命,
Character/Chiyo_CampSelectWord,Text,,,"Phew, finally a break!",,呼，总算可以休息一下！,
Character/Chiyo_PassiveDes,Text,,,"Create a 'Breadwinner' skill when the <b>party earns gold during battle</b>.

Create an 'Emergency Hack' skill when <b>Chiyo reaches Death's Door</b>.

This passive can be activated up to 5 times per turn.",,"当<b>战斗中获得金币时</b>，生成1张“养家糊口”加入手中。
当<b>七曜进入濒死状态时</b>，生成1张“紧急骇客”加入手中。

该被动效果1回合仅能生效5次。",
Character/Chiyo_PassiveName,Text,,,Hacker's Life,,骇客生活,
Character/Chiyo_SelectInfo,Text,,,"Chiyo is an Ark researcher with a sussy background and a sassy attitude. She is a lazy genius who only gets serious when danger knocks on her door.

She is adept at earning money due to her unique ""career experience"". Furthermore, she can leverage what she has earned to gain additional benefits.",,"七曜是一个背景可疑、态度尖酸的方舟调查员。她是一个懒惰成性的天才，当且仅当危险到来时才愿意全力以赴。

由于她独特的“职业经历”，她擅长赚取金币；此外，她还能够使用赚到的金币获取更多的好处。",
Character/Chiyo_Text_Battle_AllyND_0,Text,,,Are you really going to kick the bucket before I do?,,你不会比我先死吧？,
Character/Chiyo_Text_Battle_AllyND_1,Text,,,I guess there are fates worse than mine...,,怎么会有人的运气比我还差啊……,
Character/Chiyo_Text_Battle_Cri_0,Text,,,Git owned!,,你逊爆了！,
Character/Chiyo_Text_Battle_Cri_1,Text,,,Probability theory strikes again!,,概率论又一次生效了！,
Character/Chiyo_Text_Battle_Healed_0,Text,,,Thankies~!,,谢谢亲~！,
Character/Chiyo_Text_Battle_Healed_1,Text,,,Phew. Really needed that.,,呼。我太需要了。,
Character/Chiyo_Text_Battle_Idle_0,Text,,,"Time is money, and money is life.",,时间就是金钱，然后金钱就是生命。,
Character/Chiyo_Text_Battle_Idle_1,Text,,,"If you overthink it, you'll end up forgetting something.",,如果你总是钻牛角尖，你就容易忘掉其他的事。,
Character/Chiyo_Text_Battle_Kill_0,Text,,,Deleted.,,——已删除。,
Character/Chiyo_Text_Battle_Kill_1,Text,,,Anybody around here buying corpses?,,嘿，这儿有人想买尸体吗？,
Character/Chiyo_Text_Battle_ND_0,Text,,,"Meh, I've had worse days.",,呃……我经历过更糟糕的日子。,
Character/Chiyo_Text_Battle_ND_1,Text,,,Death's Door? That's like my second name.,,“濒死”？简直就是我的称号嘛。,
Character/Chiyo_Text_Battle_Start_0,Text,,,Time to earn some money~!,,赚钱的好时机到啦~！,
Character/Chiyo_Text_Battle_Start_1,Text,,,Behold the super hacka!,,超级骇客登~场！,
Character/Chiyo_Text_Field_GetItem_0,Text,,,"Yay, goodies~",,耶！战利品~,
Character/Chiyo_Text_Field_GetItem_1,Text,,,I wonder how much I can sell this for?,,我想知道这玩意儿能卖多少钱？,
Character/Chiyo_Text_Field_Idle_0,Text,,,If only I could stop time...,,要是我能停止时间就好了……,
Character/Chiyo_Text_Field_Idle_1,Text,,,Time's a-wastin'.,,我们这是在浪费时间。,
Character/Chiyo_Text_Field_Potion_P_0,Text,,,Nice!,,漂亮！,
Character/Chiyo_Text_PharosLeader_0,Text,,,This is some advanced mind hacking...,,这是一种高端思维骇入……,
Character/Chiyo_Text_PharosLeader_1,Text,,,The mind virus is gone! Hooray!,,思维病毒已解除。万岁！,
Character/Chiyo_Text_PharosLeader_2,Text,,,Whoopise~,,哎呀~~,
Character/Chiyo_Text_Witch_0,Text,,,I better get paid for this.,,我最好能拿到点赔偿费……,
Character/Chiyo_Text_Witch_1,Text,,,Don't you dare misclicking over here.,,别在我头上乱点。,
Character/Chiyo_name,Text,,,Chiyo,,七曜,
Item_Consume/BagOfGoldForTests_Description,Text,,,Gives gold. Used for tests.,,给点金币。用来测试。,
Item_Consume/BagOfGoldForTests_name,Text,,,BagOfGold,,一袋金币,
Item_Consume/DeathDoorEnablerForTests_Description,Text,,,Put the target at Death's Door.,,让目标陷入濒死状态。,
Item_Consume/DeathDoorEnablerForTests_name,Text,,,Death's Door Enabler,,濒死状态启动器,
Skill/Chiyo_AngraMainyu_Description,Text,,,"The user receives &SelfPainDamage <color=purple>Pain damage</color> (equal to their remaining health).
Deal &EnemyPainDamage damage to all enemies (equal to &DamagePercent% of the user's remaining health).",,"受到&SelfPainDamage<color=purple>痛苦伤害</color>（等量于自身剩余体力）。
对所有敌人造成&EnemyPainDamage伤害（等量于&DamagePercent%自身剩余体力）。",
