Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_HakureiReimu_F_0_1_Description,Text,,,,,,
Buff/B_HakureiReimu_F_0_1_Name,Text,,결계,Boundary,結界,结界,
Buff/B_HakureiReimu_F_0_2_Description,Text,,다음 턴 시작 시 자신의 스킬을 우선으로 1장 드로우한다. 발동 후 제거된다,"At the start of next turn, draw a skill from the deck prioritizing owner's skills.",次のターンの開始時、自身のスキルを優先して1枚引く。効果発動後、除去される。,下个回合开始时，优先抽取1个自己的技能；触发后移除。,
Buff/B_HakureiReimu_F_0_2_Name,Text,,영력급증,Surging Spirit,霊力急増,灵力狂涌,
Buff/B_HakureiReimu_F_0_Description,Text,,다음 턴 시작 시 스킬을 1장 드로우한다. 발동 후 제거된다,"At the start of next turn, draw a skill.",次のターンの開始時、スキルを1枚引く。効果発動後、除去される。,下个回合开始时，抽取1个技能；触发后移除。,
Buff/B_HakureiReimu_F_0_Name,Text,,영력충만,Abundant Spirit,霊力充満,灵力充沛,
Buff/B_HakureiReimu_F_10Rare_Description,Text,,자신의 스킬을 7번 사용하면 무작위 적에게 &a(600%)의 피해를 입힌다. 발동 후 제거된다,"After using 7 skills, this buff will be removed and deal damage to random enemies equal to %a[600% ATK].",自身のスキルを7回使用後、ランダムな敵に&a(600%)ダメージを与える。効果発動後、除去される。,使用7个技能后，移除该增益，对随机敌人造成&a(600%)伤害。,
Buff/B_HakureiReimu_F_10Rare_Name,Text,,몽상천생,Innate Dream,夢想天生,梦想天生,
Buff/B_HakureiReimu_F_11Rare_0_Description,Text,,같은 이름의 기술을 연속 사용해도 <color=#B22222>스펠카드 레벨</color>이 감소되지 않는다. 이 버프가 제거되면 모든 <color=#B22222>스펠카드 레벨</color>을 잃는다,"Consecutive skill uses will not lower <color=#B22222>Spell Card Level</color>. After the effect ends, all <color=#B22222>Spell Card Level</color> will be lost.",同名のスキルの連続使用による<color=#B22222>スペルカードレベル</color>の減少を無効にする。効果終了後、すべての<color=#B22222>スペルカードレベル</color>を失う。,连续使用技能不会失去<color=#B22222>符卡等级</color>。持续时间结束后，失去所有<color=#B22222>符卡等级</color>。,
Buff/B_HakureiReimu_F_11Rare_0_Name,Text,,세계는 귀여움으로 되어 있다,Unfinished Dream of All Living Ghost,世界は可愛く出来ている,世界如此可爱,
Buff/B_HakureiReimu_F_11Rare_Description,Text,,<color=#B22222>스펠카드 레벨</color>의 효과를 「중첩당 공격력과 방어력 4% 증가」로 변경한다,The effect of <color=#B22222>Spell Card Level</color> is changed to "Each stack provides 4% ATK and DEF.",<color=#B22222>スペルカードレベル</color>の効果を「ストック1ごとに攻撃力と防御力を4%増加」に変更する。,<color=#B22222>符卡等级</color>的效果变更为“每层提供4%攻击力和防御力”。,
Buff/B_HakureiReimu_F_11Rare_Name,Text,,지상의 색은 노랑,The Ground's Color is Yellow,地の色は黄色,地之色乃黄色,
Buff/B_HakureiReimu_F_1_Description,Text,,비용 2 이상인 자신의 스킬을 사용하면 15%의 추가 피해를 입힌다,"When using a skill that costs 2 or more, deal an additional 15% damage.",コスト2以上の自身のスキル使用時、15％のダメージを追加で与える。,自身使用费用不低于2点的技能时，额外造成15%伤害。,
Buff/B_HakureiReimu_F_1_Name,Text,,영력폭발,Exploding Spirit,霊力爆発,灵力迸放,
Buff/B_HakureiReimu_F_2_Description,Text,,다음 사용하는 스킬의 피해가 50% 증가하고 방어력을 무시한다,Your next skill deals 50% more damage and ignores defense.,次に使用するスキルのダメージが50%増加し、防御力を無視する。,使自己的下1个技能的伤害+50%并且无视防御。,
Buff/B_HakureiReimu_F_2_Name,Text,,신령빙의,Divine Possession,神霊憑依,神灵附体,
Buff/B_HakureiReimu_F_3_Description,Text,,,,,,
Buff/B_HakureiReimu_F_3_Name,Text,,영력작렬,Bursting Spirit,霊力炸裂,灵力激荡,
Buff/B_HakureiReimu_F_4_Name,Text,,악령퇴산,Exorcise Evil,悪霊退散,恶灵退散,
Buff/B_HakureiReimu_F_5_Name,Text,,봉마진,Evil-Sealing Circle,封魔陣,封魔阵,
Buff/B_HakureiReimu_F_6_0_Description,Text,,,,,,
