Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/Reimu_Gift_Normal/001,Text,,,,,"*博丽灵梦
什么？这是给我的礼物？",
Dialogue/Reimu_Gift_Normal/002,Text,,,,,"*博丽灵梦
嘿嘿，这些年被各种各样的人送过礼物，但是被这么小的人类孩子送礼倒还是头一次。",
Dialogue/Reimu_Gift_Normal/003,Text,,,,,"*博丽灵梦
我会好好珍惜的。",
Dialogue/Reimu_Gift_Sake/001,Text,,,,,"*博丽灵梦
清酒？这在日本可是人见人爱的东西哦。",
Dialogue/Reimu_Gift_Sake/002,Text,,,,,"*博丽灵梦
不过，未成年人可不能饮酒哦。这东西就由灵梦姐姐收下啦。",
Dialogue/Reimu_Gift_Sake/003,Text,,,,,"*博丽灵梦
我吗？嘿嘿，我可不受人类法律的束缚哦？",
Dialogue/Reimu_Gift_Sake/004,Text,,,,,"*博丽灵梦
毕竟我的能力就是能够自由自在、不受束缚的影响嘛。",
Dialogue/Reimu_Gift_Cake/001,Text,,,,,"*博丽灵梦
芝士蛋糕？这在扭曲之地可是珍惜品耶！要送给我吗？",
Dialogue/Reimu_Gift_Cake/002,Text,,,,,"*博丽灵梦
谢谢你，露西！自从来到扭曲之地之后，我还从来没有品尝过蛋糕呢。",
Dialogue/Reimu_Gift_Cake/003,Text,,,,,"*博丽灵梦
蕾米一定很喜欢这种东西吧……你问我蕾米是谁？",
Dialogue/Reimu_Gift_Cake/004,Text,,,,,"*博丽灵梦
她是我的一个伙伴哦。你一定也会很喜欢她的。",
Dialogue/Reimu_Gift_FishingRod/001,Text,,,,,"*博丽灵梦
露西，你是怎么知道我有钓鱼的秘密爱好的？",
Dialogue/Reimu_Gift_FishingRod/002,Text,,,,,"*博丽灵梦
其实我虽然是巫女，但是神社曾经非常冷清，没多少人来光顾呢。",
Dialogue/Reimu_Gift_FishingRod/003,Text,,,,,"*博丽灵梦
在雾之湖钓鱼打发时间算是我为数不多的爱好之一哦。",
Dialogue/Reimu_Gift_FishingRod/004,Text,,,,,"*博丽灵梦
……虽然自从有人鱼入驻以后再也没法去钓鱼了啦。",
Dialogue/Reimu_Gift_Mugwort/001,Text,,,,,"*博丽灵梦
虽然我并不算特别喜欢艾草啦，但是艾草可是祭祀的必需品哦？",
Dialogue/Reimu_Gift_Mugwort/002,Text,,,,,"*博丽灵梦
嘛……别看我这样，我好歹也是一名巫女嘛。",
Dialogue/Reimu_Gift_Mugwort/003,Text,,,,,"*博丽灵梦
有机会的话，让你见识一下博丽巫女的祝仪仪式哦。",
Dialogue/Reimu_Lv1/001,Text,,,,,"*博丽灵梦
哎呀……明明出发也有一段时间了，却一直像是在同一个地方打转呢。",
Dialogue/Reimu_Lv1/002,Text,,,,,"*露西
灵梦小姐，你看起来很冷静的样子，一点都不害怕。",
Dialogue/Reimu_Lv1/003,Text,,,,,"*博丽灵梦
是吗？因为我可是解决异变的专家，我可从没想过自己会失败呢。",
Dialogue/Reimu_Lv1/004,Text,,,,,"*露西
有灵梦小姐在身边，好像自己也有了勇气一样。",
Dialogue/Reimu_Lv1/005,Text,,,,,"*博丽灵梦
其实比起团队合作，我更喜欢单人行动呢，那样比较自在一点。",
Dialogue/Reimu_Lv1/006,Text,,,,,"*博丽灵梦
不过，这次那个黑白的家伙好像不在这里。扭曲之地这么大，反倒显得有些冷清了。",
Dialogue/Reimu_Lv1/007,Text,,,,,"*露西
灵梦小姐也会寂寞吗？",
Dialogue/Reimu_Lv1/008,Text,,,,,"*博丽灵梦
一般情况下不会吧。不过，也许是这里的环境，一直让我想起过去的事情。",
Dialogue/Reimu_Lv1/009,Text,,,,,"*博丽灵梦
如果一直是一个人的话，或许会轻松一点。",
Dialogue/Reimu_Lv1/010,Text,,,,,"*博丽灵梦
但是习惯了身边朋友们的吵闹之后，再次回到孑然一人的环境，反倒开始有些哆嗦了呢。",
Dialogue/Reimu_Lv1/011,Text,,,,,"*露西
如果这样的话，那我就多陪陪灵梦小姐吧。",
Dialogue/Reimu_Lv1/012,Text,,,,,"*博丽灵梦
哈哈哈，不用你说我也会来找你的。你可是我们在扭曲之地的希望呀。",
Dialogue/Reimu_Lv2/001,Text,,,,,"*露西
灵梦小姐，你在做什么？",
Dialogue/Reimu_Lv2/002,Text,,,,,"*博丽灵梦
嗯？是露西呀。没什么，只是看到这雾气，想起了以前的事情。",
Dialogue/Reimu_Lv2/003,Text,,,,,"*露西
灵梦小姐上次也讲过。以前发生了什么吗？",
Dialogue/Reimu_Lv2/004,Text,,,,,"*博丽灵梦
虽然在那之前还有其他的故事……但那应该算是「一切的开端」吧？",
Dialogue/Reimu_Lv2/005,Text,,,,,"*博丽灵梦
有一个可怕的吸血鬼家族入侵了我所守护的土地，大肆掀起红雾、遮蔽天日，妄图在名为“幻想乡”的净土中横行。",
Dialogue/Reimu_Lv2/006,Text,,,,,"*露西
吸、吸血鬼？那不是幻想生物吗？",
Dialogue/Reimu_Lv2/007,Text,,,,,"*博丽灵梦
嗯……对你们人类来说，吸血鬼确实沦为了“幻想生物”没错。不过在我们幻想乡中，确实存在着那么几只吸血鬼哟。",
Dialogue/Reimu_Lv2/008,Text,,,,,"*露西
那，后来呢？那些吸血鬼怎么样了？",
Dialogue/Reimu_Lv2/009,Text,,,,,"*博丽灵梦
被我全部打倒了以后，身为家主的蕾米天天赖在我的神社里作客，害我没时间休息耶。",
Dialogue/Reimu_Lv2/010,Text,,,,,"*露西
……咦？",
Dialogue/Reimu_Lv2/011,Text,,,,,"*博丽灵梦
哈哈哈，看你的表情，是不是很惊讶？",
Dialogue/Reimu_Lv2/012,Text,,,,,"*博丽灵梦
没错哟，弱小的人类和强大的妖怪共存，虽然称不上有多“和谐”吧，但这就是幻想乡。",
Dialogue/Reimu_Lv2/013,Text,,,,,"*博丽灵梦
幻想乡包容着世间的一切。无论是东方的、还是西方的，只要是存在着的，都被允许活下去。",
Dialogue/Reimu_Lv2/013_Option1,Text,,,,,那如果遇到坏蛋呢？,
Dialogue/Reimu_Lv2/013_Option2,Text,,,,,我也想进入幻想乡。,
Dialogue/Reimu_Lv2/013_1_1,Text,,,,,"*博丽灵梦
如果有坏蛋出现的话，那就轮到本巫女出手啦。",
Dialogue/Reimu_Lv2/013_1_2,Text,,,,,"*博丽灵梦
一直殴打坏蛋，直到坏蛋不再是坏蛋为止哟！",
Dialogue/Reimu_Lv2/013_1_3,Text,,,,,"*露西
灵梦小姐，好可怕……",
Dialogue/Reimu_Lv2/013_2_1,Text,,,,,"*博丽灵梦
哈哈，有机会的话就带露西去幻想乡逛一圈吧。",
Dialogue/Reimu_Lv2/014,Text,,,,,"*博丽灵梦
到睡觉的时间啰。明天有机会的话，再给你讲讲幻想乡的事情吧。",
Dialogue/Reimu_Lv3/001,Text,,,,,"*露西
灵梦小姐，能再给我讲讲幻想乡的故事吗？",
Dialogue/Reimu_Lv3/002,Text,,,,,"*博丽灵梦
这次从哪里开始讲起好呢……对了，讲讲有关天人的故事吧。",
Dialogue/Reimu_Lv3/003,Text,,,,,"*露西
天人？是居住在天之上的人吗？",
Dialogue/Reimu_Lv3/004,Text,,,,,"*博丽灵梦
嗯……这么说也没错吧。如果人类修行到一定程度，就能晋升为仙人。而仙人修行到某种程度，斩断全部七情六欲后，就能成为天人。",
Dialogue/Reimu_Lv3/005,Text,,,,,"*博丽灵梦
不过，曾经也有这么一名少女，仅仅只是追随家族成为天人，因此不具备天人应有的品行。",
Dialogue/Reimu_Lv3/006,Text,,,,,"*博丽灵梦
她仅仅因为无聊就引发天气异变，吸引幻想乡诸多居民前往讨伐她，而她则从中寻乐。",
Dialogue/Reimu_Lv3/006_Option1,Text,,,,,那岂不是很恶劣吗……,
Dialogue/Reimu_Lv3/006_Option2,Text,,,,,我也想这么自由自在。,
Dialogue/Reimu_Lv3/006_1_1,Text,,,,,"*露西
那她岂不是任性到了极点……会被很多人讨厌的吧？",
Dialogue/Reimu_Lv3/006_2_1,Text,,,,,"*露西
我也想和她一样，能像她一样做自己想做的事情。",
Dialogue/Reimu_Lv3/007,Text,,,,,"*博丽灵梦
哈哈，露西是这么想的吗？",
Dialogue/Reimu_Lv3/008,Text,,,,,"*博丽灵梦
事实上，因为她的这份纯粹，结果幻想乡的大家逐渐地接受了她。",
Dialogue/Reimu_Lv3/009,Text,,,,,"*博丽灵梦
拥有力量而又贪玩的孩子，对常人来说是非常可怕的。但是在幻想乡中，拥有力量的妖怪占据着多数地方。",
Dialogue/Reimu_Lv3/010,Text,,,,,"*博丽灵梦
结果，相反的，纯真而又活泼的天人反倒很快地融入了喜好比试和聚会的妖怪们当中。",
Dialogue/Reimu_Lv3/011,Text,,,,,"*博丽灵梦
……唔嗯……",
Dialogue/Reimu_Lv3/012,Text,,,,,"*露西
怎么了，灵梦小姐？后面发生了什么吗？",
Dialogue/Reimu_Lv3/013,Text,,,,,"*博丽灵梦
……是呢。虽然大家很快接受了天人，不过就我个人而言，要说“原谅她”的话……倒还是有些郁结于心呢。",
Dialogue/Reimu_Lv3/014,Text,,,,,"*露西
“原谅”？那位天人小姐，对你怎么了吗？",
Dialogue/Reimu_Lv3/015,Text,,,,,"*博丽灵梦
唉……说来其实也没什么大不了的。只是为了夸耀她的力量、吸引所有人的目光，所以把我的神社砸了一个大坑而已。",
Dialogue/Reimu_Lv3/016,Text,,,,,"*露西
诶？！砸坏了巫女祭拜的神社，这不是大事吗？",
Dialogue/Reimu_Lv3/017,Text,,,,,"*博丽灵梦
是啊。所以说，等下次再见面的时候，我一定要再狠狠地收拾她一顿……",
Dialogue/Reimu_Lv3/018,Text,,,,,"*博丽灵梦
……而且我有预感，距离那一天到来的日子，已经不远了呢。",
