Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/FS_Mokou_Gift_Normal/001,Text,,,"*Fujiwara no Mokou
Hmm? Is this for me?",,"*藤原妹红
嗯？这是给我的吗？","*藤原妹紅
嗯？這是給我的嗎？"
Dialogue/FS_Mokou_Gift_Normal/002,Text,,,"*Fujiwara no Mokou
Well, anyway, I accepted it with gratitude.",,"*藤原妹红
嘛，总之我就心怀感激的收下了。","*藤原妹紅
嘛，總之我就心懷感激的收下了。"
Dialogue/FS_Mokou_Gift_Normal/003,Text,,,"*Fujiwara no Mokou
Kid, remember to hide behind me during the battle. ",,"*藤原妹红
小子，战斗的时候记得躲在我身后啊。","*藤原妹紅
小子，戰鬥的時候記得躲在我身後啊。"
Dialogue/FS_Mokou_Gift_Alcohol/001,Text,,,"*Fujiwara no Mokou
Oh! Isn't this my favorite wine! ",,"*藤原妹红
哦！这不是我最喜欢的酒嘛！","*藤原妹紅
哦！這不是我最喜歡的酒嘛！"
Dialogue/FS_Mokou_Gift_Alcohol/002,Text,,,"*Fujiwara no Mokou
En? Do you really want to give it to me?",,"*藤原妹红
欸？你真的要送给我吗？","*藤原妹紅
欸？你真的要送給我嗎？"
Dialogue/FS_Mokou_Gift_Alcohol/003,Text,,,"*Fujiwara no Mokou
Ah, thank you Lucy...",,"*藤原妹红
啊，谢谢你露西……","*藤原妹紅
啊，謝謝你露西……"
Dialogue/FS_Mokou_Gift_Alcohol/004,Text,,,"*Fujiwara no Mokou
But Lucy, you can't drink. You can't drink until you grow up.",,"*藤原妹红
不过露西你可不能喝啊，等你长大了才能喝酒。","*藤原妹紅
不過露西你可不能喝啊，等你長大了才能喝酒。"
Dialogue/FS_Mokou_Gift_Alcohol/005,Text,,,"*Fujiwara no Mokou
Am I? I live much longer than you look.",,"*藤原妹红
我吗？我可比你看起来要活得久多了呢。","*藤原妹紅
我嗎？我可比你看起來要活得久多了呢。"
Dialogue/FS_Mokou_Lv1/001,Text,,,<color=#919191>(Fujiwara no Mokou smokes alone far from the fire)</color>,,<color=#919191>（藤原妹红在远离火堆的地方独自一人抽着烟）</color>,<color=#919191>（藤原妹紅在遠離火堆的地方獨自一人抽著煙）</color>
Dialogue/FS_Mokou_Lv1/002,Text,,,"*Lucy
Miss Fujiwara, why are you staying alone in this place?",,"*露西
藤原小姐，你为什么一个人呆在这种地方呢？","*露西
藤原小姐，你為什麼一個人呆在這種地方呢？"
Dialogue/FS_Mokou_Lv1/003,Text,,,"*Fujiwara no Mokou
Just call me Mokou. Just daydreaming alone.",,"*藤原妹红
叫我妹红就好。只是在独自发呆罢了。","*藤原妹紅
叫我妹紅就好。只是在獨自發呆罷了。"
Dialogue/FS_Mokou_Lv1/004,Text,,,"*Lucy
Isn't it good for Miss Mokou to sit here at the fire? It's still very warm here.",,"*露西
那妹红小姐来火堆这边坐着不好吗，这边还很暖和呢。","*露西
那妹紅小姐來火堆這邊坐著不好嗎，這邊還很暖和呢。"
Dialogue/FS_Mokou_Lv1/005,Text,,,"*Fujiwara no Mokou
Miss...If you are happy. I can start a fire out of thin air, I won't be afraid of the cold at all. ",,"*藤原妹红
小姐……算了你开心就好。我可以凭空点火，根本不会怕冷的啊。","*藤原妹紅
小姐……算了你開心就好。我可以憑空點火，根本不會怕冷的啊。"
Dialogue/FS_Mokou_Lv1/006,Text,,,"*Lucy
Miss Mokou treats others coldly. Those who know how to play with fire should be very enthusiastic. ",,"*露西
妹红小姐对待别人好冷淡耶。会玩火的不应该都很热情的嘛。","*露西
妹紅小姐對待別人好冷淡耶。會玩火的不應該都很熱情的嘛。"
Dialogue/FS_Mokou_Lv1/007,Text,,,"*Fujiwara no Mokou
You have a stereotype... but I just have a question for you. ",,"*藤原妹红
你这是刻板印象啊……不过我倒是想问露西你一个问题就是了。","*藤原妹紅
你這是刻板印象啊……不過我倒是想問露西你一個問題就是了。"
Dialogue/FS_Mokou_Lv1/008,Text,,,"*Fujiwara no Mokou
Lucy, aren't you afraid of me? I am not a person who wouldn't aging or dying.",,"*藤原妹红
露西你不害怕我吗？我可是不会老去也不会死亡的存在哦。","*藤原妹紅
露西你不害怕我嗎？我可是不會老去也不會死亡的存在哦。"
Dialogue/FS_Mokou_Lv1/008_Option1,Text,,,Not fear,,不害怕,不害怕
Dialogue/FS_Mokou_Lv1/008_Option2,Text,,,Fear,,害怕,害怕
Dialogue/FS_Mokou_Lv1/008_Option3,Text,,,I don't know,,我不知道,我不知道
Dialogue/FS_Mokou_Lv1/008_1_1,Text,,,"*Lucy
Eiiiiii - Miss Mokou has been standing in front of the enemy's attack on the battlefield, protecting the people behind her. I'm not afraid of you.  ",,"*露西
欸——妹红小姐在战场上一直站在前面挡住敌人的攻击，保护身后的人耶。我不怕妹红小姐啊。","*露西
欸——妹紅小姐在戰場上一直站在前面擋住敵人的攻擊，保護身後的人耶。我不怕妹紅小姐啊。"
Dialogue/FS_Mokou_Lv1/008_1_2,Text,,,"*Fujiwara no Mokou
Oh, Lucy, it's really nice of you to be so innocent.",,"*藤原妹红
唉，露西你能这么纯真真是好啊。","*藤原妹紅
唉，露西你能這麼純真真是好啊。"
Dialogue/FS_Mokou_Lv1/008_2_1,Text,,,"*Lucy
Ah, Miss Mokou looks very scared every time you bear all the harm alone. How about trusting other investigators next time. ",,"*露西
啊，妹红小姐每次一个人承受所有伤害的样子我看着很害怕啊，下次也相信别的调查员一些怎么样。","*露西
啊，妹紅小姐每次一個人承受所有傷害的樣子我看著很害怕啊，下次也相信別的調查員一些怎麼樣。"
Dialogue/FS_Mokou_Lv1/008_2_2,Text,,,"*Fujiwara no Mokou
That's not what I'm saying... Well, what you're saying makes some sense. “",,"*藤原妹红
我说的不是这个啊……算了，你说的也有一点道理。","*藤原妹紅
我說的不是這個啊……算了，你說的也有一點道理。"
Dialogue/FS_Mokou_Lv1/008_3_1,Text,,,"*Lucy 
Um... I don't know. But Miss Mokou is an investigator who will help me activate the clock tower. You can't be a bad person.",,"*露西
嗯……我不知道。但是妹红小姐是调查员，会帮助我启动钟楼，不可能是坏人吧。","*露西
嗯……我不知道。但是妹紅小姐是調查員，會幫助我啟動鐘樓，不可能是壞人吧。"
Dialogue/FS_Mokou_Lv1/008_3_2,Text,,,"*Fujiwara no Mokou
Lucy, you are really innocent. It would be great if people could be like you.",,"*藤原妹红
露西你还真是纯真啊，人们都能像你一样就好了。","*藤原妹紅
露西你還真是純真啊，人們都能像你一樣就好了。"
