Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_YueP_0_Description,Text,,,,,,
Buff/B_YueP_0_Name,Text,,,,,渐入佳境,
Buff/B_Yuep_T0_Description,Text,,,,,本回合已经触发过<color=#00FF7F>乐谱</color>加成了.,
Buff/B_Yuep_T0_Name,Text,,,,,点到为止,
Buff/B_Yueq_0_Description,Text,,,,,"使用自身的<color=#00FF7F>乐谱</color>技能时,如果指向友军,使其3回合内回合结束时回复技能产生治疗量50%的生命(每回合衰减40%);
如果指向敌人，以20%威力再次释放.
持续期间触发的残响(除Remix)会额外触发一次.",
Buff/B_Yueq_0_Name,Text,,,,,余音绕梁,
Buff/B_Yueq_0_T_Description,Text,,,,,"回合结束时,回复&a点生命.(每回合衰减40%))",
Buff/B_Yueq_0_T_Name,Text,,,,,循环治疗,
Buff/B_Yueq_10_Description,Text,,,,,"抽取到自身技能后,根据手牌中非露西技能的数量,每有一张回复1体力。",
Buff/B_Yueq_10_Name,Text,,,,,八方来客,
Buff/B_Yueq_1_Description,Text,,,,,"每回合连续使用2次攻击技能后，攻击力加成额外增加&a（每回合限一次）。
每回合结束时，回复&b点生命。",
Buff/B_Yueq_1_Name,Text,,,,,昂扬,
Buff/B_Yueq_2_Description,Text,,,,,"回合结束时,若体力极限不为0,获得&a点回声屏障.",
Buff/B_Yueq_2_Name,Text,,,,,苍之回响,
Buff/B_Yueq_3_Description,Text,,,,,"触发残响时,连锁治疗&a点体力,并消耗一层.
",
Buff/B_Yueq_3_Name,Text,,,,,周而复始,
Buff/B_Yueq_4_Description,Text,,,,,"持续期间若触发过残响,效果翻倍.
持续期间首次触发残响时,受到&a点痛苦伤害.",
Buff/B_Yueq_4_Name,Text,,,,,脑子嗡嗡的,
Buff/B_Yueq_5_Description,Text,,,,,"&a释放<color=#00FF7F>乐谱</color>技能时,自身回复&b点体力。
触发上述效果后,若立刻使用自己的技能,所有队员回复&c点体力。",
Buff/B_Yueq_5_Name,Text,,,,,对手戏,
Buff/B_Yueq_6_Description,Text,,,,,"按下回合结束时,若自身有体力极限,回复&b点体力然后解除,因此效果解除时造成的伤害为1.5倍.
解除时,对随机敌人造成&a点痛苦伤害.(为最后受到的伤害)",
Buff/B_Yueq_6_Name,Text,,,,,回声屏障,
Buff/B_Yueq_7_0_Description,Text,,,,,"如果被施加魅了,令魅了持续减少1回合.
造成伤害时,若未使目标濒死,受到等同于造成伤害2倍的痛苦伤害.",
Buff/B_Yueq_7_0_Name,Text,,,,,狂暴幻觉,
Buff/B_Yueq_7_Description,Text,,,,,"无法行动
效果解除后，获得""狂暴幻觉""增益",
Buff/B_Yueq_7_Name,Text,,,,,魅了！,
Buff/B_Yueq_8_Description,Text,,,,,"回合开始时,若自身有残响的充能,再次释放""送葬的丧曲"",随后解除此效果.
释放<color=#00FF7F>乐谱</color>技能后,于下回合结束前失效.",
Buff/B_Yueq_8_Name,Text,,,,,送丧,
Buff/B_Yueq_9_Description,Text,,,,,"死亡时,随机给一名敌人施加此效果.
当此效果达到8层时,持续时间变为无限.",
Buff/B_Yueq_9_Name,Text,,,,,入土为安,
Buff/B_Yueq_9_New_Description,Text,,,,,"触发残响时解除,将弃牌堆最下方的技能放到牌库顶",
Buff/B_Yueq_9_New_Name,Text,,,,,回应,
Buff/B_Yueq_BD_Description,Text,,,,,下一次触发残响必定触发&a.,
Buff/B_Yueq_BD_Name,Text,,,,,变调*&a,
Buff/B_Yueq_Did_Description,Text,,,,,,
Buff/B_Yueq_Did_Name,Text,,,,,残响(已触发),
Buff/B_Yueq_P_0_Description,Text,,,,,"3层时,清0并获得一层充能.",
Buff/B_Yueq_P_0_Name,Text,,,,,残响收集,
Buff/B_Yueq_P_Description,Text,,,,,"释放<color=#00FF7F>乐谱</color>技能时,消耗一层并触发以下效果的随机一种.
<color=#FF8C00>噪音</color>：所有人被眩晕(130%)。
<color=#1E90FF>清醒</color>：解除所有调查员的各一个干扰减益,若未解除,回复1点法力
<color=#FF4500>激昂</color>：本回合所有人攻击力+20%。
<color=#40E0D0>舒缓</color>：回复所有调查员3点生命。
<color=#FFD700>谢场</color>：随机打赏普通道具.
<color=#FF00FF>肃穆</color>：本回合所有人防御+15%。
<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>：以随机顺序触发其它效果.",
Buff/B_Yueq_P_Name,Text,,,,,充能,
Buff/B_Yueq_P_T0_Description,Text,,,,,"无法行动
丢弃自己的技能时解除.",
Buff/B_Yueq_P_T0_Name,Text,,,,,眩晕,
Buff/B_Yueq_P_T1_Description,Text,,,,,回合结束时解除,
Buff/B_Yueq_P_T1_Name,Text,,,,,激情,
Buff/B_Yueq_P_T2_Description,Text,,,,,回合结束时解除,
Buff/B_Yueq_P_T2_Name,Text,,,,,肃穆,
Buff/B_Yueq_Protect_Name,Text,,,,,保护罩,
Buff/B_Yueq_R0_Description,Text,,,,,"触发残响或受到<color=#00FF7F>乐谱</color>技能攻击时,持续时间减少1回合。
解除此效果时,受到90点伤害。
每当瓦解的持续时间减少2回合,受到伤害+5%，防御-5%。
若再次被施加瓦解,立刻受到90点伤害。",
Buff/B_Yueq_R0_Name,Text,,,,,瓦解,
Buff/B_Yueq_R1_Description,Text,,,,,"每回合开始时,变调(除<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>)
获得充能时,随机生成一个带放逐的<color=#00FF7F>乐谱</color>技能(10%概率生成稀有技能),且本回合令此技能费用-1.",
Buff/B_Yueq_R1_Name,Text,,,,,残响回收,
Buff/B_Yueq_eq0_Description,Text,,,,,"每回合结束时回复&a点生命,并且衰减80%",
Buff/B_Yueq_eq0_Name,Text,,,,,余音(弱),
Buff/B_Yueq_r2_Description,Text,,,,,持续期间所有加入手牌的技能的共鸣特效均变为可用,
Buff/B_Yueq_r2_Name,Text,,,,,道在我手,
Buff/Boss_Yueq_P_T_Description,Text,,,,,"只能交替使用不同费用的手牌(不计算过载);
每回合生成两个随机的数字，这对数字会作为回合结束时检索交替技能费用组合的标准,每当调查员未能达成,获得一层掌声(伪)增益",
Buff/Boss_Yueq_P_T_Name,Text,,,,,失真,
Character/YueQ_CampSelectWord,Text,,,,,"需要援助的话,就交给我吧！",
Character/YueQ_PassiveDes,Text,,,,,"使用其它队员的费用大于0的技能3次后，获得1次充能，充能上限为2（达到上限后不会再获得充能）。
战斗开始时获得1次充能。
充能在释放<color=#00FF7F>乐谱</color>技能时消耗一层并触发一个随机效果.
每回合充能触发过的效果后本回合不会再触发(<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>或变调除外).",
Character/YueQ_PassiveName,Text,,,,,残响,
Character/YueQ_SelectInfo,Text,,,,,"追随突然消失的办事厅来到方舟的谜之仙人,调查团发现她时,她正在军训诸多怪物.来到方舟后与莫舒等人汇合.

越祺是办事厅的音之道主,擅长以乐取人,能够利用各种声音为我方创造机会和提供援助.",
Character/YueQ_Text_Battle_AllyND_0,Text,,,,,让我找找....现在最适合的技艺...,
Character/YueQ_Text_Battle_Cri_0,Text,,,,,完美的节拍!,
Character/YueQ_Text_Battle_Healed_0,Text,,,,,"哦哦,原来这就是这个世界的治疗术法!",
Character/YueQ_Text_Battle_Idle_0,Text,,,,,即便是心声也没法逃过我的权柄哦?,
Character/YueQ_Text_Battle_Idle_1,Text,,,,,"我听到了,露西心中的渴望",
