Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_FlandreScarlet_0_Description,Text,,,,,,
Buff/B_FlandreScarlet_0_Name,Text,,취약함,Vulnerable,脆い,易损,
Buff/B_FlandreScarlet_11Rare_Description,Text,,"자신의 스킬은 [금지된 욕망] 및 [금지된 광기]의 추가 효과를 발동할 수 있습니다. 피해를 입을 시, 피해량이 &a(최대 체력의 50%)보다 크면 &a 피해만 입습니다.","All skills can trigger additional effects of [Vengeance] and [Wrath].
When damaged, if the damage exceeds &a (50% of MaxHp), it is reduced to &a.",自身のスキルは[禁じられた欲望]と[禁じられた狂気]の追加効果を発動できる。ダメージを受けた時、ダメージが&a(最大体力の50%)を超えると、&aに減少させる。,所有技能都能触发[禁忌欲望]和[禁忌狂乱]的额外效果。受到伤害时，如果伤害超过&a(50%最大体力值)，降低至&a。,
Buff/B_FlandreScarlet_11Rare_Name,Text,,금지된 고독,Taboo Lonely,禁じられた孤独,禁忌孤独,
Buff/B_FlandreScarlet_12Rare_Description,Text,,스킬에 의한 능력치 강화를 얻을 수 없게 되었습니다.,Unable to obtain attribute bonuses from skills anymore.,スキルによるステータス強化を得られなくなった。,无法再从技能中获得属性加成。,
Buff/B_FlandreScarlet_12Rare_Name,Text,,만족,Satiety,満足,饱足,
Buff/B_FlandreScarlet_2_Description,Text,,"&a한테 피해를 입을 때마다, &a에게 1 초과 치유를 시전합니다.","Every time when &a causes damage to it, overheal &a 1 HP.",&aからダメージを受けるたびに、&aを1オーバーヒールする。,&a每次对其造成伤害时，超额治疗&a1点体力。,
Buff/B_FlandreScarlet_2_Name,Text,,크랜베리 트랩,Cranberry Trap,クランベリートラップ,红莓陷阱,
Buff/B_FlandreScarlet_6_Description,Text,,"턴 종료 시, 또는 체력이 0 이하일 때, 즉시 체력을 &a(최대 체력의 50%) 회복합니다. 발동 후 이 효과는 제거됩니다.","At the end of the turn, or when HP is not higher than 0, immediately heal &a(50% MaxHp). After that, remove this buff.",ターン終了時、または体力が0以下の時、即座に体力を&a(最大体力の50%)回復する。効果発動後除去される。,回合结束时，或者体力不高于0时，立即恢复&a(50%最大体力值)体力。那之后解除该增益。,
Buff/B_FlandreScarlet_6_Name,Text,,금지된 시각,Taboo Moment,禁じられた時刻,禁忌时刻,
Buff/B_FlandreScarlet_7_0_Name,Text,,금지된 장난,Taboo Games,禁じられた遊び,禁忌游戏,
Buff/B_FlandreScarlet_7_Description,Text,,자신의 스킬은 [금지된 욕망]의 추가 효과를 발동시킬 수 있습니다.,All skills can trigger additional effects of [Vengeance].,自身のスキルは[禁じられた欲望]の追加効果を発動できる。,所有技能都能触发[禁忌欲望]的额外效果。,
Buff/B_FlandreScarlet_7_Name,Text,,금지된 시간,Taboo Time,禁じられた時間,禁忌时机,
