Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_HatsuneMiku_4_Description,Text,,,"Very good barrier, love from Hatsune Miku.",,非常好防护罩，爱来自初音ミク。,
Buff/B_HatsuneMiku_4_Name,Text,,,Hatsune Miku Barrier,,初音防护罩,
Buff/B_HatsuneMiku_5_Name,Text,,,恋は戦争,,恋は戦争,
Buff/B_HatsuneMiku_6_Description,Text,,,Heal 50% of all damage dealt.,,攻击时恢复造成伤害的50%。,
Buff/B_HatsuneMiku_6_Name,Text,,,ヴァンパイア,,ヴァンパイア,
Buff/B_HatsuneMiku_7_Description,Text,,,"ATK + 50% stacks of ""The Future Voice"".",,攻击力增加自己身上[未来之音]层数的一半。,
Buff/B_HatsuneMiku_7_Name,Text,,,太陽系デスコ,,太陽系デスコ,
Buff/B_HatsuneMiku_P_Description,Text,,,"Heal by stacks of ""The Future Voice"" at the end of turn. Remove 1 stack.",,"回合结束时，恢复等量于层数的体力。
那之后，消耗1层[未来之音]。",
Buff/B_HatsuneMiku_P_Name,Text,,,The Future Voice,,未来之音,
Character/HatsuneMiku_CampSelectWord,Text,,,Welcome to my concert. Today's track is ...,,「欢迎来到我的演唱会！今天的曲目，就从……」,
Character/HatsuneMiku_PassiveDes,Text,,,"When battle starts, place 2 stacks of ""The Future Voice"" to all party members.

""The Future Voice"": Heal by stacks of ""The Future Voice"" at the end of turn. Remove 1 stack.

Intensity X: Hatsune Miku will trigger additional effects on characters with X stacks of ""The Future Voice"".

Rhythm X: When there is X stacks of ""The Future Voice"" on Hatsune Miku, additional effects will be triggered.",,"战斗开始时，为所有队友施加2层[未来之音]。

未来之音：回合结束时，恢复等量于层数的体力。那之后，消耗1层[未来之音]。

音弦X：初音ミク的技能对拥有身上已有X层[未来之音]的角色释放会触发额外效果。

音律X：初音ミク身上有X层[未来之音]时会触发额外效果。",
Character/HatsuneMiku_PassiveName,Text,,,The Initial Sound,,最初之音,
Character/HatsuneMiku_SelectInfo,Text,,,"Continuously using singing to stack various gains,
The more gain, the stronger the therapeutic effect,
Push the battle to its climax with powerful sound!",,"不断使用歌声叠加各种增益，
增益越多治疗效果越强，
以强大的音感将战斗推向最高潮！",
Character/HatsuneMiku_name,Text,,,Hatsune Miku,,初音ミク,
Skill/S_HatsuneMiku_0_Description,Text,,,"Create 1 ""Scallion"" in hand.",,将1张[大葱]加入手牌。,
Skill/S_HatsuneMiku_0_Name,Text,,,みくみくにしてあげる,,みくみくにしてあげる?,
Skill/S_HatsuneMiku_10_Description,Text,,,"Remove a random debuff from all party members.
Place 2 stacks of ""The Future Voice"".
Give barrier by stacks of ""The Future Voice"".",,"解除1个负面状态。
赋予等量与目标身上[未来之音]层数的防护罩。",
Skill/S_HatsuneMiku_10_Name,Text,,,荒野と森と魔法の歌,,荒野と森と魔法の歌,
Skill/S_HatsuneMiku_11Rare_Description,Text,,,"Place &a stacks of ""The Future Voice"" to target.",,赋予&a层[未来之音]。,
Skill/S_HatsuneMiku_11Rare_Name,Text,,,メルト,,メルト,
Skill/S_HatsuneMiku_12Rare_0_Description,Text,,,"Place ""The Future Voice"", until the stacks of ""The Future Voice"" on the field is the same.",,赋予[未来之音]，直到和场上拥有[未来之音]层数的角色层数相同为止。,
Skill/S_HatsuneMiku_12Rare_0_Name,Text,,,アンノウン·マザーグース,,アンノウン·マザーグース,
Skill/S_HatsuneMiku_12Rare_Description,Text,,,"Place 5 stacks of ""The Future Voice"" to target.
Intensity 12: Create 1 ""アンノウン·マザーグース"" in hand.",,"施加5层[未来之音]。
音弦12：将1张[アンノウン?マザーグース]加入手卡。",
Skill/S_HatsuneMiku_12Rare_Name,Text,,,ローリンガール,,ローリンガール,
Skill/S_HatsuneMiku_13Rare_Description,Text,,,"Remove all allies' debuffs.
Place 39 stacks of ""The Future Voice"".
Faint.",,"使所有队友解除所有减益。
赋予39层[未来之音]。
自己死亡。",
Skill/S_HatsuneMiku_13Rare_Name,Text,,,初音ミクの消失,,初音ミクの消失,
Skill/S_HatsuneMiku_14Rare_0_Name,Text,,,*ワールドイズマイン,,*ワールドイズマイン,
