Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_FKaguya_0_Description,Text,,"추가공격/반격을 받은 후, 받는피해량이 5%증가합니다.","After receiving Additional Attacks/CounterAttacks, increase the damage taken by 5%.",追加攻撃/反撃によってダメージを受けるたび、受けるダメージが5%増加する。,受到追加攻击/反击后，增加5%受到的伤害。,
Buff/B_FKaguya_0_Name,Text,,카구야/용옥,Kaguya/Dragon Jewel,輝夜/龍玉,辉夜/龙玉,
Buff/B_FKaguya_10Rare_17_Description,Text,,,,,,
Buff/B_FKaguya_10Rare_17_Name,Text,,영야 되돌리기,End of Imperishable Night,永夜返し,永夜归返,
Buff/B_FKaguya_11Rare_Description,Text,,"매 턴 종료 시, 모든 적에게 [카구야/영야]를 3회, 1중첩씩 부여합니다.
적이 중첩 상한을 초과하는 [카구야/영야]에 걸릴때마다 적에게 &a(50%)의 추가 공격을 합니다.","At the end of each turn, apply 3 stacks of [Kaguya/Eternal Night] to all enemies.
Each time an enemy receives more stacks of [Kaguya/Eternal Night] than the limit, perform an additional attack dealing &a(50%) damage.","毎ターン終了時、敵全体に[輝夜/永夜]を1ストック3回与える。
ストック数の上限を超えて[輝夜/永夜]を得るたびに、対象に&a(50%)ダメージの追加攻撃を与える。","每回合结束时，对所有敌人施加3次[辉夜/永夜]，每次1层。
每次敌人被施加超过层数上限的[辉夜/永夜]时，对其进行1次&a(50%)伤害的追加攻击。",
Buff/B_FKaguya_11Rare_Name,Text,,카구야/봉래,Kaguya/Hourai,輝夜/蓬莱,辉夜/蓬莱,
Buff/B_FKaguya_2_Description,Text,,,,,,
Buff/B_FKaguya_2_Name,Text,,부처의 석발,Buddha's Stone Bowl,仏の御石の鉢,佛御石之钵,
Buff/B_FKaguya_4_Name,Text,,카구야/불쥐,Kaguya/Fire Rat,輝夜/火鼠,辉夜/火鼠,
Buff/B_FKaguya_5_Description,Text,,"고통피해를 2배로 받습니다.
고통피해를 제외한 받는 피해량이 절반으로 감소합니다.","Doubled pain damage;
Non-pain damage is halved.","受ける苦痛ダメージが倍になる。
苦痛でないダメージは半分になる。","受到痛苦伤害翻倍；
受到非痛苦伤害减半。",
Buff/B_FKaguya_5_Name,Text,,카구야/샐러맨더,Kaguya/Salamander Shield,輝夜/火蜥蜴,辉夜/火蜥蜴,
Buff/B_FKaguya_6_0_Description,Text,,,,,,
Buff/B_FKaguya_6_0_Name,Text,,제비의 자안패,Swallow's Cowrie Shell,燕の子安貝,燕的子安贝,
Buff/B_FKaguya_6_Description,Text,,"&target이외의 대상은 공격 할 수 없습니다.
대상 공격 시 제거됩니다.","Can only target &target.
Removed when this character attacks &target.","&target以外には攻撃できない。
攻撃時に除去される。","无法攻击&target以外的目标。
攻击目标时解除。",
Buff/B_FKaguya_6_Name,Text,,카구야/자안패,Kaguya/Kizanbe,輝夜/子安貝,辉夜/子安贝,
Buff/B_FKaguya_7_0_Description,Text,,,,,,
Buff/B_FKaguya_7_0_Name,Text,,카구야/봉래,Kaguya/Hourai,輝夜/蓬莱,辉夜/蓬莱,
Buff/B_FKaguya_7_Description,Text,,"빈사상태에서 피해를 입으면 피해를 무효화하고 모든 체력이 회복된 후, 
[카구야/봉래] 1중첩을 얻고 이 버프를 제거합니다.","When attacked at Death's Door, prevent incoming damage and survive at max Health, gain [Kaguya/Hourai].",瀕死状態でダメージを受けると、そのダメージを無効にして体力を全回復する。その後[輝夜/蓬莱]を1ストック得て、これを除去する。,在濒死状态下受到伤害时，抵消这次伤害，恢复所有体力，之后获得1层[辉夜/蓬莱]并解除这个增益。,
Buff/B_FKaguya_7_Name,Text,,카구야/월인,Kaguya/Mooner,輝夜/月人,辉夜/月人,
Buff/B_FKaguya_9_Description,Text,,"추가 공격/반격을 받았을 때, 
카구야가 절반의 피해량으로 추가공격을 1회 시전합니다.
(반복 발동하지 않습니다.)","Upon receiving additional attacks/counterattacks, Kaguya performs an additional attack with half the value (will not trigger again).",追加攻撃/反撃を受けたとき、輝夜がそのダメージの半分のダメージの追加攻撃を行う（繰り返し発動しない）。,受到追加攻击/反击时，辉夜对其进行一次一半数值的追加攻击（不会重复触发）。,
Buff/B_FKaguya_9_Name,Text,,카구야/꿈의고향,Kaguya/Dreamlike Paradise,輝夜/夢郷,辉夜/梦乡,
