Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Kaguya_Achieve_Description,Text,,,,,,
Buff/B_Kaguya_Achieve_Name,Text,,,Impossible Request completed,,难题完成,難題完成
Buff/B_Kaguya_Fail_Description,Text,,,,,,
Buff/B_Kaguya_Fail_Name,Text,,,Impossible Request not completed,,难题未完成,難題未完成
Buff/B_Kaguya_LucyD_2_Bad_Description,Text,,,"Next turn, start with 1 less Mana and discard a random skill in hand.",,下一个回合开始时，随机丢弃1张手牌，法力值减少1点。,下一個回合開始時，隨機丟棄1張手牌，法力值減少1點。
Buff/B_Kaguya_LucyD_2_Bad_Name,Text,,,Impossible Request not completed,,难题未完成,難題未完成
Buff/B_Kaguya_LucyD_2_Good_Description,Text,,,"Next turn, draw 1 skill and restore 1 Mana.",,下个回合开始时，抽取1个技能，恢复1点法力值。,下個回合開始時，抽取1個技能，恢復1點法力值。
Buff/B_Kaguya_LucyD_2_Good_Name,Text,,,Impossible Request completed,,难题完成,難題完成
Buff/B_Kaguya_LucyRare_Record_Description,Text,,,,,,
Buff/B_Kaguya_LucyRare_Record_Name,Text,,,End of Imperishable Night-Record,,「永夜归返」记录,「永夜歸返」記錄
Buff/B_Kaguya_Lucy_1_Description,Text,,,"At the end of turn,overheal all allies by 6.

<color=#919191>The reward for completing the Impossible Request ""Jewel from the Dragon's Neck -Five-Colored Shots-"".</color>",,"每回合结束时，超额治疗所有友方6点体力值。

<color=#919191>完成了难题「龙颈之玉　-五色的弹丸-」获得的奖励。</color>","每回合結束時，超額治療所有友方6點體力值。

<color=#919191>完成了難題「龍頸之玉　-五色的彈丸-」獲得的獎勵。</color>"
Buff/B_Kaguya_Lucy_1_Name,Text,,,"Divine Treasure ""Brilliant Dragon Barrette""",,神宝「耀眼的龙玉」,神寶「耀眼的龍玉」
Buff/B_Kaguya_Lucy_2_Description,Text,,,"Restore 1 mana at the start of every turn.

<color=#919191>The reward for completing the Impossible Request ""Buddha's Stone Bowl -Indomitable Will-"".</color>",,"每回合开始时，额外回复1点费用。

<color=#919191>完成了难题「佛御石之钵　-不碎的意志-」获得的奖励。</color>","每回合開始時，額外回復1點費用。

<color=#919191>完成了難題「佛禦石之缽　-不碎的意志-」獲得的獎勵。</color>"
Buff/B_Kaguya_Lucy_2_Name,Text,,,"Divine Treasure ""Buddhist Diamond""",,神宝「佛体的金刚石」,神寶「佛體的金剛石」
