Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
BattleDia/MokouMode/Choose1,Text,,,Choose 1 of rare skills from Mokou to add to your hand,,选择一张妹红的稀有技能加入手卡,選擇一張妹紅的稀有技能加入手卡
BattleDia/MokouMode/Normal1,Text,,,"Hey, it seems like I won this time.",,诶呀，看来这次还是我赢下来了呢。,誒呀，看來這次還是我贏下來了呢。
BattleDia/MokouMode/Normal2,Text,,,"So, let's call it a day this time.",,那么，就到此为止吧。,那麼，就到此為止吧。
BattleDia/MokouMode/Normal3,Text,,,"Goodbye, Mokou.",,再会了，妹红。,再會了，妹紅。
BattleDia/MokouMode/Phase6_1,Text,,,"Mokou, your strength has improved a lot……",,妹红，你的实力变强了不少呢……,妹紅，你的實力變強了不少呢……
BattleDia/MokouMode/Start1,Text,,,"Ah, ah, ah, look who this is",,啊啦啊啦，看看这位是谁啊,啊啦啊啦，看看這位是誰啊
BattleDia/MokouMode/Start2,Text,,,"It's been a long time, Kaguya",,真是好久不见了呢，辉夜,真是好久不見了呢，輝夜
BattleDia/MokouMode/Start3,Text,,,"Since you're also here, why don't you join me in making a big fuss",,既然你也来了，就陪我一起大闹一场吧,既然你也來了，就陪我一起大鬧一場吧
BattleDia/MokouMode/Start4,Text,,,"The last failure, let me recover this time!",,上一次的失败，就让我这一次讨回来！,上一次的失敗，就讓我這一次討回來！
BattleDia/NormalMode/Choose1,Text,,,Make you choose!,,撒，做出选择吧！,撒，做出選擇吧！
BattleDia/NormalMode/Good1,Text,,,Wait! My power is so weak……,,不对，我的力量不会就这么弱……,不對，我的力量不會就這麼弱……
BattleDia/NormalMode/Good2,Text,,,Who is speaking?Who are you?,,谁在说话？你是谁？,誰在說話？你是誰？
BattleDia/NormalMode/Good3,Text,,,Wai……,,等……,等……
BattleDia/NormalMode/Normal1,Text,,,"Hey, it seems that I started a bit too hard.",,诶呀，看来我下手有点重了呢。,誒呀，看來我下手有點重了呢。
BattleDia/NormalMode/Normal2,Text,,,"So, let's call it a day this time.",,那么，这次就到此为止吧。,那麼，這次就到此為止吧。
BattleDia/NormalMode/Normal3,Text,,,"Goodbye, everyone.",,再会了，诸位。,再會了，諸位。
BattleDia/NormalMode/Phase6_1,Text,,,You are even stronger than I imagined……,,你们比我想象中的还要强大……,你們比我想像中的還要強大……
BattleDia/NormalMode/Phase6_2,Text,,,"Since that's the case, let me use all my strength!",,既然这样，就让我使出全部实力吧！,既然這樣，就讓我使出全部實力吧！
BattleDia/NormalMode/Phase6_3,Text,,,This half-finished eternal world……,,这种半吊子的永远的世界……,這種半吊子的永遠的世界……
BattleDia/NormalMode/Phase6_4,Text,,,"With my spell to manipulate eternity, I'll tear it all away.",,我就用操纵永远的力量来打破给你们看。,我就用操縱永遠的力量來打破給你們看。
BattleDia/NormalMode/Phase6_5,Text,,,The dawn shall be upon us soon.,,黎明应该很快就会到来了。,黎明應該很快就會到來了。
BattleDia/NormalMode/Phase6_6,Text,,,"How's that?
With this, the loop shall be broken, and the dawn shall come!",,"怎么样？
这样循环就要被打破了，一切就要过去了！","怎麼樣？
這樣迴圈就要被打破了，一切就要過去了！"
BattleDia/NormalMode/Start1,Text,,,"It's been a long time since anyone came here,",,真是好久没有人来到这里了啊，,真是好久沒有人來到這裡了啊，
BattleDia/NormalMode/Start2,Text,,,Let me make a big fuss after a long absence.,,就让我久违的大闹一场吧。,就讓我久違的大鬧一場吧。
BattleDia/NormalMode/Start3,Text,,,My five requests that so many humans in the past have failed to complete...,,到现在为止，已经使无数人败退的这五个难题。,到現在為止，已經使無數人敗退的這五個難題。
BattleDia/NormalMode/Start4,Text,,,How many of them can you fulfill?,,你们能解开多少呢？,你們能解開多少呢？
Buff/B_Kaguya_P/Conundrum_1,Text,,,"Impossible Request ""Jewel from the Dragon's Neck -Five-Colored Shots-""",,难题「龙颈之玉　-五色的弹丸-」,難題「龍頸之玉　-五色的彈丸-」
Buff/B_Kaguya_P/Conundrum_2,Text,,,"Impossible Request ""Buddha's Stone Bowl -Indomitable Will-""",,难题「佛御石之钵　-不碎的意志-」,難題「佛禦石之缽　-不碎的意志-」
