Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_HakureiReimu_F_0_1_Description,Text,,,,,,
Buff/B_HakureiReimu_F_0_1_Name,Text,,,Boundary,,结界,
Buff/B_HakureiReimu_F_0_2_Description,Text,,,"At the start of next turn, draw a skill from the deck prioritizing owner's skills.",,下个回合开始时，优先抽取1个自己的技能；触发后移除。,
Buff/B_HakureiReimu_F_0_2_Name,Text,,,Surging Spirit,,灵力狂涌,
Buff/B_HakureiReimu_F_0_Description,Text,,,"At the start of next turn, draw a skill.",,下个回合开始时，抽取1个技能；触发后移除。,
Buff/B_HakureiReimu_F_0_Name,Text,,,Abundant Spirit,,灵力充沛,
Buff/B_HakureiReimu_F_10Rare_Description,Text,,,"After using 7 skills, this buff will be removed and deal damage to random enemies equal to %a[600% ATK].",,使用7个技能后，移除该增益，对随机敌人造成&a(600%)伤害。,
Buff/B_HakureiReimu_F_10Rare_Name,Text,,,Innate Dream,,梦想天生,
Buff/B_HakureiReimu_F_11Rare_0_Description,Text,,,"Consecutive skill uses will not lower <color=#B22222>Spell Card Level</color>. After the effect ends, all <color=#B22222>Spell Card Level</color> will be lost.",,连续使用技能不会失去<color=#B22222>符卡等级</color>。持续时间结束后，失去所有<color=#B22222>符卡等级</color>。,
Buff/B_HakureiReimu_F_11Rare_0_Name,Text,,,Unfinished Dream of All Living Ghost,,世界如此可爱,
Buff/B_HakureiReimu_F_11Rare_Description,Text,,,The effect of <color=#B22222>Spell Card Level</color> is changed to "Each stack provides 4% ATK and DEF.",,<color=#B22222>符卡等级</color>的效果变更为“每层提供4%攻击力和防御力”。,
Buff/B_HakureiReimu_F_11Rare_Name,Text,,,The Ground's Color is Yellow,,地之色乃黄色,
Buff/B_HakureiReimu_F_1_Description,Text,,,"When using a skill that costs 2 or more, deal an additional 15% damage.",,自身使用费用不低于2点的技能时，额外造成15%伤害。,
Buff/B_HakureiReimu_F_1_Name,Text,,,Exploding Spirit,,灵力迸放,
Buff/B_HakureiReimu_F_2_Description,Text,,,Your next skill deals 50% more damage and ignores defense.,,使自己的下1个技能的伤害+50%并且无视防御。,
Buff/B_HakureiReimu_F_2_Name,Text,,,Divine Possession,,神灵附体,
Buff/B_HakureiReimu_F_3_Description,Text,,,,,,
Buff/B_HakureiReimu_F_3_Name,Text,,,Bursting Spirit,,灵力激荡,
Buff/B_HakureiReimu_F_4_Name,Text,,,Exorcise Evil,,恶灵退散,
Buff/B_HakureiReimu_F_5_Name,Text,,,Evil-Sealing Circle,,封魔阵,
Buff/B_HakureiReimu_F_6_0_Description,Text,,,,,,
Buff/B_HakureiReimu_F_6_0_Name,Text,,,Danmaku Barrier,,弹幕结界,
Buff/B_HakureiReimu_F_6_Description,Text,,,Increases receiving pain damage by 35%.,,受到的痛苦伤害+35%。,
Buff/B_HakureiReimu_F_6_Name,Text,,,Hakurei Barrier,,博丽结界,
Buff/B_HakureiReimu_F_7_Description,Text,,,Cannot take action.,,无法行动。,
Buff/B_HakureiReimu_F_7_Name,Text,,,Duplex Barrier,,二重结界,
Buff/B_HakureiReimu_F_8_Description,Text,,,Debuffs received are reduced by 1 turn.,,受到的减益效果持续时间减少1回合。,
Buff/B_HakureiReimu_F_8_Name,Text,,,Mysterious,,不可思议,
Buff/B_HakureiReimu_F_C_0_Description,Text,,,,,,
Buff/B_HakureiReimu_F_C_0_Name,Text,,,Spirit Protection,,灵力庇护,
Buff/B_HakureiReimu_F_E_0_Name,Text,,,Hakurei Ofuda,,博丽符札,
Buff/B_HakureiReimu_F_E_1_0_Name,Text,,,Sealing Needle - Attack,,封魔针-攻,
Buff/B_HakureiReimu_F_E_1_1_Name,Text,,,Sealing Needle - Defense,,封魔针-防,
Buff/B_HakureiReimu_F_E_1_2_Name,Text,,,Sealing Needle - Accuracy,,封魔针-命,
Buff/B_HakureiReimu_F_E_1_3_Name,Text,,,Sealing Needle - Luck,,封魔针-运,
Buff/B_HakureiReimu_F_E_2_Description,Text,,,Your next skill deals 25% more damage.,,下1个技能造成的伤害增加25%。,
Buff/B_HakureiReimu_F_E_2_Name,Text,,,Bloodthirsty Yin-Yang Orb,,渴求鲜血的阴阳玉,
Buff/B_HakureiReimu_F_LucyD_0_Description,Text,,,"At the start of next turn, draw a skill from the deck prioritizing owner's skills.",,下个回合开始时，优先抽取1个自己的技能。,
Buff/B_HakureiReimu_F_LucyD_0_Name,Text,,,Prosperity Wish,,繁盛祈愿,
Buff/B_HakureiReimu_F_LucyD_1_Description,Text,,,,,,
Buff/B_HakureiReimu_F_LucyD_1_Name,Text,,,Happiness Wish,,幸福祈愿,
