Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
BattleDia/FKaguyaRevive/Text1,Text,,"이제, 진정한 달의 힘이 깨어납니다.","Now, the moon's original power is awakening.",今、月の本来の力が目覚める。 ,现在，月亮本来的力量正在苏醒。,
BattleDia/FKaguyaRevive/Text2,Text,,"무구한 달빛이, 무구한 대지에 요요히 빛납니다.",The pure moon shines eerily over the pure land.,穢れなき月が、穢れなき大地を輝き照らす。,无垢的月亮，妖异地照着无垢的大地。,
BattleDia/FMokouBattleEnd/Text1,Text,,"아야, 지쳤다 지쳤어.","Ugh, I'm exhausted.",ああ、もう疲れた。,诶诶、累死了累死了。,
BattleDia/FMokouBattleEnd/Text2,Text,,"비록 난 지지 않았지만, 네 승리라고 생각하자.","Even though I didn’t lose, let’s just say you won.",負けてはいないが、君たちの勝利としよう。,虽然我没有输，但这就算你们赢了吧。,
BattleDia/FMokouBattleEnd/Text3,Text,,대결의 보상으로 이걸 줄게.,"As a reward for the dare contest, take these items.",度胸試しの褒美として、これを持っていけ。,作为试胆大会的奖励，就收下这些东西吧。,
BattleDia/FMokouBattleEnd/Text4,Text,,난 푹 쉬고 돌아갈게. 행운을 빌어.,I’m going to rest now; good luck to you all.,私は戻って休む、幸運を祈っている。,我要回去休息了，祝你们好运。,
BattleDia/FMokouBattleStart/KMText1,Text,,"아아, 귀신에게 홀린건가. 카구야가 또 다른 나와 사이좋게 다가오고 있어.","Ah, what a surprise. I actually see Kaguya and another me getting along famously, coming right up to me.",ああ、どういうことだ。 輝夜ともう一人の私が仲良くやって来るなんて。,啊啊，真是见鬼。我竟然看见辉夜和另一个我关系超级融洽地走到我面前来了啊。,
BattleDia/FMokouBattleStart/KMText2,Text,,누가 이 녀석과 사이가 좋다는거야!,Who’s getting along with this guy?,誰だこいつと仲がいいのは！,谁和这家伙关系融洽啊！,
BattleDia/FMokouBattleStart/KMText3,Text,,"누구지.... 어, 왜 나랑 똑같이 생겼지? 돌연변이인가?","Who... Hey, why does this person look exactly like me? Is it a mutation?",誰だ......おい、なんでこいつは私にそっくりなんだ？ 異変か？,谁和……喂，这个怎么跟我长得一模一样？是异变吗？,
BattleDia/FMokouBattleStart/KMText4,Text,,어? 몰랐어? 아무도 너한테 말한 적 없구나?,Huh? You didn’t know? No one ever told you?,はぁ？知らないの？誰も教えてくれなかったの？,咦？你不知道吗？从来没人跟你说过？,
BattleDia/FMokouBattleStart/KMText5,Text,,"모르겠는데, 길에서 만난 사람이 너뿐만이 아니던가?",I didn’t know. I’ve only met you guys on the way.,知らない。 私がここで出会ったのは、お前たちだけだが？,我不知道啊。一路上过来遇到的不就只有你们吗。,
BattleDia/FMokouBattleStart/KMText6,Text,,"아아아아아, 보기만 해도 화가나는 걸.","Hey, hey, hey, just looking at this is infuriating.",おいおい、見てるだけでイライラする。,喂喂喂喂喂，光是看着就火大起来了。,
BattleDia/FMokouBattleStart/KMText7,Text,,"무슨 일인지는 모르겠지만, 화를 풀려면 두 사람을 쳐부숴야겠어!","I don’t understand what’s going on, but first, I need to punch these two to vent my anger!",何が何だかわからないが、怒りを晴らすために2人を殴るか！,虽然搞不清楚怎么回事，总之要先揍两个人解解气了！,
BattleDia/FMokouBattleStart/KMText8,Text,,아무튼 나중에 말할게! 먼저 이 가짜부터 해결하자!,"I’ll explain later! First, deal with this imposter!",話は後です！ まずはこの偽物を追い払いましょう！,总之之后再跟你说！先解决掉这个冒牌货吧！,
BattleDia/FMokouBattleStart/KMText9,Text,,"싸우는건 자신 있어!....잠깐, 가짜라니 무슨 뜻이야?","I’m best at fighting! ...Wait, what does “imposter” mean?",戦いは得意だ！ ......待て、偽者とはどういうことだ？,战斗的话我最拿手啦！……等等，冒牌货是什么意思？,
BattleDia/FMokouBattleStart/KText1,Text,,찾을 때는 못 찾더니 우연히 여기서 만나게 되네.,What a stroke of luck; I found this without much effort.,探し物を見つけるためには、多くの努力が必要だ。,真是踏破铁鞋无觅处，得来全不费工夫。,
BattleDia/FMokouBattleStart/KText2,Text,,"....아, 이거 작은 화식조 아니야?","...Oh, isn’t that the little turkey?",......ええ、それが小さな不死鳥でなければね。,……哦呀，这不是小火鸡吗。,
BattleDia/FMokouBattleStart/KText3,Text,,"하하, 여기가 어딘지 궁금했는데, 네가 내앞에 등장하다니.","Haha, I was curious about where I was, and then you appeared right in front of me.",はは、ここはどこだろうと考えていたら、お前たちが目の前に現れた。,哈哈，我正好奇这里是什么地方呢，你就出现在我面前了。,
BattleDia/FMokouBattleStart/KText4,Text,,이럴때 남은 정답은 단 하나!,"With this, there’s only one answer left!",この場合、残された答えは一つしかないだろ？,这样一来的话答案就只剩一个了吧！,
BattleDia/FMokouBattleStart/KText5,Text,,"아, 이 상황은 나 때문이 아니라는 것을 먼저 말할게.","Ah, just to be clear, this situation you're in isn’t my doing.",ああ、先に言っておくけど、この状況は私が招いたものじゃないわ。,啊，事先声明，你现在的处境不是我干的哦。,
BattleDia/FMokouBattleStart/KText6,Text,,"하지만, 네가 싸우고 싶다면 끝까지 어울려주지!","But if you want to fight, I’m up for it!",でも、あなたが戦いたいのなら、戦いましょう。,不过，你想打架的话我可以奉陪到底！,
BattleDia/FMokouBattleStart/MText1,Text,,"아아, 귀신에 홀렸나, 나랑 똑같이 생긴 또 다른 나를 본거 같아.","Ah, what a surprise. I actually saw another me exactly like me in the world.",ああ、どういうことだ。 私がもう一人いる。,啊啊，真是见鬼。我竟然看见了世界上一模一样的另一个我。,
BattleDia/FMokouBattleStart/MText2,Text,,"""도플갱어 이야기""지? 도플갱어를 본 사람은 두 달안에 죽는대.","“The Doppelg?nger Tale,” huh? They say people who see their doppelg?ngers die two months later.",「ドッペルゲンガーの話」？ ドッペルゲンガーに会うと2ヶ月で死らしいが。,「二重身怪谈」么？听说看到二重身的人，两个月后就会死。,
BattleDia/FMokouBattleStart/MText3,Text,,나는 죽을 수 없는데.,But I won’t die.,だが私は死なないだろう。,不过我是死不了的呢。,
BattleDia/FMokouBattleStart/MText4,Text,,"우연하게도, 나도 그런데. 피차일반이네","Coincidentally, neither will I; we’re both immortal.",私もそうだ、お互い様だろ。,正巧我也是，我们彼此彼此呢。,
BattleDia/FMokouBattleStart/MText5,Text,,불사자가 불사자를 만나다니....,Since immortals meet immortals...,不死者が不死者に会ったなら......。,既然不死人遇到不死人的话……,
BattleDia/FMokouBattleStart/MText6,Text,,..... 뭘 해야 할지는 뻔하잖아? 크게 한판 싸워보자고!,...It’s pretty obvious what to do next! Let’s have a grand battle!,......何をするかは明らかだろう？盛大に戦おうじゃないか！,……要做什么事就很明显了吧！来大战一场吧！,
BattleDia/FMokouBattleStart/Text1,Text,,"오늘 밤, 달빛은 평소보다 훨씬 밝게 비춥니다. 요괴가 소동을 일으키는 것은 불가피한 일입니다.",Tonight’s moonlight is much brighter than usual. It’s inevitable that youkai will be a bit restless.,今夜の月はいつもより明るい。 妖怪たちが暴れるのは当然だ。,今晚的月光，比往常又亮了很多。妖怪会有些骚动也是难免的呢。,
BattleDia/FMokouBattleStart/Text2,Text,,이런 밤에 어떤 바보가 외출을 할까요? 여기에 온 목적을 말해줄 수 있나요?,"On such a night, fools still go out. What’s your purpose for being here?",こんな夜に出歩く馬鹿がいるとは。 ここに来た目的を言え。,在这样的夜晚居然也会有傻瓜出门啊。说说你们来这里的目的吧？,
BattleDia/FMokouBattleStart/Text3,Text,,카구야는 이곳에서 마음껏 소리지를 수 있는 담력시험대회가 있다고 했습니다.,Kaguya said there’s a dare contest where you can create chaos however you like.,輝夜曰く、ここでは好きなだけ騒げると。,辉夜说这里有能怎么闹就怎么闹的试胆大会。,
