Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Inaba_1_Description,Text,,,,,,
Buff/B_Inaba_1_Name,Text,,,,,因幡/遮眼,
Buff/B_Inaba_3_Description,Text,,,,,每次受到追加攻击/反击时，减益抵抗率-5%。,
Buff/B_Inaba_3_Name,Text,,,,,因幡/花开,
Buff/B_Inaba_4_0_Description,Text,,,,,,
Buff/B_Inaba_4_0_Name,Text,,,,,因幡/药毒,
Buff/B_Inaba_4_1_Description,Text,,,,,,
Buff/B_Inaba_4_1_Name,Text,,,,,因幡/诡骗,
Buff/B_Inaba_4_2_Description,Text,,,,,,
Buff/B_Inaba_4_2_Name,Text,,,,,因幡/魅惑,
Buff/B_Inaba_7_0_Description,Text,,,,,代替拥有[因幡/逃逸]的单位受到伤害。,
Buff/B_Inaba_7_0_Name,Text,,,,,因幡/误导,
Buff/B_Inaba_7_Description,Text,,,,,"受到伤害时，转移给拥有[因幡/误导]的单位；
解除时优先抽取1个自己的技能。",
Buff/B_Inaba_7_Name,Text,,,,,因幡/逃逸,
Buff/B_Inaba_8_0_Description,Text,,,,,,
Buff/B_Inaba_8_0_Name,Text,,,,,因幡/兔怒,
Buff/B_Inaba_8_Description,Text,,,,,命中时消耗1层，使目标防御力-4%，闪避率-4%。最多叠加5次。,
Buff/B_Inaba_8_Name,Text,,,,,因幡/兔运,
Buff/B_Inaba_9_Description,Text,,,,,触发追加攻击/反击时，&target会同时对目标进行一次&a(30%)伤害的追加攻击（不会触发[辉夜/梦乡]）。,
Buff/B_Inaba_9_Name,Text,,,,,幻象/因幡,
Buff/B_Inaba_P_1_Description,Text,,,,,,
Buff/B_Inaba_P_1_Name,Text,,,,,因幡/地运,
Buff/B_Inaba_P_5_Description,Text,,,,,回合结束时，造成40伤害。攻击后将此减益转移至目标身上。,
Buff/B_Inaba_P_5_Name,Text,,,,,炸弹？！,
Buff/B_Inaba_Rare11_0_Description,Text,,,,,"无法行动，下个回合开始时解除；
解除时优先抽取2个自己的技能。",
