Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Sanae_2_Name,Text,,,,,奇迹于你,
Buff/B_Sanae_5_Description,Text,,,,,,
Buff/B_Sanae_5_Name,Text,,,,,东风轻抚,
Buff/B_Sanae_Rare10_Description,Text,,,,,手中所有的0费技能获得迅速，造成&a(20%)额外伤害或&b(20%)额外治疗。,
Buff/B_Sanae_Rare10_Name,Text,,,,,开海的奇迹,
Buff/B_Sanae_Rare12_Description,Text,,,,,使手中所有[风灵]的暴击率+100%。,
Buff/B_Sanae_Rare12_Name,Text,,,,,神风的奇迹,
Character/KochiyaSanae_CampSelectWord,Text,,,,,作为现人神我尚在修行，我会以神奈子大人和诹访子大人为目标努力向上。,
Character/KochiyaSanae_PassiveDes,Text,,,,,"<b>信仰是为了虚幻之人</b> - 每个回合开始时，生成1个[东风灵]。

<b>引发奇迹程度的能力</b> - 每使用4个0费的技能，获得1点法力值。

<b><color=green>连击X</color></b> - 每个回合中使用过的技能大于X个时，可以触发额外效果。",
Character/KochiyaSanae_PassiveName,Text,,,,,被祭拜的风之人,
Character/KochiyaSanae_SelectInfo,Text,,,,,"东风谷早苗是以快速使用技能为核心的治疗型辅助。

早苗能够使用技能生成大量的低费用衍生技能，并使用这些技能快速堆叠“连击”数。在“连击”数到达一定条件后，早苗的技能能够附带强力的额外效果。

试着结合风灵系的调查员，在扭曲之地刮起强劲的风吧！",
Character/KochiyaSanae_Text_Battle_AllyND_0,Text,,,,,我马上来治疗你！,
Character/KochiyaSanae_Text_Battle_Cri_0,Text,,,,,招来奇迹了哦！,
Character/KochiyaSanae_Text_Battle_Cri_1,Text,,,,,睁大眼睛，然后信仰我吧！,
Character/KochiyaSanae_Text_Battle_Healed_0,Text,,,,,帮大忙了……,
Character/KochiyaSanae_Text_Battle_Idle_0,Text,,,,,我是风祝早苗，是已经在外面世界绝迹了的现人神的末裔。,
Character/KochiyaSanae_Text_Battle_Kill_0,Text,,,,,在现人神的力量洗礼中思索吧！,
Character/KochiyaSanae_Text_Battle_ND_0,Text,,,,,咕……神奈子大人、诹访子大人……,
Character/KochiyaSanae_Text_Battle_Start_0,Text,,,,,就让我用现人神的力量好好惩治一下你吧，这召唤奇迹的神明之力！,
Character/KochiyaSanae_Text_Field_GetItem_0,Text,,,,,哼哼，宝箱什么的，用我招来奇迹的力量唾手可得啦！,
Character/KochiyaSanae_Text_Field_Idle_0,Text,,,,,有时候也很怀念在外界上学的日子呢……,
Character/KochiyaSanae_Text_Field_Idle_1,Text,,,,,在扭曲之地能收集到信仰吗？,
Character/KochiyaSanae_Text_Field_Potion_P_0,Text,,,,,用奇迹之力净化这个药水的话……,
Character/KochiyaSanae_Text_PharosLeader_0,Text,,,,,我该信仰的，是法洛斯……,
Character/KochiyaSanae_Text_PharosLeader_1,Text,,,,,……诶？！,
Character/KochiyaSanae_Text_PharosLeader_2,Text,,,,,拜倒在法洛斯的神力之下吧！,
Character/KochiyaSanae_Text_Witch_0,Text,,,,,我不要紧的！,
Character/KochiyaSanae_Text_Witch_1,Text,,,,,呜……我、我不要紧的……,
Character/KochiyaSanae_name,Text,,,,,东风谷早苗,
Item_Equip/E_Sanae_0_Description,Text,,,,,每个回合第1次使用0费的技能时，生成1个那个的复制，并附加暴击率+100%。,
Item_Equip/E_Sanae_0_name,Text,,,,,奇迹于你,
SimpleCampDialogue/CampDial_KochiyaSanae_Azar_Dialogues_0,Text,,,,,[A]风灵和幻影剑，简直是最佳搭配！,
SimpleCampDialogue/CampDial_KochiyaSanae_Azar_Dialogues_1,Text,,,,,[B]喂，小心别把我手牌给爆了——,
SimpleCampDialogue/CampDial_KochiyaSanae_Cirno_Dialogues_0,Text,,,,,[A]啊，琪露诺，要不要来信仰我试试看？,
SimpleCampDialogue/CampDial_KochiyaSanae_Cirno_Dialogues_1,Text,,,,,[B]哼哼，咱可是最强的！才不需要信仰那种东西哦！,
SimpleCampDialogue/CampDial_KochiyaSanae_Daiyousei_Dialogues_0,Text,,,,,[A]咦？！有妖怪，该治退了！,
SimpleCampDialogue/CampDial_KochiyaSanae_Daiyousei_Dialogues_1,Text,,,,,[B]呜呜！我、我不是……！,
SimpleCampDialogue/CampDial_KochiyaSanae_Daiyousei_Dialogues_2,Text,,,,,[A]——哎呀，原来是大妖精。好险好险，差点就出手了，抱歉抱歉——,
SimpleCampDialogue/CampDial_KochiyaSanae_Daiyousei_Dialogues_3,Text,,,,,[B]呜呜……差点就要死了……,
SimpleCampDialogue/CampDial_KochiyaSanae_Eirin_Dialogues_0,Text,,,,,[B]早苗，,
SimpleCampDialogue/CampDial_KochiyaSanae_Eirin_Dialogues_1,Text,,,,,[A]永琳大人，不管干什么都逃不过您的眼睛呢。,
SimpleCampDialogue/CampDial_KochiyaSanae_Eirin_Dialogues_2,Text,,,,,[B]欸欸，要是你在我看不见的地方受伤的话可就苦恼了。,
