Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Lumiore_12Rare_Description,Text,,,,,每次手中的技能被交换/丢弃时，对随机敌人造成 %a 点伤害，恢复体力最低的队友 %b 点体力。1回合最多触发20次。,
Buff/B_Lumiore_12Rare_Name,Text,,,,,狂涛蛇颈龙,
Buff/B_Lumiore_13Rare_Description,Text,,,,,每次手中的技能被交换/丢弃时，对所有敌人造成 %a 点伤害。1回合最多触发20次。,
Buff/B_Lumiore_13Rare_Name,Text,,,,,金色威信,
Buff/B_Lumiore_14Rare_Description,Text,,,,,保护体力极限，受到的伤害转变为0。,
Buff/B_Lumiore_14Rare_Name,Text,,,,,背水一战,
Buff/B_Lumiore_5_Description,Text,,,,,,
Buff/B_Lumiore_5_Name,Text,,,,,龙之启示,
Buff/B_Lumiore_6_Description,Text,,,,,保护体力极限。全抗性增加。,
Buff/B_Lumiore_6_Name,Text,,,,,黑白乱舞,
Buff/B_Lumiore_P_Description,Text,,,,,,
Buff/B_Lumiore_P_Name,Text,,,,,弃牌次数,
Character/Lumiore_CampSelectWord,Text,,,,,,
Character/Lumiore_PassiveDes,Text,,,,,"战斗开始时，获得1点最大法力值。如果觉醒（最大法力值超过7点），部分卡片会有额外效果。
觉醒：战斗开始时，额外抽取1张技能。",
Character/Lumiore_PassiveName,Text,,,,,龙之启示,
Character/Lumiore_SelectInfo,Text,,,,,"單翼就是不尋常，這句話我都聽膩了呢。
但是……不尋常就代表是最特別的！
就由我來證明。作為姊姊、作為大家的範本！
那麼，可愛的弟妹們！之後就交給姊姊大人我吧！",
Character/Lumiore_name,Text,,,,,璐米欧儿,
Skill/S_Lumiore_0_Description,Text,,,,,丢弃1个手中最下面的技能，抽1个技能。,
Skill/S_Lumiore_0_Name,Text,,,,,翱翔的龙人,
Skill/S_Lumiore_10_Description,Text,,,,,觉醒 - 回复2点法力。,
Skill/S_Lumiore_10_Name,Text,,,,,暴戾龙人,
Skill/S_Lumiore_12Rare_0_Description,Text,,,,,,
Skill/S_Lumiore_12Rare_0_Name,Text,,,,,狂涛蛇颈龙,
Skill/S_Lumiore_12Rare_Description,Text,,,,,丢弃1个技能，抽取2个技能。,
Skill/S_Lumiore_12Rare_Name,Text,,,,,狂涛蛇颈龙,
Skill/S_Lumiore_13Rare_0_Description,Text,,,,,,
