Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_FFAce_0_Description,Text,,,,,"每层使[红焰轮舞]的伤害增加&a(攻击力的20%)。
叠加至3层时，生成1张[赤红之炎]（触发时解除）。",
Buff/B_FFAce_0_Ex_Name,Text,,,,,深度灼伤,
Buff/B_FFAce_0_Name,Text,,,,,赤红之炎,
Buff/B_FFAce_1_Description,Text,,,,,"受到来自艾斯的物理伤害量+30%；
受到深度灼伤的伤害量+25%。",
Buff/B_FFAce_1_Name,Text,,,,,灼魂刻印,
Buff/B_FFAce_2_1_Description,Text,,,,,叠加至3层时，&user攻击该目标后获得1层[赤红之炎]，并额外造成&a点伤害(&user攻击力的150%)，并施加100%成功率的1回合眩晕，然后解除该减益。,
Buff/B_FFAce_2_1_Name,Text,,,,,朱雀之怒,
Buff/B_FFAce_2_Description,Text,,,,,攻击单个敌人时，为目标施加1层[朱雀之怒]（追加攻击和反击不能触发）。,
Buff/B_FFAce_2_Name,Text,,,,,朱雀之契,
Buff/B_FFAce_3_Count_Name,Text,,,,,计数器,
Buff/B_FFAce_3_Description,Text,,,,,"闪避一次攻击，触发后解除该增益。
使敌人最先释放的下个攻击技能只能攻击有零式预判的友军。",
Buff/B_FFAce_3_Name,Text,,,,,零式预判,
Buff/B_FFAce_4_1_Description,Text,,,,,,
Buff/B_FFAce_4_1_Name,Text,,,,,攻击力提升,
Buff/B_FFAce_4_Count_Name,Text,,,,,计数器,
Buff/B_FFAce_4_Name,Text,,,,,属性提升,
Buff/B_FFAce_5_1_Description,Text,,,,,"达到4层后，再次受到物理攻击时使目标和目标两边的敌人受到&a点伤害(&user攻击力的120%)；
若只有一个敌人，则受到&b点伤害(&user攻击力的170%)。
触发后解除该减益。",
Buff/B_FFAce_5_1_Name,Text,,,,,霜冻,
Buff/B_FFAce_5_Description,Text,,,,,"攻击单个敌人时，为目标施加1层[霜冻]。
当[苍蓝之冰]达到4层时，在手中生成1张[苍蓝之冰]并解除该增益。",
Buff/B_FFAce_5_Ex_Description,Text,,,,,"无法行动。
当受到物理攻击时，受到&a点伤害(&user攻击力的170%)，并解除该减益。",
Buff/B_FFAce_5_Ex_Name,Text,,,,,冰冻,
Buff/B_FFAce_5_Name,Text,,,,,苍蓝之冰,
Buff/B_FFAce_6_Description,Text,,,,,攻击单个敌人时，为目标施加1层[霜冻]（追加攻击和反击不能触发）。,
Buff/B_FFAce_6_Name,Text,,,,,冰晶共鸣,
Buff/B_FFAce_7_Description,Text,,,,,每次受到伤害时将被施加1层[霜冻]（1个回合内最多触发2次）。,
Buff/B_FFAce_7_Name,Text,,,,,凛冬之契,
Buff/B_FFAce_LucyD_Description,Text,,,,,下次使用固定能力时可额外查看&a个技能，并触发相应的[翻开]效果。,
Buff/B_FFAce_LucyD_Name,Text,,,,,翻牌强化,
Buff/B_FFAce_Rare_1_0_Name,Text,,,,,,
Buff/B_FFAce_Rare_1_Description,Text,,,,,"受到来自&user的伤害的暴击率+25%，
受到来自&user的暴击伤害+35%。",
Buff/B_FFAce_Rare_1_Name,Text,,,,,燎原之契,
Buff/B_FFAce_Rare_2_0_Description,Text,,,,,固定能力的费用减少1点。,
Buff/B_FFAce_Rare_2_0_Name,Text,,,,,固定能力费用减少,
Buff/B_FFAce_Rare_2_Description,Text,,,,,"每个回合首次使用固定能力时，额外翻开一张牌并获得相应的[翻开]效果。
每个回合开始时，额外获得1层[赤红之炎]。
生成的[红焰轮舞]和[赤红之炎]的费用减少1点。
使用[红焰轮舞]和[赤红之炎]时，额外造成&a点伤害(&user攻击力的100%)的追加攻击。",
Buff/B_FFAce_Rare_2_Name,Text,,,,,朱雀刻印,
Character/FFAce_PassiveDes,Text,,,,,"固定能力变更为‘翻牌’：
从牌库和弃牌库中翻出随机1张自己的技能，根据牌上的[翻开]效果获得相应的增益，然后将此技能放回原位；若翻出的技能没有[翻开]效果，则将此技能置入手中。

<color=#919191>- 此被动从1级开始生效。</color>",
Character/FFAce_PassiveName,Text,,,,,翻牌,
Character/FFAce_name,Text,,,,,艾斯,
Skill/S_FFAce_0_Description,Text,,,,,翻开：不将本技能将放回原位，而是置入手中，并获得1层[赤红之炎]。,
Skill/S_FFAce_0_Ex_Name,Text,,,,,赤红之炎,
Skill/S_FFAce_0_Name,Text,,,,,红焰轮舞,
Skill/S_FFAce_1_Description,Text,,,,,"使用后，在手中生成1张[红焰轮舞]。
翻开：不将本技能将放回原位，而是置入手中。可再次使用固定能力。",
Skill/S_FFAce_1_Name,Text,,,,,灼魂刻印,
Skill/S_FFAce_2_Description,Text,,,,,翻开：获得持续2回合的“攻击力上升15%”增益，并可再次使用固定能力。下次使用固定能力时可额外查看1个技能，并触发相应的[翻开]效果。,
Skill/S_FFAce_2_Name,Text,,,,,朱雀之契,
Skill/S_FFAce_3_Description,Text,,,,,"抽到这张牌时，使用这张牌的[翻开]效果。
翻开：从弃牌库中选择1张调查员的普通技能置入手中并减少1费。1个回合中最多触发2次该效果。",
Skill/S_FFAce_3_Name,Text,,,,,零式预判,
Skill/S_FFAce_4_Description,Text,,,,,"从手中选择丢弃2个技能，然后抽取2个技能：
若抽到的牌中有攻击牌，则使随机队友获得持续2回合的“攻击力和治疗力+15%”；
若丢弃的技能中有艾斯的牌，则额外使艾斯获得持续2回合的“攻击力+15%”。
翻开：展示弃牌库和牌库中所有的自己的普通技能，选择1个技能拿到手中并获得相应的[翻开]效果，1个回合中最多触发1次该效果。",
Skill/S_FFAce_4_Name,Text,,,,,命运轮抽,
Skill/S_FFAce_5_Description,Text,,,,,"翻开：不再将本技能放回原位置，而是置入手中，并获得1层[苍蓝之冰]。
可以选择丢弃手中的1个技能并抽取1个技能。",
Skill/S_FFAce_5_Ex_Description,Text,,,,,,
Skill/S_FFAce_5_Ex_Name,Text,,,,,苍蓝之冰,
Skill/S_FFAce_5_Name,Text,,,,,霜月轮转,
Skill/S_FFAce_6_Description,Text,,,,,"此技能被丢弃时，拿回手中并使艾斯获得1层[苍蓝之冰]。
翻开：获得1层[苍蓝之冰]，可再次使用固定能力。",
Skill/S_FFAce_6_Name,Text,,,,,冰晶共鸣,
Skill/S_FFAce_7_Description,Text,,,,,"此技能被丢弃时，在手中生成一张[霜月轮转]。
翻开：选择牌库和手牌中的1张专属技能丢弃，并抽取1个技能。",
Skill/S_FFAce_7_Name,Text,,,,,凛冬之契,
Skill/S_FFAce_LucyD_Description,Text,,,,,"抽取2个技能。
若艾斯的固定能力可使用，恢复1点费用；
若艾斯的固定能力不可使用，则使艾斯可再次使用固定能力。
艾斯的下次[翻牌]可额外翻开一张牌并选择1个[翻开]效果使用。",
Skill/S_FFAce_LucyD_Name,Text,,,,,共鸣,
Skill/S_FFAce_P_Description,Text,,,,,"从牌库和弃牌库中翻出随机1张自己的技能。
根据牌上的[翻开]效果获得相应的效果，然后将该技能放回原位。
若翻出的技能没有[翻开]效果，则将此技能置入手中。",
Skill/S_FFAce_P_Name,Text,,,,,翻牌,
