Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_FLancelot_0_1_Name,Text,,,,,防御穿透,防禦穿透
Buff/B_FLancelot_0_2_Name,Text,,,,,群体回血,群體回血
Buff/B_FLancelot_0_3_Name,Text,,,,,闪避率提升,閃避率提升
Buff/B_FLancelot_0_Description,Text,,,,,,
Buff/B_FLancelot_0_Name,Text,,,,,最大体力值提升,最大體力值提升
Buff/B_FLancelot_10_0_Description,Text,,,,,每次行动时受到 2% 最大体力值的伤害。,行動時，受到等同於最大體力值2%的傷害。
Buff/B_FLancelot_10_0_Name,Text,,,,,龙泪,龍淚
Buff/B_FLancelot_10_1_Name,Text,,,,,防御力提升,防禦力提升
Buff/B_FLancelot_10_Description,Text,,,,,"使用技能时，依据技能的指向：
指向敌人 - 对其他敌人造成该技能40%的伤害。
所有敌人 - 额外施加持续 3 回合的“每次行动时受到 2% 最大体力值的伤害”。
自身 - 额外施加“防御力+2”，并恢复 1 点法力值。","使用技能時，根據指向觸發對應效果：
指向敵人 - 對目標以外的所有敵人造成相當於該技能傷害量40%的傷害。
所有敵人 - 額外施加 3 回合的「行動時，受到等同於最大體力值2%的傷害」。
自身 - 使自身防禦力增加 2 點，並恢復 1 點法力值。"
Buff/B_FLancelot_10_Name,Text,,,,,阿尔比昂的遗骸,阿爾比昂的遺骸
Buff/B_FLancelot_1_Description,Text,,,,,下 1 次使用技能时恢复 1 点法力值。,下 1 次使用技能時恢復 1 點法力值。
Buff/B_FLancelot_1_Name,Text,,,,,妖精剑舞,妖精劍舞
Buff/B_FLancelot_2_Description,Text,,,,,"只能指定&user为目标。
受到&user以外的伤害减少50%；受到来自&user的伤害提高50%。
被&user击杀时，获得100金币，增加 2 点好感度。","只能指定&user為目標。
受到來自&user的傷害增加50%，其他傷害則減少50%。
被&user擊殺時，獲得100金幣，增加 2 點好感度。"
Buff/B_FLancelot_2_Name,Text,,,,,你已深陷于我,你已深陷於我
Buff/B_FLancelot_3_0_Name,Text,,,,,攻击力提升,攻擊力提升
Buff/B_FLancelot_3_Description,Text,,,,,"&user获得自身一半的攻击力。
回合结束时，若本回合&user受到过自身伤害，获得伤害量40%的保护罩。
被&user击杀时，获得 2 灵魂石，增加 2 点好感度。","&user獲得相當於自身攻擊力50%的攻擊力。
回合結束時，若本回合自身對&user造成過傷害，則&user獲得等同於傷害量之和40%的保護罩。
被&user擊殺時，獲得 2 個靈魂石，增加 2 點好感度。"
Buff/B_FLancelot_3_Name,Text,,,,,你已无法离开我,你已無法離開我
Buff/B_FLancelot_4_0_Description,Text,,,,,,
Buff/B_FLancelot_4_0_Name,Text,,,,,你已完全属于我,你已完全屬於我
Buff/B_FLancelot_4_Description,Text,,,,,"无法对&user施加减益效果。
无法恢复体力值。","無法對&user施加減益效果。
無法恢復體力值。"
Buff/B_FLancelot_4_Name,Text,,,,,你已完全属于我,你已完全屬於我
Buff/B_FLancelot_5_1_Description,Text,,,,,,
Buff/B_FLancelot_5_1_Name,Text,,,,,暴击率提升,暴擊率提升
Buff/B_FLancelot_5_Description,Text,,,,,,
Buff/B_FLancelot_5_Name,Text,,,,,易伤,易傷
Buff/B_FLancelot_6_0_Description,Text,,,,,根据当前回合数，提升1倍的防御力、最大体力值和5倍的减益成功率。,獲得當前回合數 1 倍的防禦力、 1 倍的最大體力值、5倍的減益成功率提升。
Buff/B_FLancelot_6_0_Name,Text,,,,,妖精湖的加护（伪）,妖精湖的加護（偽）
Buff/B_FLancelot_6_Description,Text,,,,,根据当前回合数，提升2倍的防御力、最大体力值和10倍的减益成功率。,獲得當前回合數 2 倍的防禦力、 2 倍的最大體力值、10倍的減益成功率提升。
Buff/B_FLancelot_6_Name,Text,,,,,妖精湖的加护,妖精湖的加護
Buff/B_FLancelot_7_Description,Text,,,,,,
Buff/B_FLancelot_7_Name,Text,,,,,暴击率提升,暴擊率提升
Buff/B_FLancelot_8_0_Name,Text,,,,,最大体力值提升,最大體力值提升
Buff/B_FLancelot_8_Description,Text,,,,,,
Buff/B_FLancelot_8_Name,Text,,,,,苍穹的试炼,蒼穹的試煉
Buff/B_FLancelot_9_0_Name,Text,,,,,终焉,終焉
Buff/B_FLancelot_9_1_Name,Text,,,,,攻击力提升,攻擊力提升
Buff/B_FLancelot_9_Description,Text,,,,,,
Buff/B_FLancelot_9_Name,Text,,,,,防御力降低,防禦力降低
Buff/B_FLancelot_Barrier_Name,Text,,,,,保护罩,保護罩
Buff/B_FLancelot_C_1_Description,Text,,,,,"特殊形态。
每次使用自身技能时，获得 1 层“龙之心”。","特殊型態。
使用自身的技能時，獲得 1 層龍之心。"
Buff/B_FLancelot_C_1_Name,Text,,,,,邪龙,邪龍
Buff/B_FLancelot_C_2_Description,Text,,,,,"特殊形态。
每个回合开始时，获得 1 次等待次数。
每次使用自身技能时，获得 1 层“舞者”。","特殊型態。
回合開始時，若上回合為「騎士」型態，則獲得 1 次等待次數。
使用自身的技能時，獲得 1 層舞者。"
Buff/B_FLancelot_C_2_Name,Text,,,,,骑士,騎士
Buff/B_FLancelot_LucyD_0_Description,Text,,,,,,
Buff/B_FLancelot_LucyD_0_Name,Text,,,,,每回合抽牌,每回合抽牌
Buff/B_FLancelot_LucyD_Description,Text,,,,,,
Buff/B_FLancelot_LucyD_Name,Text,,,,,保护体力极限,保護體力極限
Buff/B_FLancelot_P_1_Description,Text,,,,,当前体力值小于等于最大体力值的50%。,若體力值高於50%，則將此增益轉化為理性。
Buff/B_FLancelot_P_1_Name,Text,,,,,狂化,狂化
Buff/B_FLancelot_P_2_Description,Text,,,,,当前体力值大于最大体力值的50%。,若體力值不高於50%，則將此增益轉化為狂化。
Buff/B_FLancelot_P_2_Name,Text,,,,,理性,理性
Buff/B_FLancelot_P_3_Description,Text,,,,,,
Buff/B_FLancelot_P_3_Name,Text,,,,,龙之心,龍之心
Buff/B_FLancelot_P_4_Description,Text,,,,,,
Buff/B_FLancelot_P_4_Name,Text,,,,,舞者,舞者
Buff/B_FLancelot_P_Description,Text,,,,,"每 10 点好感度提高 0.5 攻击力和 2 点最大体力。
部分技能根据好感度获得不同强化。

当前誓约：&a
当前状态：&b","每 10 點好感度提高 0.5 攻擊力和 2 點最大體力值。
部分技能根據好感度獲得不同強化。

目前誓約：&a
目前誓約的狀態：&b"
Buff/B_FLancelot_P_Name,Text,,,,,好感度,好感度
Buff/B_FLancelot_Rare_1_Description,Text,,,,,"释放技能时，重复释放 5 次，每次降低10%伤害。
击杀敌人时，恢复 1 点法力值，闪避率加成变为70%。
<b><color=#87CEFA>无法切换为“邪龙”。</color></b>","使用技能時，重複生效 5 次，但傷害量分別降低為90%/80%/70%/60%/50%。
擊殺敵人時，恢復 1 點法力值，並使此增益的閃避率變為+70%。
<b><color=#87CEFA>本場戰鬥中不再切換「型態」。</color></b>"
Buff/B_FLancelot_Rare_1_Name,Text,,,,,湖光骑士,湖光騎士
Buff/B_FLancelot_Rare_2_0_Description,Text,,,,,,
Buff/B_FLancelot_Rare_2_0_Name,Text,,,,,幻想破灭,幻想破滅
Buff/B_FLancelot_Rare_2_Description,Text,,,,,"从好感度中获得的基础属性翻倍。
所有技能的伤害提升 &a (攻击力的110%)。
回合结束时，根据剩余法力值获得对应攻击力提升。
每次造成不低于 20 点伤害时，使所有队友获得 5 点保护罩。","好感度提供的能力值翻倍。
自身的所有技能造成 &a 點額外傷害(攻擊力的110%)。
回合結束時，每剩餘 1 點法力值，便使自身的攻擊力在本場戰鬥中增加 1 點。
每當自身造成不低於 20 點的傷害，便對所有友軍施加 5 點保護罩。
<b><color=red>本場戰鬥中不再切換「型態」。</color></b>"
Buff/B_FLancelot_Rare_2_Name,Text,,,,,幻想种,幻想種
Character/FairyLancelot_PassiveDes,Text,,,,,"最大法力值提升 1 点。

体力值小于等于最大体力值50%时，获得“狂化”；否则获得“理智”。

每回合开始时，从“骑士”和“邪龙”中选择1项作为自己的形态。

无法违背的誓约：进入战斗时，从 5 种“誓言”中选择 2 项。
若在战斗中违背“誓言”，则好感度降低 2 点。
若遵守“誓言”完成战斗，增加对应的好感度。
到达100好感度时，解锁这个被动，不再需要“誓言”。","使最大法力值增加 1 點。

體力值不高於最大值的50%時，獲得狂化；高於50%，獲得理智。
回合開始時，選擇將自己的型態轉換為「騎士」或「邪龍」。

無法違背的誓約：戰鬥開始時，若蘭斯洛特的好感度低於100，則從 5 種「誓言」中選擇 2 項，在本場戰鬥中生效。
每有 1 條選擇的誓約無法遵守，則減少 2 點好感度；否則，依據「誓言」內容增加好感度。"
Character/FairyLancelot_PassiveName,Text,,,,,妖精骑士,妖精騎士
Character/FairyLancelot_name,Text,,,,,兰斯洛特,蘭斯洛特
