Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Feiyap_0_Description,Text,,,"At the end of the turn, remove 1 stack of this buff.",,回合结束时，移除 1 层该增益效果。,
Buff/B_Feiyap_0_Name,Text,,,Blood Like Flowing Blades,,血似刃流,
Buff/B_Feiyap_1_Description,Text,,,,,,
Buff/B_Feiyap_1_Name,Text,,,Burning Within,,体内灼烧,
Buff/B_Feiyap_5_Description,Text,,,Cannot receive any healing effects from other units.,,不会被施加任何来自其他单位的治疗效果。,
Buff/B_Feiyap_5_Name,Text,,,Lone Swallow's Glance,,孤燕之瞥,
Buff/B_Feiyap_6_Description,Text,,,Using skills does not consume mana.,,释放自身的技能时不需要消耗法力值。,
Buff/B_Feiyap_6_Name,Text,,,Ascend to Divinity,,化身成神,
Buff/B_Feiyap_7_Description,Text,,,"Perfect Dodge.
When triggering Dodge, perform a counterattack, dealing &a damage (100% of ATK) and applying 1 stack of 'Burning Within'.
Removes after triggering.",,"闪避下 1 次受到的攻击。
触发闪避时，进行一次反击，造成&a伤害(攻击力的100%)，并施加 1 层“体内灼烧”。
触发后解除。",
Buff/B_Feiyap_7_Name,Text,,,Illusory Moon,,镜花水月,
Buff/B_Feiyap_Rare_1_Description,Text,,,"Passive ""Feiyap Style"" has been changed: When attacking deals damage, (<sprite=1>100%) applies <sprite name=""Feiyap_blood""><color=#FF3030>Feiye</color>.",,被动“绯夜流”的效果变更为：自身拥有保护体力极限时，攻击造成非痛苦伤害时(<sprite=1>100%)施加<sprite name="Feiyap_blood"><color=#FF3030>绯夜</color>。,
Buff/B_Feiyap_Rare_1_Name,Text,,,Another Possibility,,另一种可能性,
Buff/B_Feiyap_Rare_2_Description,Text,,,,,,
Buff/B_Feiyap_Rare_2_Name,Text,,,Heat Death,,热寂,
Buff/B_RemiliaScarlet_0_Description,Text,,,"When calculating damage, 25% of the damage dealt will overheal &user.",,结算伤害时，造成伤害的25%将会超额治疗&user。,
Buff/B_RemiliaScarlet_0_Name,Text,,,<sprite name="Feiyap_blood"><color=#FF3030>Crimson Night</color>,,<sprite name="Feiyap_blood"><color=#FF3030>绯夜</color>,
Character/Feiyap_CampSelectWord,Text,,,"Greetings, Miss Lucy. I am Feiyap. Take me to the battlefield.",,您好，露西小姐。在下绯夜氏。带我上战场吧。,
