Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Boss_FeiyapMage_P_1_Description,Text,,현재 중첩: &a,Current Stacks: &a,現在の層数：&a,当前层数：&a,
Buff/B_Boss_FeiyapMage_P_1_Name,Text,,백교수,Ambidexterity,百巧手,百巧手,
Buff/B_Boss_FeiyapMage_P_Description,Text,,"조사관이 공격 스킬과 치유 스킬을 번갈아 사용할 때마다 「백교수」를 1중첩 획득합니다. 「백교수」 1중첩당 「공격력 +1, 치유력 +1」을 제공합니다.","When an investigator alternates between using attack skills and healing skills, gain 1 stack of ""Ambidexterity"". Each stack of ""Ambidexterity"" grants ""Attack Power +1, Healing Power +1"".",調査員が攻撃スキルと回復スキルを交互に使用するたび、「百巧手」を1層獲得する。各層の「百巧手」は「攻撃力+1、回復力+1」を与える。,调查员交替使用攻击技能和治疗技能时，获得 1 层“百巧手”。每层“百巧手”提供“攻击力+1，治疗力+1”。,
Buff/B_Boss_FeiyapMage_P_Name,Text,,희소마녀,Giggling Witch,嬉笑魔女,嬉笑魔女,
Buff/B_FeiyapTank_0_Description,Text,,,,,,
Buff/B_FeiyapTank_0_Name,Text,,쇄갑,Shattered Armor,砕甲,碎甲,
Buff/B_FeiyapTank_1_Description,Text,,받는 <color=purple>고통 피해</color>가 40% 증가합니다.,Increases <color=purple>Pain damage</color> received by 40%.,受ける<color=purple>苦痛ダメージ</color>が40%増加する。,受到<color=purple>痛苦伤害</color>提升40%。,
Buff/B_FeiyapTank_1_Name,Text,,피개육잔,Ripped Open,皮開肉綻,皮开肉绽,
Buff/B_FeiyapTank_2_Description,Text,,"피해로 전투 불능이 되지 않습니다.
턴 종료 시 1중첩을 제거합니다.","Cannot faint due to damage.
Removes 1 stack at the end of the turn.","ダメージによって戦闘不能にならない。
ターン終了時、1層を除去する。","不会因为受到伤害导致无法战斗。
回合结束时移除 1 层。",
Buff/B_FeiyapTank_2_Name,Text,,착신,Passing By,錯身,错身,
Buff/B_FeiyapTank_4_1_Description,Text,,,,,,
Buff/B_FeiyapTank_4_1_Name,Text,,혈읍성계,Bloody Stream,血泣成渓,血泣成溪,
Buff/B_FeiyapTank_4_2_Description,Text,,,,,,
Buff/B_FeiyapTank_4_2_Name,Text,,홍혈,Red Blood,紅血,红血,
Buff/B_FeiyapTank_4_Description,Text,,"&user가 피해를 입을 때, 동일한 수치의 <color=purple>고통 피해</color>를 받습니다.","When &user takes damage, take <color=purple>Pain damage</color> equal to that amount.",&userがダメージを受けたとき、同量の<color=purple>苦痛ダメージ</color>を自身が受ける。,&user受到伤害时，自身受到相同数值的<color=purple>痛苦伤害</color>。,
Buff/B_FeiyapTank_4_Name,Text,,곡혈,Crying Blood,哭血,哭血,
Buff/B_FeiyapTank_6_Description,Text,,잃은 체력 1%마다 방어력이 0.5% 증가합니다.,"For every 1% of HP lost, DEF increases by 0.5%.",失った体力値1%につき、防御力が0.5%上昇する。,每失去1%体力值，防御力提升0.5%。,
Buff/B_FeiyapTank_6_Name,Text,,검훈,Kissing Sword,剣吻,剑吻,
Buff/B_FeiyapTank_7_Description,Text,,"다른 조사관이 공격받을 때, 자신이 대신 피해를 받습니다.
발동 시 1중첩을 감소시킵니다.","When other investigators are attacked, take the damage instead.
When triggering, reduce 1 stack.","他の調査員が攻撃を受けたとき、自身が代わりに受ける。
発動時、1層減少する。","其他调查员受到攻击时，自身代为承受。
触发时减少 1 层。",
Buff/B_FeiyapTank_7_Name,Text,,신속,Godspeed,神速,神速,
Buff/B_FeiyapTank_P_Description,Text,,"피해를 입을 때 자신의 스킬이 카운트다운 중이면, 이번 턴 동안 공격력이 그 피해량만큼 증가합니다.","When taking damage while own skill is counting, increase Attack Power by same value until the end of the turn.",ダメージを受けたとき、自身のスキルがカウントダウン中であれば、このターンの間攻撃力がそのダメージ分上昇する。,受到伤害时，若自身有技能处于倒计时期间，本回合内攻击力提升那个伤害的值。,
Buff/B_FeiyapTank_P_Name,Text,,절사어면,Cutting Mercy,切捨御免,切舍御免,
Buff/B_FeiyapTank_Rare_1_1_Description,Text,,"체력을 10 잃을 때마다 공격력 +1%。<color=purple>고통 피해</color>를 받을 때, 최대 체력이 그 피해량만큼 증가합니다.
<color=purple>고통 피해</color>로 전투 불능이 되지 않습니다.","When taking <color=purple>Pain damage</color>, increase MAXHP by same value.
For every 10 HP lost, gain '+1% Attack Power'.
Cannot faint due to <color=purple>Pain damage</color>.","体力値を10失うごとに攻撃力+1%。<color=purple>苦痛ダメージ</color>を受けたとき、最大体力値がそのダメージ分増加する。
<color=purple>苦痛ダメージ</color>によって戦闘不能にならない。","自身每失去 10 点体力值，攻击力+1%；受到<color=purple>痛苦伤害</color>时，最大体力值增加那个伤害的值。
不会因为受到<color=purple>痛苦伤害</color>导致无法战斗。",
Buff/B_FeiyapTank_Rare_1_1_Name,Text,,한때 자색이었던 비,The Rain Formerly Known as Purple,かつて紫なりし雨,雨曾为紫,
Buff/B_FeiyapTank_Rare_1_Description,Text,,"고통 디버프가 부여될 때마다, 그 디버프의 피해를 1회 발동합니다.","Whenever a debuff is applied to it, trigger that debuff's damage once.",苦痛デバフを付与されるたび、そのデバフのダメージを1回発動する。,每次被施加痛苦减益时，触发 1 次该减益的伤害。,
Buff/B_FeiyapTank_Rare_1_Name,Text,,자우,Purple Rain,紫雨,紫雨,
Buff/B_FeiyapTank_Taunt_Description,Text,,"&target 이외의 대상을 공격할 수 없습니다.
대상을 공격하면 해제됩니다.",,"&target以外の対象を攻撃できない。
対象を攻撃すると解除される。","无法攻击&target以外的目标。
攻击目标时解除。",
Buff/B_FeiyapTank_Taunt_Name,Text,,겨루기,,手合わせ,交手,
Buff/B_R_Boss_FeiyapMage_0_Name,Text,,희소마녀의 총애,Giggling Witch's Favor,嬉笑魔女の寵愛,嬉笑魔女的宠爱,
Buff/B_R_Boss_FeiyapMage_1_Name,Text,,희소마녀의 익애,Giggling Witch's Adoration,嬉笑魔女の溺愛,嬉笑魔女的溺爱,
Character/FeiyapTank_CampSelectWord,Text,,귀찮아 죽겠군…… 어차피 저놈들을 모조리 없애면 되는 거지?,"What a pain... Just kill them all, right?",面倒くさい……どうせあいつらを皆殺しにすればいいんだろ？,麻烦死了……反正把那些家伙杀光就行了吧？,
Character/FeiyapTank_PassiveDes,Text,,"피해를 입을 때 자신의 스킬이 카운트다운 중이면, 이번 턴 동안 공격력이 그 피해량만큼 증가합니다.","When taking damage while own skill is counting, increase Attack Power by same value until the end of the turn.",ダメージを受けたとき、自身のスキルがカウントダウン中であれば、このターンの間攻撃力がそのダメージ分上昇する。,受到伤害时，若有自己的技能处于倒计时，本回合内攻击力提升那个伤害的值。,
Character/FeiyapTank_PassiveName,Text,,절사어면,Cutting Mercy,切捨御免,切舍御免,
