Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/Reimu_Gift_Normal/001,Text,,"*하쿠레이 레이무
뭐야? 나한테 주는 거야?",,,"*博丽灵梦
什么？这是给我的礼物？","*博麗靈夢
什麼？這是给我的禮物？"
Dialogue/Reimu_Gift_Normal/002,Text,,"*하쿠레이 레이무
후후, 수년동안 다양한 사람에게서 선물을 받았지만 이렇게 작은 인간 꼬마에게 받는 건 처음이네.",,,"*博丽灵梦
嘿嘿，这些年被各种各样的人送过礼物，但是被这么小的人类孩子送礼倒还是头一次。","*博麗靈夢
嘿嘿，這些年被各種各样的人送過禮物，
但是被這麼小的人類孩子送禮，倒還是頭一次。"
Dialogue/Reimu_Gift_Normal/003,Text,,"*하쿠레이 레이무
소중히 쓸게.",,,"*博丽灵梦
我会好好珍惜的。","*博麗靈夢
我會好好珍惜的。"
Dialogue/Reimu_Gift_Sake/001,Text,,"*하쿠레이 레이무
사케? 일본인이라면 누구나 좋아하는 술이지.",,,"*博丽灵梦
清酒？这在日本可是人见人爱的东西哦。","*博麗靈夢
清酒？這在日本可是人見人愛的東西哦。"
Dialogue/Reimu_Gift_Sake/002,Text,,"*하쿠레이 레이무
하지만 미성년자는 마시면 안돼. 이건 언니가 압수해야겠어.",,,"*博丽灵梦
不过，未成年人可不能饮酒哦。这东西就由灵梦姐姐收下啦。","*博麗靈夢
不過，未成年人可不能飲酒哦。這東西就由靈夢姐姐收下啦。"
Dialogue/Reimu_Gift_Sake/003,Text,,"*하쿠레이 레이무
나는 뭐냐고? 후후, 나는 인간의 법도에는 얽매이지 않는다고?",,,"*博丽灵梦
我吗？嘿嘿，我可不受人类法律的束缚哦？","*博麗靈夢
我嗎？嘿嘿，我可不受人類法律的束缚哦？"
Dialogue/Reimu_Gift_Sake/004,Text,,"*하쿠레이 레이무
내 능력이라면 자유롭게 살아도 아무도 속박하지 못하니까.",,,"*博丽灵梦
毕竟我的能力就是能够自由自在、不受束缚的影响嘛。","*博麗靈夢
畢竟我的能力就是能夠自由自在、不受束縛的影響嘛。"
Dialogue/Reimu_Gift_Cake/001,Text,,"*하쿠레이 레이무
치즈 케이크? 뒤틀린 땅에 이런 사치품이! 나한테 주는 거야?",,,"*博丽灵梦
芝士蛋糕？这在扭曲之地可是珍惜品耶！要送给我吗？","*博麗靈夢
這蛋糕？這在扭曲之地可是珍惜品耶！要送给我嗎？"
Dialogue/Reimu_Gift_Cake/002,Text,,"*하쿠레이 레이무
고마워, 루시! 뒤틀린 땅에 온 뒤로 케이크를 먹은 적이 없었어.",,,"*博丽灵梦
谢谢你，露西！自从来到扭曲之地之后，我还从来没有品尝过蛋糕呢。","*博麗靈夢
謝謝你，露西！自從來到扭曲之地之後，我還從來沒有品嚐過蛋糕呢。"
Dialogue/Reimu_Gift_Cake/003,Text,,"*하쿠레이 레이무
레미라면 분명 이런 걸 좋아하겠지……레미가 누구냐고?",,,"*博丽灵梦
蕾米一定很喜欢这种东西吧……你问我蕾米是谁？","*博麗靈夢
蕾米一定很喜歡這種東西吧……妳問我蕾米是誰？"
Dialogue/Reimu_Gift_Cake/004,Text,,"*하쿠레이 레이무
내 동료야. 너도 분명 그녀를 보면 마음에 들게 될 거야",,,"*博丽灵梦
她是我的一个伙伴哦。你一定也会很喜欢她的。","*博麗靈夢
她是我的一個伙伴哦。妳一定也會很喜歡她的。"
Dialogue/Reimu_Gift_FishingRod/001,Text,,"*하쿠레이 레이무
루시, 내가 낚시 좋아하는 건 또 어떻게 알았어? 비밀이었는데.",,,"*博丽灵梦
露西，你是怎么知道我有钓鱼的秘密爱好的？","*博麗靈夢
露西，妳是怎麼知道我有釣魚的秘密愛好的？"
