Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Tenki_10_Description,Text,,,,手札にあるレアスキルのコストが1減少する。,手中的稀有技能的费用降低1点。,
Buff/B_Tenki_10_Name,Text,,,,天気 – 疎雨,天气 - 疏雨,
Buff/B_Tenki_11_Description,Text,,,,,,
Buff/B_Tenki_11_Name,Text,,,,天気 – 風雨,天气 - 风雨,
Buff/B_Tenki_12_Description,Text,,,,追加攻撃/反撃で与えるダメージが33%増加する。,追加攻击/反击造成的伤害提升33%。,
Buff/B_Tenki_12_Name,Text,,,,天気 – 晴嵐,天气 - 晴岚,
Buff/B_Tenki_13_Description,Text,,,,手札にあるスキルに挑発無視を与える。,使手中的技能获得“无视嘲讽”。,
Buff/B_Tenki_13_Name,Text,,,,天気 – 川霧,天气 - 川雾,
Buff/B_Tenki_14_Name,Text,,,,天気 – 台風,天气 - 台风,
Buff/B_Tenki_15_Description,Text,,,,"ランダムな天気の効果を得る。 スキルを使用するたび、天気が変化する。
現在の天気：&a","获得随机天气的面板属性。每次使用技能后改变。
当前生效的天气为：&a",
Buff/B_Tenki_15_Name,Text,,,,天気 – 極光,天气 - 极光,
Buff/B_Tenki_16_Description,Text,,,,ターン終了時、体力を10回復する。,回合结束时，治疗10点体力。,
Buff/B_Tenki_16_Name,Text,,,,天気 – 凪,天气 - 凪,
Buff/B_Tenki_17_Name,Text,,,,天気 – ダイヤモンドダスト,天气 - 钻石尘,
Buff/B_Tenki_18_Description,Text,,,,,,
Buff/B_Tenki_18_Name,Text,,,,天気 – 黄砂,天气 - 黄沙,
Buff/B_Tenki_19_Description,Text,,,,,,
Buff/B_Tenki_19_Name,Text,,,,天気 – 烈日,天气 - 烈日,
Buff/B_Tenki_1_Description,Text,,,,,,
Buff/B_Tenki_1_Name,Text,,,,天気 – 快晴,天气 - 快晴,
Buff/B_Tenki_20_Description,Text,,,,,,
Buff/B_Tenki_20_Name,Text,,,,天気 – 梅雨,天气 - 梅雨,
Buff/B_Tenki_2_Description,Text,,,,,,
Buff/B_Tenki_2_Name,Text,,,,天気 – 霧雨,天气 - 雾雨,
Buff/B_Tenki_3_Description,Text,,,,手札の一番上と一番下のスキルのダメージ/回復量が6増加する。,使手中最上方和最下方的技能的伤害量或治疗量提升6点。,
Buff/B_Tenki_3_Name,Text,,,,天気 – 曇天,天气 - 云天,
Buff/B_Tenki_4_Description,Text,,,,このターン中に使用したスキル1枚ごとに、攻撃力、 クリティカル率、命中率が1%増加する。,本回合内每使用1个技能，获得“攻击力+1%、暴击率+1%、命中率+1%”。,
Buff/B_Tenki_4_Name,Text,,,,天気 – 蒼天,天气 - 苍天,
Buff/B_Tenki_5_Name,Text,,,,天気 – 雹,天气 - 雹,
Buff/B_Tenki_6_Name,Text,,,,天気 – 花曇,天气 - 花云,
Buff/B_Tenki_7_Description,Text,,,,自身を与えたダメージの10%で回復する。,造成伤害的10%治疗自己。,
Buff/B_Tenki_7_Name,Text,,,,天気 – 濃霧,天气 - 浓雾,
Buff/B_Tenki_8_Description,Text,,,,,,
Buff/B_Tenki_8_Name,Text,,,,天気 – 雪,天气 - 雪,
Buff/B_Tenki_9_Description,Text,,,,固定能力に基本を与える。,使固定技能附带基本功。,
Buff/B_Tenki_9_Name,Text,,,,天気 – 天気雨,天气 - 太阳雨,
Buff/B_Tenshi_1_Description,Text,,,,,,
Buff/B_Tenshi_1_Name,Text,,,,<color=#97FFFF>気質</color>顕現,<color=#97FFFF>气质</color>显现,
Buff/B_Tenshi_4_Description,Text,,,,次のターン開始時、すべての<color=#B22222>天</color><color=#00BFFF>気</color><color=#00FF7F>バ</color><color=#FFD700>フ</color>が提示され、1つ選んでそれを得る。,下个回合开始时，展示所有<color=#B22222>天</color><color=#00BFFF>气</color><color=#00FF7F>增</color><color=#FFD700>益</color>，选择并获得其中一个。,
Buff/B_Tenshi_4_Name,Text,,,,天候操作,气候操纵,
Buff/B_Tenshi_7_Name,Text,,,,無念無想,无念无想,
Buff/B_Tenshi_8_Description,Text,,,,,,
Buff/B_Tenshi_8_Name,Text,,,,気炎万丈,气焰万丈,
Buff/B_Tenshi_LucyD_Description,Text,,,,バフを得るたび、スキルを1枚引く。(最大で4枚),获得增益时抽取1个技能（最多触发4次）。,
Buff/B_Tenshi_LucyD_Name,Text,,,,勇気凛々,勇气凛凛,
Buff/B_Tenshi_P_Description,Text,,,,現在の<color=#97FFFF>気質</color>：&a,当前拥有的<color=#97FFFF><color=#97FFFF>气质</color></color>：&a,
Buff/B_Tenshi_P_Name,Text,,,,天人の体,天人之体,
