Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
BattleDia/Boss_Tenshi/Text1,Text,,,,,哦呀，居然还有人能顺利到达这里。,
BattleDia/Boss_Tenshi/Text2,Text,,,,,正好！吾在这里停留得也有些闷了。,
BattleDia/Boss_Tenshi/Text3,Text,,,,,就用你们来解解闷吧！,
BattleDia/Boss_Tenshi_Reimu/Text1,Text,,,,,灵梦！总算等到你了哇。你来的也太慢了！,
BattleDia/Boss_Tenshi_Reimu/Text10,Text,,,,,——啊哈哈！什么呀，灵梦！你明明知道答案的不对吗？！,
BattleDia/Boss_Tenshi_Reimu/Text11,Text,,,,,想要从吾这里得到这个，就先战胜吾吧！,
BattleDia/Boss_Tenshi_Reimu/Text12,Text,,,,,…………唉，我就知道会是这样啊……,
BattleDia/Boss_Tenshi_Reimu/Text13,Text,,,,,露西，我们要应战了！,
BattleDia/Boss_Tenshi_Reimu/Text2,Text,,,,,什么……？天子？为什么你会在这里……,
BattleDia/Boss_Tenshi_Reimu/Text3,Text,,,,,吾在这里看到了很像博丽神社的地方，想着幻想乡的同伴会不会也来这里，于是一直在这里等着呢。,
BattleDia/Boss_Tenshi_Reimu/Text4,Text,,,,,跟在你后边的这个小女孩是……？,
BattleDia/Boss_Tenshi_Reimu/Text5,Text,,,,,她是我的朋友，露西。我们正在寻找时光之影，你有什么头绪吗？,
BattleDia/Boss_Tenshi_Reimu/Text6,Text,,,,,时光之影……不会是这个东西吧？吾在神社里捡到的怪东西呢。,
BattleDia/Boss_Tenshi_Reimu/Text7,Text,,,,,………………,
BattleDia/Boss_Tenshi_Reimu/Text8,Text,,,,,……虽然很多余，但还是容我询问一下。天子，你能把那个东西给我吗？,
BattleDia/Boss_Tenshi_Reimu/Text9,Text,,,,,……,
BattleDia/S_Tenshi_Rare_4/Text1,Text,,,,,自一至十，吾已完美！,
BattleDia/S_Tenshi_Rare_4/Text2,Text,,,,,吾即剑，吾即天，吾即是十全十美之天人！,
BattleDia/S_Tenshi_Rare_4/Text3,Text,,,,,迎接天光闪耀的力量吧！,
