Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Inaba_1_Description,Text,,,,,,
Buff/B_Inaba_1_Name,Text,,이나바/맹안,Inaba/Blinding,因幡/遮眼,因幡/遮眼,
Buff/B_Inaba_3_Description,Text,,추가공격/반격 시 마다 디버프 저항률 -5%,"Each time you receive additional attacks or counterattacks, reduce all resistance by 5%.",追加攻撃/反撃を受けるたび、デバフレジストが5%減少する。,每次受到追加攻击/反击时，减益抵抗率-5%。,
Buff/B_Inaba_3_Name,Text,,이나바/개화,Inaba/Blossom,因幡/開花,因幡/花开,
Buff/B_Inaba_4_0_Description,Text,,,,,,
Buff/B_Inaba_4_0_Name,Text,,이나바/화독,Inaba/Poison,因幡/薬毒,因幡/药毒,
Buff/B_Inaba_4_1_Description,Text,,,,,,
Buff/B_Inaba_4_1_Name,Text,,이나바/기만,Inaba/Trickery,因幡/欺瞞,因幡/诡骗,
Buff/B_Inaba_4_2_Description,Text,,,,,,
Buff/B_Inaba_4_2_Name,Text,,이나바/매료,Inaba/Allure,因幡/魅惑,因幡/魅惑,
Buff/B_Inaba_7_0_Description,Text,,[이나바/도피]를 가진 유닛이 대신 피해를 입습니다.,Takes damage on behalf of ally with [Inaba/Escape].,[因幡/逃走]を持つ者がダメージを受けるとき、代わりにそのダメージを苦痛ダメージとして受ける。,代替拥有[因幡/逃逸]的单位受到伤害。,
Buff/B_Inaba_7_0_Name,Text,,이나바/오도,Inaba/Misdirection,因幡/誤導,因幡/误导,
Buff/B_Inaba_7_Description,Text,,"피해를 받으면 [이나바/오도]를 가진 아군에게 이전됩니다.
제거 시 자신의 스킬을 우선으로 1장 뽑습니다.","When receiving damage, transfer it to a unit with [Inaba/Misdirection].
Upon removal, prioritize drawing one of your own skills.","ダメージを受けるとき、[因幡/誤導]を持つ者にそのダメージを移す。
これが除去されたとき、自身のスキルを優先して1枚引く。","受到伤害时，转移给拥有[因幡/误导]的单位；
解除时优先抽取1个自己的技能。",
Buff/B_Inaba_7_Name,Text,,이나바/도피,Inaba/Escape,因幡/逃走,因幡/逃逸,
Buff/B_Inaba_8_0_Description,Text,,,,,,
Buff/B_Inaba_8_0_Name,Text,,이나바/토끼분노,Inaba/Rabbit Fury,因幡/兎怒,因幡/兔怒,
Buff/B_Inaba_8_Description,Text,,"공격 시 1중첩을 소모하여 대상의 방어력을 -4%, 회피율을 -4%로 만듭니다.
최대 5중첩까지 가능합니다.","When hitting, consume 1 stack to reduce the target’s defense by 4% and dodge rate by 4%. Can stack up to 5 times.",命中時ストックを1消費して、対象の防御力と回避率を4%減少させる。ストックの上限は5。,命中时消耗1层，使目标防御力-4%，闪避率-4%。最多叠加5次。,
Buff/B_Inaba_8_Name,Text,,이나바/토끼운송,Inaba/Rabbit Luck,因幡/兎運,因幡/兔运,
Buff/B_Inaba_9_Description,Text,,"추가 공격/반격 발동 시 &target은 대상에게 &a(30%)피해량의 추가 공격을 합니다.
([카구야/꿈의고향]은 발동되지 않습니다.)","When triggering additional attacks or counterattacks, &target will simultaneously deal an additional attack to the target for &a (30%) damage (does not trigger [Kaguya/Dreamland]).",追加攻撃/反撃を発動させたとき、&targetは同時に対象に&a(30%)のダメージを与える追撃を行う(この追撃では[輝夜/夢郷]は発動しない)。,触发追加攻击/反击时，&target会同时对目标进行一次&a(30%)伤害的追加攻击（不会触发[辉夜/梦乡]）。,
Buff/B_Inaba_9_Name,Text,,환상/이나바,Illusion/Inaba,幻影/因幡,幻象/因幡,
Buff/B_Inaba_P_1_Description,Text,,,,,,
Buff/B_Inaba_P_1_Name,Text,,이나바/지운,Inaba/Earth Luck,因幡/地運,因幡/地运,
Buff/B_Inaba_P_5_Description,Text,,"턴 종료 시 40피해를 입습니다. 
공격 후 대상에게 이 디버프를 전달합니다.","At the end of the turn, deal 40 damage. After attacking, transfer this debuff to the target.",攻撃や回復後、対象にこれを移す。ターン終了時に40のダメージを与える。,回合结束时，造成40伤害。攻击后将此减益转移至目标身上。,
Buff/B_Inaba_P_5_Name,Text,,폭탄?!,Bomb?!,爆弾？！,炸弹？！,
Buff/B_Inaba_Rare11_0_Description,Text,,"행동불가.
다음 턴 시작 시 제거됩니다.
제거 시 자신의 스킬을 우선으로 2장 뽑습니다.","Cannot take action.
Removed at the beginning of the next turn.
Upon removal, prioritize drawing two of your own skills.","行動不能、次のターン開始時に除去される。
除去されたとき、自身のスキルを優先して2枚引く。","无法行动，下个回合开始时解除；
解除时优先抽取2个自己的技能。",
Buff/B_Inaba_Rare11_0_Name,Text,,선향옥토?,Lunar Rabbit Incense?,仙香玉兎？,仙香玉兔？,
Buff/B_Inaba_Rare11_Description,Text,,,,,,
Buff/B_Inaba_Rare11_Name,Text,,국사무쌍?,Peerless Patriot?,国士無双？,国士无双？,
Buff/B_Inaba_SE_C2_Description,Text,,받는 추가공격의 피해량이 100% 증가합니다.,Additional attack damage received is increased by 100%.,追加攻撃を受けるとそのダメージが100%増加する。,受到的追加攻击伤害+100%。,
Buff/B_Inaba_SE_C2_Name,Text,,이나바/협동운송,Inaba/Coordinated Luck,因幡/協同,因幡/协运,
