Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Jhin_2_Description,Text,,,This target has been injured this turn and is already marked!,,这个目标本回合内受过伤，已经被标记了！,
Buff/B_Jhin_2_Name,Text,,,Revealing a Flaw,,露出破绽,
Buff/B_Jhin_3_Description,Text,,,,,,
Buff/B_Jhin_3_Name,Text,,,Grinding Incense to Dust,,碾香入尘,
Buff/B_Jhin_4_Description,Text,,,Cannot target other characters.,,无法指定其他角色。,
Buff/B_Jhin_4_Name,Text,,,Exposed Flaw,,穿帮,
Buff/B_Jhin_5_1_Description,Text,,,Excess Critical Rate beyond 100% is converted into Critical Damage.,,自身超过100%的暴击率转化为暴击伤害。,
Buff/B_Jhin_5_1_Name,Text,,,By the Book,,一板一眼,
Buff/B_Jhin_5_Description,Text,,,"When this debuff is removed, (444% <sprite=2>) Stun.",,这个减益解除时，(444%<sprite=2>)眩晕。,
Buff/B_Jhin_5_Name,Text,,,Grand Entrance,,盛装登场,
Buff/B_Jhin_7_Description,Text,,,Art requires meticulous crafting...,,艺术需要精心雕琢…,
Buff/B_Jhin_7_Name,Text,,,Patience is key...,,要耐心…,
Buff/B_Jhin_C_2_Name,Text,,,Critical Rate increased,,暴击率提升,
Buff/B_Jhin_P_0_Description,Text,,,The 4th skill used will always be Critical and deals additional damage equal to 44% of the target's lost HP.,,第 4 个技能总是会产生暴击，并造成相当于目标已损失生命值的44%的额外伤害。,
Buff/B_Jhin_P_0_Name,Text,,,Final Chapter,,终章,
Buff/B_Jhin_P_1_Description,Text,,,There is a time for movement and stillness; the greatest sound is faint and rare.,,动静有时，大音希声。,
Buff/B_Jhin_P_1_Name,Text,,,Perfection,,完美,
Buff/B_Jhin_P_Description,Text,,,Only 4 skills can be used per turn. Skills used this turn: <color=orange>&a</color>/4,,每个回合只能使用 4 个技能。当前使用的技能数：<color=orange>&a</color>/4,
Buff/B_Jhin_P_Name,Text,,,Four Acts of Death,,死之四章,
Buff/B_Jhin_Rare_1_1_Name,Text,,,Stage Fright,,怯场,
Buff/B_Jhin_Rare_1_2_Name,Text,,,Grand Beauty Approaches,,大美将至,
Buff/B_Jhin_Rare_1_Description,Text,,,"<color=red>Cannot use skills other than 'Curtain Call'.</color>
Removed at turn end or when 'Curtain Call - Finale' is played.",,"<color=red>无法使用“完美谢幕”以外的技能。</color>
回合结束时解除，或在打出“完美谢幕 - 谢幕曲”时解除。",
Buff/B_Jhin_Rare_1_Name,Text,,,The Curtain Rises Slowly,,大幕渐起,
