Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_KirisameMarisa_0_Description,Text,,,,,,
Buff/B_KirisameMarisa_0_Name,Text,,,,,危险星空,
Buff/B_KirisameMarisa_1_Description,Text,,,,,,
Buff/B_KirisameMarisa_1_Name,Text,,,,,危险冲刺,
Buff/B_KirisameMarisa_3_Description,Text,,,,,,
Buff/B_KirisameMarisa_3_Name,Text,,,,,危险银河,
Buff/B_KirisameMarisa_4_Name,Text,,,,,危险情感,
Buff/B_KirisameMarisa_6_Description,Text,,,,,受到攻击后减少一层。,
Buff/B_KirisameMarisa_6_Name,Text,,,,,危险信号,
Buff/B_KirisameMarisa_7_1_Description,Text,,,,,,
Buff/B_KirisameMarisa_7_1_Name,Text,,,,,危险突破,
Buff/B_KirisameMarisa_7_Description,Text,,,,,"手中的技能无视嘲讽。
根据当前的攻击力，获得防御力。
进入濒死状态时解除。",
Buff/B_KirisameMarisa_7_Name,Text,,,,,危险空间,
Buff/B_KirisameMarisa_8_Description,Text,,,,,下一个“指向敌人”的技能获得“同时攻击所有敌人；且若目标只有一个，以暴击形式命中”的效果。,
Buff/B_KirisameMarisa_8_Name,Text,,,,,危险改装,
Buff/B_KirisameMarisa_9_1_Description,Text,,,,,速度低于0时，每少1点提供“+10%暴击率和+10%暴击伤害”，最多5点。,
Buff/B_KirisameMarisa_9_1_Name,Text,,,,,危险本能,
Buff/B_KirisameMarisa_9_2_Description,Text,,,,,当体力值降到0点及以下时体力值变成1点。,
Buff/B_KirisameMarisa_9_2_Name,Text,,,,,危险领域,
Buff/B_KirisameMarisa_9_Description,Text,,,,,速度大于0时，每多1点提供“+10%暴击率和+10%暴击伤害”，最多5点。,
Buff/B_KirisameMarisa_9_Name,Text,,,,,危险冲动,
Buff/B_KirisameMarisa_DangerTrigger_Description,Text,,,,,<color=#00BFFF>危险等级</color>上限+1。,
Buff/B_KirisameMarisa_DangerTrigger_Name,Text,,,,,危险扳机,
Buff/B_KirisameMarisa_P_1_Description,Text,,,,,造成暴击时解除。,
Buff/B_KirisameMarisa_P_1_Name,Text,,,,,超绝偷感,
Buff/B_KirisameMarisa_P_Description,Text,,,,,,
Buff/B_KirisameMarisa_P_Name,Text,,,,,<color=#00BFFF>危险等级</color>,
Buff/B_KirisameMarisa_Rare_11_Description,Text,,,,,无敌。,
Buff/B_KirisameMarisa_Rare_11_Name,Text,,,,,危险升空！,
Buff/B_KirisameMarisa_Rare_12_Description,Text,,,,,使用技能时减少一层，造成额外&a点伤害<color=#FF7A33>(攻击力的100%)</color>。,
Buff/B_KirisameMarisa_Rare_12_Name,Text,,,,,卫星幻觉,
Character/KirisameMarisa_CampSelectWord,Text,,,,,呀嚯！我是雾雨魔理沙，是解决疑难杂症的专家！,
Character/KirisameMarisa_PassiveDes,Text,,,,,"<b>东洋的西洋魔术师</b> - 回合开始时，雾雨魔理沙获得1层[超绝偷感]。

<b><color=#00BFFF>危险等级</color></b> - 雾雨魔理沙每次使用攻击技能时，获得1层<color=#00BFFF>危险等级</color>。进入濒死状态时，失去所有<color=#00BFFF>危险等级</color>。
每层<color=#00BFFF>危险等级</color>提供2%攻击力和-2%防御力，并会解锁技能的额外效果。
最多拥有4层<color=#00BFFF>危险等级</color>。",
Character/KirisameMarisa_PassiveName,Text,,,,,普通的魔法使,
Character/KirisameMarisa_SelectInfo,Text,,,,,"雾雨魔理沙是极致进攻化的超级攻击手。

雾雨魔理沙通过使用技能来改变自身的速度，能够自在地在高速和低速两种模式中进行战斗。在高速模式下，雾雨魔理沙拥有较高的闪避能力，但也会承受更高的伤害，需要在敌人行动之前尽快解决敌人；在低速模式下，雾雨魔理沙能宛如固定炮台一般，以恐怖的火力将敌人歼灭。

为了尽可能地发挥魔理沙的能力，请仔细挑选成长的路线、进攻的手段以及能够产生搭配的队友吧。",
Character/KirisameMarisa_Text_Battle_Cri_0,Text,,,,,你的手段我已经全都看破了！,
Character/KirisameMarisa_Text_Battle_Healed_0,Text,,,,,呼啊，谢谢你！,
Character/KirisameMarisa_Text_Battle_Idle_0,Text,,,,,在制定战术方案吗？,
Character/KirisameMarisa_Text_Battle_Idle_1,Text,,,,,看啊！你头顶的星星在闪耀着！,
Character/KirisameMarisa_Text_Battle_Kill_0,Text,,,,,GET DA☆ZE！,
Character/KirisameMarisa_Text_Battle_ND_0,Text,,,,,呜……好痛啊……,
Character/KirisameMarisa_Text_Battle_Start_0,Text,,,,,我的魔炮已经饥渴难耐了！,
Character/KirisameMarisa_Text_Battle_Start_1,Text,,,,,八卦炉，全功率启动！,
Character/KirisameMarisa_Text_Field_GetItem_0,Text,,,,,在空无一人的房子里搜宝物是基本中的基本哦。,
Character/KirisameMarisa_Text_Field_GetItem_1,Text,,,,,在有NPC的房子里搜宝物也是基本中的基本。,
Character/KirisameMarisa_Text_Field_Idle_0,Text,,,,,最近森林里的蘑菇长得太快，诡异得很呢。,
Character/KirisameMarisa_Text_Field_Idle_1,Text,,,,,什么大事都没发生弄得大家也没变化，好无聊啊。,
Character/KirisameMarisa_Text_MasterTarget,Text,,,,,回去告诉大家，英勇的魔理沙已经和管理员同归于尽了！,
Character/KirisameMarisa_Text_PharosLeader_0,Text,,,,,总而言之就是把这里那里全部轰平就可以了对吧？,
Character/KirisameMarisa_Text_PharosLeader_1,Text,,,,,八卦炉没能量了……真没劲……,
Character/KirisameMarisa_Text_PharosLeader_2,Text,,,,,魔炮可不长眼！,
Character/KirisameMarisa_Text_Witch_0,Text,,,,,区区诅咒，对本魔理沙大人来说不算什么啦！,
Character/KirisameMarisa_Text_Witch_1,Text,,,,,回去以后一定要找灵梦给我驱驱邪……,
Character/KirisameMarisa_name,Text,,,,,雾雨魔理沙,
Character_Skin/KirisameMarisaChrist_SkinDesc,Text,,,,,我要办一场豪华璀璨的圣诞派对！,
Character_Skin/KirisameMarisaChrist_SkinName,Text,,,,,红白魔法使,
Character_Skin/KirisameMarisaEclipse_SkinDesc,Text,,,,,"我会让你见识到地狱的见面礼……
我特别准备了超强火力！",
Character_Skin/KirisameMarisaEclipse_SkinName,Text,,,,,奇妙的魔法使,
