Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/Marisa_Gift_Normal/001,Text,,,,,"*雾雨魔理沙
呜哇，居然要送礼物给我吗？",
Dialogue/Marisa_Gift_Normal/002,Text,,,,,"*雾雨魔理沙
谢谢你，露西！我就不客气地收下啦！",
Dialogue/Marisa_Gift_Normal/003,Text,,,,,"*雾雨魔理沙
下次有机会的话，我用扫帚带你去兜风哦！",
Dialogue/Marisa_Gift_Sake/001,Text,,,,,"*雾雨魔理沙
哦哦，这是烧酒啊，烧酒！",
Dialogue/Marisa_Gift_Sake/002,Text,,,,,"*雾雨魔理沙
好！事不宜迟！这就坐下来一起喝两杯吧！",
Dialogue/Marisa_Gift_Sake/003,Text,,,,,"*雾雨魔理沙
咦？你是未成年，还不能喝酒吗？真是可惜。",
Dialogue/Marisa_Gift_Sake/004,Text,,,,,"*雾雨魔理沙
我？……我、我、我成年了唷？所以能喝的啦……能喝的啦！",
Dialogue/Marisa_Gift_DVD/001,Text,,,,,"*雾雨魔理沙
哦哦！这不是浪漫电影的DVD嘛！",
Dialogue/Marisa_Gift_DVD/002,Text,,,,,"*雾雨魔理沙
上次和爱丽丝一起看到一半来着，后面还没看完呢！主角一直在说“你说什么？”，我还以为是黑崎一护转世呢。",
Dialogue/Marisa_Gift_DVD/003,Text,,,,,"*雾雨魔理沙
不，不是约翰认识的那个爱丽丝啦……",
Dialogue/Marisa_Gift_DVD/004,Text,,,,,"*雾雨魔理沙
她是个做事非常认真仔细的人。你们一定会很合得来的！",
Dialogue/Marisa_Gift_Gun/001,Text,,,,,"*雾雨魔理沙
哦哦！我在霖之助那里见过这个！",
Dialogue/Marisa_Gift_Gun/002,Text,,,,,"*雾雨魔理沙
听说装填弹药之后发射出来的子弹比符卡更加迅速、威力更大呢！",
Dialogue/Marisa_Gift_Gun/003,Text,,,,,"*雾雨魔理沙
……这个只是装饰品？没关系啦，就算是真的我也不会拿来用。",
Dialogue/Marisa_Gift_Gun/004,Text,,,,,"*雾雨魔理沙
下次去找霖之助炫耀一下好了！",
Dialogue/Marisa_Gift_Mugwort/001,Text,,,,,"*雾雨魔理沙
艾草？虽然一般不会用上，不过嘛……等到缺的时候再找可就难找咯！",
Dialogue/Marisa_Gift_Mugwort/002,Text,,,,,"*雾雨魔理沙
嗯？你问我要用来做什么？",
Dialogue/Marisa_Gift_Mugwort/003,Text,,,,,"*雾雨魔理沙
还能做什么呀，我可是魔女，在大锅里倒进各种各样的东西熬药不是基本功嘛！",
Dialogue/Marisa_Lv1/001,Text,,,,,"*露西
魔理沙小姐，你在做什么？",
Dialogue/Marisa_Lv1/002,Text,,,,,"*雾雨魔理沙
露西？你怎么跑这儿来了。我在看这里的草呢。",
Dialogue/Marisa_Lv1/003,Text,,,,,"*雾雨魔理沙
看，这两株植物有什么区别，能分辨出来吗？",
Dialogue/Marisa_Lv1/004,Text,,,,,"*露西
唔，一种带刺，一种不带刺。",
Dialogue/Marisa_Lv1/005,Text,,,,,"*雾雨魔理沙
那么，猜猜它们之中谁是不带毒的呢？",
Dialogue/Marisa_Lv1/006,Text,,,,,"*露西
……是不带刺的吗？",
Dialogue/Marisa_Lv1/007,Text,,,,,"*雾雨魔理沙
哈哈，因为觉得它不带刺所以需要毒液来保护自己吗？恰恰相反呢。",
Dialogue/Marisa_Lv1/008,Text,,,,,"*雾雨魔理沙
这株看起来无毒无害的植物，就是我们常用的药草。另一株是合成标记药水常用的素材喔。",
Dialogue/Marisa_Lv1/009,Text,,,,,"*露西
药草既没有刺也没有毒，不是等着被吃吗？",
Dialogue/Marisa_Lv1/010,Text,,,,,"*雾雨魔理沙
是啊。",
Dialogue/Marisa_Lv1/011,Text,,,,,"*露西
……为什么？",
Dialogue/Marisa_Lv1/012,Text,,,,,"*雾雨魔理沙
植物的生长潜力的是有限的。你看，有毒的植物虽然安全，但合成毒液需要更多营养，导致它们的数量远远比不过无毒的药草。",
Dialogue/Marisa_Lv1/012_Option1,,,,,,还是有毒更好一点。,
Dialogue/Marisa_Lv1/012_Option2,Text,,,,,还是数量多更好一点。,
Dialogue/Marisa_Lv1/012_1_1,Text,,,,,"*雾雨魔理沙
唔嗯……这样吗。你是会更喜欢那样的植物啊……",
Dialogue/Marisa_Lv1/012_2_1,Text,,,,,"*雾雨魔理沙
唔嗯……这样吗。虽然天赋上比不过别人，但是靠拼命和努力还是能成功的呀。",
Dialogue/Marisa_Lv1/013,Text,,,,,"*雾雨魔理沙
不过，不管是哪种植物，最终目的都是为了活下去继续繁衍生命啦。",
Dialogue/Marisa_Lv1/014,Text,,,,,"*露西
魔理沙小姐懂得好多。",
Dialogue/Marisa_Lv1/015,Text,,,,,"*雾雨魔理沙
身为魔女，这些都是炼药学的常识而已。",
Dialogue/Marisa_Lv1/016,Text,,,,,"*露西
……和魔理沙小姐给人的印象差好多。",
Dialogue/Marisa_Lv1/017,Text,,,,,"*雾雨魔理沙
什、什么啦！难不成是说我看起来很像没有脑筋的笨蛋吗？",
Dialogue/Marisa_Lv1/018,Text,,,,,"*露西
……因为魔理沙小姐看起来跟链锯小姐很像。",
Dialogue/Marisa_Lv1/019,Text,,,,,"*雾雨魔理沙
唔唔……否认不了呢……",
Dialogue/Marisa_Lv1/020,Text,,,,,"*露西
所以看到魔理沙小姐这么博学，还挺意外的。",
Dialogue/Marisa_Lv1/021,Text,,,,,"*雾雨魔理沙
哦哦！……果然魔法使还得是这样，才称得上是魔法使吧？",
Dialogue/Marisa_Lv1/022,Text,,,,,"*露西
魔理沙小姐……确实很有魔法使的感觉。是我见过最魔法使的魔法使。",
Dialogue/Marisa_Lv1/023,Text,,,,,"*雾雨魔理沙
嘿嘿……就算你这么夸我，我也不会得意的哦！",
Dialogue/Marisa_Lv1/024,Text,,,,,"*露西
（魔理沙小姐……真好懂啊……）",
Dialogue/Marisa_Lv2/001,Text,,,,,"*露西
……魔理沙小姐，魔理沙小姐？",
Dialogue/Marisa_Lv2/002,Text,,,,,"*雾雨魔理沙
啊呜……露、露西……？",
Dialogue/Marisa_Lv2/003,Text,,,,,"*雾雨魔理沙
哈？！我、我是不是睡着了？",
Dialogue/Marisa_Lv2/004,Text,,,,,"*露西
魔理沙小姐抱着书就这么睡着了。",
Dialogue/Marisa_Lv2/005,Text,,,,,"*雾雨魔理沙
抱歉抱歉，明明是我守夜来着吧？怎么会这样，又要被爱丽丝骂了……",
Dialogue/Marisa_Lv2/006,Text,,,,,"*露西
不会的。因为我把魔理沙小姐叫起来了。",
Dialogue/Marisa_Lv2/007,Text,,,,,"*雾雨魔理沙
谢谢你，露西……",
Dialogue/Marisa_Lv2/008,Text,,,,,"*露西
魔理沙小姐最近太拼命了。",
Dialogue/Marisa_Lv2/009,Text,,,,,"*雾雨魔理沙
咦？有吗？……有这种感觉吗？",
Dialogue/Marisa_Lv2/010,Text,,,,,"*露西
白天拼尽力气在战斗，晚上还要读书学习，当然会睡着吧。",
Dialogue/Marisa_Lv2/011,Text,,,,,"*雾雨魔理沙
说的也是呢……",
Dialogue/Marisa_Lv2/012,Text,,,,,"*露西
魔理沙小姐在读什么书？",
Dialogue/Marisa_Lv2/013,Text,,,,,"*雾雨魔理沙
嗯……也没什么特别的。看。",
Dialogue/Marisa_Lv2/014,Text,,,,,"*露西
《暗黑魔法基础教程》……嗯……",
Dialogue/Marisa_Lv2/015,Text,,,,,"*雾雨魔理沙
别用那种眼神看我啦。这是我问卡伦借的。我在幻想乡的时候没接触过黑魔法，碰到新奇的东西总会想试试看吧？",
Dialogue/Marisa_Lv2/015_Option1,Text,,,,,会……会吗？,
Dialogue/Marisa_Lv2/015_Option2,Text,,,,,我……我做不到。,
Dialogue/Marisa_Lv2/015_1_1,Text,,,,,"*露西
我只坚持了几天就不行了……",
Dialogue/Marisa_Lv2/015_2_1,Text,,,,,"*露西
暗黑魔法太难学了。我做不到。",
Dialogue/Marisa_Lv2/016,Text,,,,,"*雾雨魔理沙
哈哈哈。我听卡伦说过，说她准备了好久的黑魔法课程，结果你连第一堂课都没去。",
Dialogue/Marisa_Lv2/017,Text,,,,,"*雾雨魔理沙
不过，对你这样的孩子来说，学习暗黑魔法还是太早了……",
Dialogue/Marisa_Lv2/018,Text,,,,,"*露西
为什么？",
Dialogue/Marisa_Lv2/019,Text,,,,,"*露西
明明魔理沙小姐没比我大几岁，自己却每天都这么努力。",
Dialogue/Marisa_Lv2/020,Text,,,,,"*雾雨魔理沙
嗯…………因为我有不得不努力的理由……",
Dialogue/Marisa_Lv2/021,Text,,,,,"*海因
喂，臭小鬼们，絮絮叨叨的，吵死了。",
Dialogue/Marisa_Lv2/022,Text,,,,,"*雾雨魔理沙
啊，海因，换班的时间到了吗？谢谢你！",
Dialogue/Marisa_Lv2/023,Text,,,,,"*海因
赶紧给我滚回去，闭嘴，然后睡觉！",
Dialogue/Marisa_Lv3/001,Text,,,,,"*雾雨魔理沙
痛、痛……",
Dialogue/Marisa_Lv3/002,Text,,,,,"*露西
不要乱动。绷带的位置会弄歪。",
Dialogue/Marisa_Lv3/003,Text,,,,,"*雾雨魔理沙
真丢脸啊。明明应该由我来保护露西才对，结果反而在受露西照顾。",
Dialogue/Marisa_Lv3/004,Text,,,,,"*露西
但是，魔理沙小姐那个时候是为了保护我才……",
Dialogue/Marisa_Lv3/005,Text,,,,,"*雾雨魔理沙
……唔嗯。从结果论来说，确实是这样。",
Dialogue/Marisa_Lv3/006,Text,,,,,"*雾雨魔理沙
但是如果是别人的话，一定能做的更好吧。肯定有一种方法，能够既不伤到自己，还能保护你们。",
