Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_FFXV_Break_Description,Text,,10중첩이 되면 모든 부서지다를 제거하고 시차를 두고 를 얻습니다. 턴이 끝나면 스택을 제거합니다.,"At 10 stacks, remove all Break and gain Staggered. Remove a stack at the end of turn. ",10 スタックですべてのブレイクを解除し、よろめきを獲得します。ターン終了時にスタックを1つ取り除く。,"10层时，消耗所有[破甲]使其获得[失衡]。
回合结束时减少1层。",堆疊 10 層時，移除所有中斷並獲得交錯。在回合結束時移除一堆。
Buff/B_FFXV_Break_Name,Text,,부서지다,Break,壊す,破甲,休息
Buff/B_FFXV_LinkStrikeG_0_Name,Text,,크라운가드 방벽,Crownsguard Barrier,クラウンズガードバリア,皇家之盾,皇冠衛士屏障
Buff/B_FFXV_LinkStrikeG_Description,Text,,"이 캐릭터가 스킬을 사용한 후에는 다음 공격에 대해 40%의 피해 감소와 치유 게이지 보호를 얻습니다.

스킬 사용 시 제거됩니다.","After this character uses a skill, they gain 40% damage reduction and healing gauge protection for the next hit taken.

Removed when any skill is played.","このキャラクターがスキルを使用した後、次のヒットに対して 40% のダメージ軽減と回復ゲージの保護を獲得します。

スキルをプレイすると削除されます。","自身使用技能后，获得“受到下次攻击时，受到伤害减少40%并保护体力极限”。

使用技能后解除。","該角色使用技能後，下次受到攻擊時會獲得 40% 的傷害減免和治療量表保護。

當使用任何技能時被移除。"
Buff/B_FFXV_LinkStrikeG_Name,Text,,링크스트라이크(글라디올러스),Link Strike (Gladiolus),リンクストライク(グラジオラス),连携攻击(格拉迪欧拉斯),連結打擊（劍蘭）
Buff/B_FFXV_LinkStrikeI_Description,Text,,"스킬 사용 시 &a를 치유합니다.

스킬 사용 시 제거됩니다.","Heal for &a when using a skill.

Removed when any skill is played.","スキル使用時に&a回復します。

スキルをプレイすると削除されます。","使用技能时治疗&a。

使用任意技能后移除。","使用技能時治療&a。

當使用任何技能時被移除。"
Buff/B_FFXV_LinkStrikeI_Name,Text,,링크스트라이크(이그니스),Link Strike (Ignis),リンクストライク(イグニス),连携攻击(伊格尼斯),連擊（伊格尼斯）
Buff/B_FFXV_LinkStrikeN_Description,Text,,"도발 무시

스킬 사용 시 제거됩니다.","Ignore Taunt

Removed when any skill is played.","挑発を無視する

スキルをプレイすると削除されます。","无视嘲讽

使用任意技能后解除。","忽略嘲諷

當使用任何技能時被移除。"
Buff/B_FFXV_LinkStrikeN_Name,Text,,링크스트라이크(녹티스),Link Strike (Noctis),リンクストライク(ノクティス),连携攻击(诺克提斯),連結打擊（諾克提斯）
Buff/B_FFXV_LinkStrikePP_Description,Text,,해당 캐릭터가 스킬을 사용하면 제거됩니다.,Removed when any skill is played by this character.,このキャラクターがスキルを使用すると削除されます。,自身使用技能后解除。,當該角色使用任何技能時被移除。
Buff/B_FFXV_LinkStrikePP_Name,Text,,링크스트라이크(프롬프토),Link Strike (Prompto),リンクストライク（プロンプト）,连携攻击(普隆普特),連結打擊（提示音）
Buff/B_FFXV_LinkStrikeP_Description,Text,,스킬 사용 시 제거됩니다.,Removed when any skill is played.,スキルをプレイすると削除されます。,使用任意技能后解除。,當使用任何技能時被移除。
Buff/B_FFXV_LinkStrikeP_Name,Text,,링크스트라이크(프롬프토),Link Strike (Prompto),リンクストライク（プロンプト）,连携攻击(普隆普特),連結打擊（提示音）
Buff/B_FFXV_Staggered_Description,Text,,브레이크를 획득할 수 없습니다.,Cannot gain Break.,ブレイクを獲得できません。,无法获得[破甲]。,無法獲得突破。
Buff/B_FFXV_Staggered_Name,Text,,시차를 두고,Staggered,千鳥状,失衡,交錯
Buff/B_Gladiolus_Antagonize_Description,Text,,"타겟팅(&target)만 가능합니다.
해당 캐릭터가 &타겟을 공격하면 제거됩니다.","Can only target &target.
Removed when this character attacks &target.","&target のみをターゲットにできます。
このキャラクターがターゲットを攻撃すると削除されます(&target)。","无法攻击&target以外的目标。
攻击&target时解除。","只能定位目標。
當該角色攻擊目標時移除。"
Buff/B_Gladiolus_Antagonize_Name,Text,,적대적,Antagonized,敵対する,看破,對抗的
Buff/B_Gladiolus_Brace_Description,Text,,공격을 받으면 스택을 1개 소모합니다.,Consume one stack when attacked.,攻撃されるとスタックを1つ消費します。,受到攻击后减少1层。,受到攻擊時消耗一層。
Buff/B_Gladiolus_Brace_Name,Text,,보강됨,Braced,ブレース付き,稳固姿态,支撐
Buff/B_Gladiolus_GenjiBlade_Name,Text,,겐지 블레이드,Genji Blade,源氏ブレード,源氏之刃,源氏之刃
Buff/B_Gladiolus_Interpose_Description,Text,,"&a가 다음 히트를 치를 것입니다.

이 효과가 아군에게 발동되면 제거됩니다.","&a will take the next hit.

Removed when this effect is triggered on any ally.","&a が次のヒットを受け取ります。

味方のいずれかにこの効果が発動すると解除される。","由&a代替承受下一次攻击。

任意友军触发此效果后解除。","&a 將承受下一次打擊。

當任何盟友觸發此效果時移除。"
Buff/B_Gladiolus_Interpose_Name,Text,,끼어들다,Interpose,割り込む,即时防御,介入
Buff/B_Gladiolus_ThrowCostReduction_Description,Text,,"고정 능력 비용이 1 감소했습니다.

고정 능력 사용 시 제거됩니다.","Fixed ability cost reduced by 1.

Removed on fixed ability use.","固定アビリティコストが1減少。

固定アビリティ使用時は削除。","固定能力的费用降低1点。

使用固定能力后解除。","固定能力成本減少 1。

刪除了固定能力的使用。"
Buff/B_Gladiolus_ThrowCostReduction_Name,Text,,고정비 절감,Fixed Cost Reduced,固定費の削減,固定能力费用降低,固定成本降低
Buff/B_Gladiolus_Ult_BlademastersRecognition_Description,Text,,이 캐릭터는 용기를 4번까지 쌓을 수 있습니다.,Valor can be stacked 4 times on this character.,このキャラクターには勇気を 4 回スタックできます。,自身的[粉碎值]最多可叠加层数增加到4层。,角色的勇氣可以疊加 4 次。
Buff/B_Gladiolus_Ult_BlademastersRecognition_Name,Text,,검귀의 인정,Blademaster's Recognition,ブレードマスターの評価,剑圣的认可,劍聖的認可
Buff/B_Gladiolus_Valor_Description,Text,,"스택은 글라디올러스의 고정 스킬을 변경합니다.

일부 스킬을 강화하는 데 사용됩니다.","Stacks change Gladiolus' fixed skill.

Used to enhance some skills.","スタックによりグラジオラスの固定スキルが変化します。

一部のスキルを強化するために使用されます。","达到一定层数时，可以改变格拉迪欧拉斯的固定技能效果。

可以增强某些技能。","堆疊改變 劍蘭的固定技能。

用於增強某些技能。"
Buff/B_Gladiolus_Valor_Name,Text,,용기,Valor,勇気,粉碎值,勇氣
Buff/B_Ignis_AnalyzeDummy_Description,Text,,분석에서 치유를 활성화합니다.,Enable Heal from Analyze.,分析からの回復を有効にします。,解析时可以恢复。,從分析中啟用修復。
Buff/B_Ignis_AnalyzeDummy_Name,Text,,더미 분석,Analyze Dummy,ダミーを分析する,虚战演析,分析假人
