Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_MinamiRio_0_Description,Text,,,"After dealing damage, gain 1 stack of <color=#DC143C>Flawless Shot</color>.

<color=#48D1CC>Longbow</color> – Draw 1 skill prioritizing the user skills at 4 stacks.
<color=#FFD700>Yumi</color> – Gain 1 stack 'Focused Concentration' at 4 stacks.",,"攻击命中时获得1层<color=#DC143C>皆中</color>。
<color=#48D1CC>单弓</color> - 层数达到上限时，移除该增益并优先抽取1个自己的技能。
<color=#FFD700>和弓</color> - 层数达到上限时，移除该增益并获得[全神贯注]。",
Buff/B_MinamiRio_0_Name,Text,,,<color=#DC143C>Flawless Shot</color>,,<color=#DC143C>皆中</color>,
Buff/B_MinamiRio_2_Description,Text,,,Increase damage by 25% for the next skill played from hand that cost 2 or more.,,使自身下1个2费以上的技能造成的伤害提升25%。,
Buff/B_MinamiRio_2_Name,Text,,,Focused Concentration,,全神贯注,
Buff/B_MinamiRio_4_Name,Text,,,<color=#54FF9F>Wind Damage</color>,,<color=#54FF9F>风伤</color>,
Buff/B_MinamiRio_6_Description,Text,,,"All allies can target enemy with 'Tracking Skill' debuff regardless of Taunt status.
When this unit dies, obtain 200 gold.",,"目标可以无条件被指定为技能目标；
目标死亡时，获得200金币。",
Buff/B_MinamiRio_6_Name,Text,,,Tracking Skill,,追踪术,
Buff/B_MinamiRio_7_Description,Text,,,Hit Rate above 100% is converted into Critical Chance.,,攻击时若命中率超过100%，则超出的数值将增加到暴击率。,
Buff/B_MinamiRio_7_Name,Text,,,Perfect Accuracy,,百发百中,
Buff/B_MinamiRio_P1_Description,Text,,,"Can target all enemies regardless of their Taunt status.
<color=#FA8072>Armor Penetration</color>: &a",,"手中的攻击技能获得无视嘲讽。
当前<color=#FA8072>穿甲</color>：&a",
Buff/B_MinamiRio_P1_Name,Text,,,<color=#48D1CC>Longbow</color>,,<color=#48D1CC>单弓</color>,
