Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Infernal_P_Description,Text,,,"At the start of each turn, deal &a damage to all allies (33% of Attack).",,每个回合开始时，对所有队友造成 &a 伤害(攻击力的33%)。,
Buff/B_Infernal_P_Name,Text,,,Permanent Sacrifice,,永久献祭,
Buff/B_Pachi_0_0_1_Name,Text,,,Metal Fatigue,,金属疲劳,
Buff/B_Pachi_0_0_Description,Text,,,Targets self instead. Removes after triggering.,,攻击改为指向自己。触发后移除。,
Buff/B_Pachi_0_0_Name,Text,,,Fake Dragon Scales,,赝造龙鳞,
Buff/B_Pachi_0_1_1_Description,Text,,,"Attacks have a &a% chance to fail.
Removes after triggering.",,"攻击有 &a% 概率失效。
触发后移除。",
Buff/B_Pachi_0_1_1_Name,Text,,,Elemental Disorder,,元素紊乱,
Buff/B_Pachi_0_1_2_Description,Text,,,"When resolving, for each stack of?Pain?on self, increase this debuff's damage per turn by 1.",,结算时，自身每有 1 层痛苦减益，使这个减益增加 1 点每回合伤害。,
Buff/B_Pachi_0_1_2_Name,Text,,,Elemental Entanglement,,元素纠缠,
Buff/B_Pachi_0_1_Name,Text,,,Elemental Anomaly,,元素异常,
Buff/B_Pachi_0_2_Name,Text,,,Life Surge,,生命涌现,
Buff/B_Pachi_0_4_Description,Text,,,"Blocks CC or Weaken debuffs that allies fail to resist. After triggering, or after taking &a damage (50% of &user's Defense), loses 1 stack.",,抵挡友军未能抵抗的干扰减益或弱化减益。触发后，或受到&a点伤害(&user防御力的50%)后减少 1 层。,
Buff/B_Pachi_0_4_Name,Text,,,Stone Guardian,,巨石护卫,
Buff/B_Pachi_1_1_Description,Text,,,,,,
Buff/B_Pachi_1_1_Name,Text,,,Forest Wildfire,,森林大火,
Buff/B_Pachi_1_2_Name,Text,,,Living Water Essence,,活水之精,
Buff/B_Pachi_1_4_Description,Text,,,"At the end of the turn, heal &a HP (50% of &user's Defense) and remove 1 stack.
When taking damage, gain &a Barrier (50% of &user's Defense) and remove 1 stack.",,"回合结束时恢复 &a 点体力值(&user防御力的50%)，并减少 1 层。
受到伤害时生成 &a 保护罩(&user防御力的50%)，并减少 1 层。",
Buff/B_Pachi_1_4_Name,Text,,,Living Armor,,活体护甲,
Buff/B_Pachi_1_5_Description,Text,,,Increases card draws per turn by 1 for this battle.,,本次战斗期间每回合抽牌次数增加1点。,
Buff/B_Pachi_1_5_Name,Text,,,Photosynthesis,,光合作用,
Buff/B_Pachi_1_6_Description,Text,,,Increases max Mana by 1 for this battle.,,本次战斗期间最大法力值增加1点。,
Buff/B_Pachi_1_6_Name,Text,,,Satellite Sunflower,,卫星向日葵,
Buff/B_Pachi_2_6_1_Description,Text,,,Linked by "Tidal Gravitation.",,被“潮汐引力”连接。,
Buff/B_Pachi_2_6_1_Name,Text,,,Gravitational Tide,,引力潮汐,
Buff/B_Pachi_2_6_Description,Text,,,"Links to the nearest unit (prioritizes rightward search).
When hit by a single-target skill, repeats the skill once on the linked target.",,"与距离最近的单位链接（优先向右寻找）；
受到单体技能时，会同时对链接目标重复释放 1 次。",
Buff/B_Pachi_2_6_Name,Text,,,Tidal Gravitation,,潮汐引力,
Buff/B_Pachi_3_5_Name,Text,,,Gamma Ray,,伽马流射线,
Buff/B_Pachi_3_6_Description,Text,,,Dies immediately if HP falls below 13%.,,体力值低于13%时立即死亡。,
Buff/B_Pachi_3_6_Name,Text,,,Melting Comet,,熔损彗星,
Buff/B_Pachi_4_4_Description,Text,,,"Reduce Damage Taken by &a% (50% of &user's Defense), remove 1 stack after trigger.",,使受到的伤害降低 &a% (&user防御力的50%)，触发后减少 1 层。,
Buff/B_Pachi_4_4_Name,Text,,,Stone's Reputation,,石至名归,
Buff/B_Pachi_4_5_Description,Text,,,"Permanently active.
At 5 stacks, grants an additional 100% Crit Rate.",,"永久有效
到达 5 层时，额外提升100%暴击率。",
Buff/B_Pachi_4_5_Name,Text,,,Dyson Sphere,,戴森球,
Buff/B_Pachi_4_6_Name,Text,,,Moon Landing Project,,登月计划,
Buff/B_Pachi_6_6_1_Description,Text,,,"When pressing the End Turn button, gains ""Veil of the Moon.""",,按下回合结束按钮时，获得“月之面纱”。,
Buff/B_Pachi_6_6_1_Name,Text,,,Dark Side of the Moon,,月之暗面,
Buff/B_Pachi_6_6_Description,Text,,,Removed when using own skills.,,使用自己的技能时解除。,
Buff/B_Pachi_6_6_Name,Text,,,Veil of the Moon,,月之面纱,
Buff/B_Pachi_Barrier_Description,Text,,,,,,
Buff/B_Pachi_Barrier_Name,Text,,,Elemental Shield,,元素保护罩,
Buff/B_Pachi_P_1_Description,Text,,,"Resets cooldown when casting Elemental Invocation.
Loses 1 stack after triggering.",,"释放「元素祈唤」时重置冷却时间。
触发后减少 1 层。",
Buff/B_Pachi_P_1_Name,Text,,,Elemental Surge,,元素充盈,
Buff/B_Pachi_P_Description,Text,,,"Current Element Levels:
Metal - &a
Wood - &b
Water - &c
Fire - &d
Earth - &e
Sun - &f
Moon - &g",,"当前元素等级：
金 - &a
木 - &b
水 - &c
火 - &d
土 - &e
日 - &f
月 - &g",
Buff/B_Pachi_P_Name,Text,,,Elemental Essence,,元素精华,
Character/PatchouliKnowledge_CampSelectWord,Text,,,"It's such a pain in the ass to get out and stuff ...... Forget it, just this once ......",,出门什么的好麻烦……算了，只此一次……,
Character/PatchouliKnowledge_PassiveDes,Text,,,"<b>Knowledge and Reclusive Maiden</b> - At the start of battle, exile all own Elemental skills for this battle. Each exiled Elemental skill is converted into an Elemental attribute. Repeated conversions increase the attribute's level.

<b>Ability to Use Magic</b> - <b>Fixed ability replaced with Elemental Invocation.</b>
At Level 3, the first cast of Elemental Invocation per turn resets its cooldown.
At Level 5, the reset count increases to 2 per turn.

<color=#919191>- This passive activates from Level 1.</color>
<color=#919191>- Patchouli's normal skill learning no longer has a cap.</color>",,"<b>知识与避世的少女</b> - 战斗开始时，在本次战斗期间放逐自己的所有“元素”技能。每个被放逐的“元素”技能会转化为“元素”属性，重复转化的“元素”属性会提升属性的等级。

<b>使用魔法程度的能力</b> - <b>固定能力替换为「元素祈唤」。</b>
等级到达3级时，每个回合第 1 次释放「元素祈唤」后，重置「元素祈唤」的冷却时间。
等级到达5级时，每回合重置次数提升至 2 次。

<color=#919191>- 此被动从1级开始生效。</color>
<color=#919191>- 帕秋莉的普通技能学习不再拥有上限。</color>",
Character/PatchouliKnowledge_PassiveName,Text,,,The Immovable Great Library,,不动的大图书馆,
