Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_LetheanElegy_Description,Text,,,The next skill cast from hand deals 64% increased damage.,,下 1 个从手中释放的技能造成的伤害提升64%。,
Buff/B_LetheanElegy_Name,Text,,,Underworld Requiem,,安魂曲,
Buff/B_Phrolova_2_Description,Text,,,"Empowers your next skill, increasing its damage by &a% <color=#FF7A33>(200% of &user's ATK)</color>.",,强化自己的下 1 个技能，使其造成的伤害增加&a%<color=#FF7A33>(&user攻击力的200%)</color>。,
Buff/B_Phrolova_2_Name,Text,,,Reincarnation,,重世,
Buff/B_Phrolova_3_Description,Text,,,Increases <color=purple>Pain damage</color> taken by &a% <color=#FF7A33>(200% of &user's ATK)</color>.,,受到的<color=purple>痛苦伤害</color>提升&a%<color=#FF7A33>(&user攻击力的200%)</color>。,
Buff/B_Phrolova_3_Name,Text,,,Overture of the Dead,,亡灵序曲,
Buff/B_Phrolova_4_Description,Text,,,Fixed Ability damage increased by &a% <color=#FF7A33>(200% of &user's ATK)</color>.,,固定能力造成的伤害提升&a%<color=#FF7A33>(&user攻击力的200%)</color>。,
Buff/B_Phrolova_4_Name,Text,,,Altered Note,,变音符,
Buff/B_Phrolova_5_Description,Text,,,"Critical Rate increased by &a% <color=#FF7A33>(100% of &user's ATK)</color>.
<color=purple>Pain damage</color> you deal can now crit.",,"暴击率提升&a%<color=#FF7A33>(&user攻击力的100%)</color>。
自己造成的<color=purple>痛苦伤害</color>可以暴击。",
Buff/B_Phrolova_5_Name,Text,,,Octet,,八重奏,
Buff/B_Phrolova_8_Description,Text,,,"The next single-target skill used on &user deals/heals 100% more. Draw 1 skill from a target, then remove this buff.
At the end of the turn, perform a 'Basic Attack' on &user once.",,"下 1 个对&user释放的单体技能伤害量/治疗量提升100%，抽取 1 个目标的技能，然后解除该增益。
回合结束时，对&user释放 1 次“基础攻击”。",
Buff/B_Phrolova_8_Name,Text,,,Lost Violin Tone,,遗失的提琴声,
Buff/B_Phrolova_P_1_Description,Text,,,"Upon death, deals <color=purple>&a Pain Damage</color> to all enemies <color=#FF7A33>(33% of &user's ATK per stack)</color>.",,死亡时，对所有敌人造成<color=purple>&a痛苦伤害</color><color=#FF7A33>(&user攻击力的33%/每层)</color>。,
Buff/B_Phrolova_P_1_Name,Text,,,"""Afterlife""",,“来生”,
Buff/B_Phrolova_P_2_Description,Text,,,Cannot use Fixed Abilities.,,无法使用固定能力。,
Buff/B_Phrolova_P_2_Name,Text,,,Tuning,,定音,
Buff/B_Phrolova_P_Description,Text,,,"After reaching 6 stacks, the Fixed Ability is replaced with ""Finale of the Score.""",,叠加至 6 层后，固定能力会替换为“谱曲终末”。,
Buff/B_Phrolova_P_Name,Text,,,Melody,,乐声,
