Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese
Buff/B_Ralmia_0_Description,Text,,아티팩트를 사용할 때마다 마나를 1 얻고 스킬을 하나 뽑습니다.,"Whenever you play an Artifact skill, recover 1 Mana, draw 1 skill.",自分がアーティファクト·スキルをプレイするたび、マナを1回復し、スキルを1個引く。,每次打出<color=#97FFFF>创造物</color>技能时，恢复1点法力值，抽1张技能。,每次打出<color=#97FFFF>创造物</color>技能时，恢复1点法力值，抽1张技能。
Buff/B_Ralmia_0_Name,Text,,기계 해방,Augmentation Bestowal,機構の解放,机械解放,机械解放
Buff/B_Ralmia_13Rare_1_0_Description,Text,,피해를 1회 막습니다.,Reduces the next received damage to 0.,1回だけダメージを受けない。,免疫1次伤害。,免疫1次伤害。
Buff/B_Ralmia_13Rare_1_0_Name,Text,,가드 아티팩트,Artifact Guardian,アーティファクトガード,创造物的守卫,创造物的守卫
Buff/B_Ralmia_1_Description,Text,,"아티팩트를 사용할 때마다 마나를 1 얻습니다.
손에 있는 아티팩트가 신속을 얻습니다.","Whenever you play an Artifact skill, recover 1 Mana.
Artifact skills in hand gain Swiftness.","自分がアーティファクト·スキルをプレイするたび、マナを1回復し。
アーティファクト·スキルに迅速を追加する。","每次打出<color=#97FFFF>创造物</color>技能时，恢复1点法力值。
手中的<color=#97FFFF>创造物</color>技能获得迅速。","每次打出<color=#97FFFF>创造物</color>技能时，恢复1点法力值。
手中的<color=#97FFFF>创造物</color>技能获得迅速。"
Buff/B_Ralmia_1_Name,Text,,가속 장치,Acceleratium,加速装置,加速装置,加速装置
Buff/B_Ralmia_2_Description,Text,,턴 종료시 스킬을 하나 뽑습니다.,,,回合结束时抽取一张技能。,回合结束时抽取一张技能。
Buff/B_Ralmia_2_Name,Text,,창의성,,,创造术,创造术
Buff/B_Ralmia_P_Description,Text,,,,,本场战斗中，使用的<color=#97FFFF>创造物</color>种类为 &a 种。,本场战斗中，使用的<color=#97FFFF>创造物</color>种类为 &a 种。
Buff/B_Ralmia_P_Name,Text,,아티팩트 종류,Artifact Type,アーティファクトの種類,<color=#97FFFF>创造物</color>种类,<color=#97FFFF>创造物</color>种类
Character/Ralmia_CampSelectWord,Text,,「光學機動，昇華完畢！就算是光我也能追過喔！」,"I'm swifter than sound, and now, swifter than light! Wheee!",「光学機動、昇華完了！光だって追い抜いちゃうよっ！」,「光學機動，昇華完畢！就算是光我也能追過喔！」,「光學機動，昇華完畢！就算是光我也能追過喔！」
Character/Ralmia_PassiveDes,Text,,"매 턴 시작시,[음속 돌파] 하나를 얻습니다.","At the start of each turn, bring an 'Supersonic Breakthrough' skill to hand.",毎ターンの開始時、「音速の突破」を手札に加えます。,每个回合开始时，获得一张【突破音速】。,每个回合开始时，获得一张【突破音速】。
Character/Ralmia_PassiveName,Text,,음속 돌파,Supersonic Breakthrough,音速の突破,突破音速,突破音速
Character/Ralmia_SelectInfo,Text,,"최속의 진보는 최속의 기계를 완성시켰다.
생명체로는 도달할 수 없는 속도. 그녀는 음속을 넘어, 빛에 닿는다.
더 이상 누구 하나, 어느 것 하나, 따라잡을 수 없다.
- 연구소에 남겨진 메모-","Thanks to the quick progress of technology, we were able to develop her cybernetic systems. She is swifter than sound and rivals light, far surpassing the limits of flesh and blood. Nothing, not one thing, can touch her.","最速なる進歩は、最速の機構を完成させた。
生身には届かぬ速度。彼女は音を超え、光に届く。
もはや誰一人、何一つ、追いつくことなど叶わない。",最快速的進步，完成了最快速的機械。她超越音速，接近光速。那是肉身所不能及的速度。已經沒有任何一人一物能夠追上她。,最快速的進步，完成了最快速的機械。她超越音速，接近光速。那是肉身所不能及的速度。已經沒有任何一人一物能夠追上她。
Character/Ralmia_name,Text,,라라미아,Ralmia,ララミア,洛菈米娅,洛菈米娅
Skill/S_Ralmia_0_Description,Text,,"아티팩트
사용 시 스킬을 하나 뽑습니다.","Artifact
Draw 1 skill.","アーティファクト
スキルを1個引く。",抽取1个技能。,抽取1个技能。
Skill/S_Ralmia_0_Name,Text,,분석의 아티팩트,Analyzing Artifact,アナライズアーティファクト,解析的创造物,解析的创造物
Skill/S_Ralmia_10Rare_0_Description,Text,,,,,,
Skill/S_Ralmia_10Rare_0_Name,Text,,아스트로 윙-라라미아,"Ralmia, Astrowing",アストロウィング·ララミア,宇宙之翼·洛菈米娅,宇宙之翼·洛菈米娅
Skill/S_Ralmia_10Rare_Description,Text,,"이번 전투동안 사용한 아티팩트의 종류가 6 이상일 경우,모든 적에게 공격력x3 만큼 추가피해를 줍니다.","If at least 6 different allied Artifact skills have been played this match, deal atk * 3 damage to all enemies.",「このバトル中に使用するされた自分のアーティファクト·スキルの名前」が6種類以上なら、敵全体に300%ATKのダメージを与える。,若 [本场战斗中，使用的<color=#97FFFF>创造物</color>种类] 为6种以上，额外对所有敌人造成%a(150%)点伤害。,若 [本场战斗中，使用的<color=#97FFFF>创造物</color>种类] 为6种以上，额外对所有敌人造成%a(150%)点伤害。
Skill/S_Ralmia_10Rare_Name,Text,,아스트로 윙-라라미아,"Ralmia, Astrowing",アストロウィング·ララミア,宇宙之翼·洛菈米娅,宇宙之翼·洛菈米娅
Skill/S_Ralmia_12_Description,Text,,"선택
-공습의 아티팩트
-방어의 아티팩트

선택한 스킬 하나를 사용합니다.",Choose: 'Airstrike Artifact' or 'Barrier Artifact'.,"選択 - 「ブリッツアーティファクト」、
もしくは、「プロテクトアーティファクト」。",选择 - 从[迅袭的创造物] [守御的创造物] 中选1张打出。,选择 - 从[迅袭的创造物] [守御的创造物] 中选1张打出。
Skill/S_Ralmia_12_Name,Text,,유물 발굴,A New Discovery,遺物の発掘,发掘遗物,发掘遗物
Skill/S_Ralmia_13Rare_0_Description,Text,,대상의 최대 채력을 초과한 회복량은 보호막으로 전환합니다.모든 상태이상을 해제합니다.,"Restore the target's Healing Gauge.
Grants healing gauge protection to target for 2 turns.
Remove all debuffs.","ターゲットの回復ゲージを全て回復する。
回復ゲージ保護効果を与える。
全てのデバフを解除する。","恢复目标的所有体力极限。
解除所有减益效果。","恢复目标的所有体力极限。
解除所有减益效果。"
Skill/S_Ralmia_13Rare_0_Name,Text,,디팬스 아티팩트,Defense Artiface,ディフェンスアーティファクト,防御的创造物,防御的创造物
Skill/S_Ralmia_13Rare_1_Description,Text,,"대상이 다음 받는 피해를 1회 막습니다.공격력 만큼 채력을 회복시킵니다.

아티팩트.","Gain a buff that reduces the next received damage to 0.
Restore health by atk * 1.","「このターンの間、1回だけダメージを受けない」効果を得る。
体力を100%ATK回復させる。","免疫下次受到的伤害。
恢复%a(100%)点体力值。","免疫下次受到的伤害。
恢复%a(100%)点体力值。"
Skill/S_Ralmia_13Rare_1_Name,Text,,가드 아티팩트,Guard Artifact,ガードアーティファクト,守卫的创造物,守卫的创造物
Skill/S_Ralmia_13Rare_2_Description,Text,,"이번 턴 동안 낸 아티팩트의 수 하나당 피해량이 &a만큼 증가합니다.

현재 추가피해:&b

아티팩트.","Deal &a additional damage for each Artifact skills played during this turn.
Bonus damage: &b","このターンに、「アーティファクト·スキル」を使用した数だけ&aの追加ダメージを与える。
追加ダメージ：&b","这个回合每打出1个<color=#97FFFF>创造物</color>技能，额外造成&a(25%)伤害。
 当前额外伤害：&b","这个回合每打出1个<color=#97FFFF>创造物</color>技能，额外造成&a(25%)伤害。
 当前额外伤害：&b"
Skill/S_Ralmia_13Rare_2_Name,Text,,캐논 아티팩트,Cannon Artifact,キャノンアーティファクト,加农的创造物,加农的创造物
Skill/S_Ralmia_13Rare_Description,Text,,"[가드 아티팩트] 하나와 [디팬스 아티팩트] 하나를 패에 추가합니다.
이번 전투동안 사용한 아티팩트의 종류가 6 이상이라면 추가로 [캐논 아티팩트]를 2개를 추가합니다.","If this skill with Swiftness, put 1 'Guard Artifact' and 1 'Defense Artiface' into your hand.
If at least 6 different allied Artifact skills have been played this match, put 2 'Cannon Artifact' into your hand.","このスキルに迅速効果がある場合、「ガードアーティファクト」1枚と「ディフェンスアーティファクト」1枚を手札に加える。
「このバトル中に使用された自分のアーティファクト·スキルの名前」が6種類以上なら、「キャノンアーティファクト」2枚を手札に加える。","打出时，如果这张卡拥有迅速，将1张[守卫的创造物]和1张[防御的创造物]加入手卡。
打出时，若 [本场战斗中，使用的<color=#97FFFF>创造物</color>种类] 为6种以上，将2张[加农的创造物]加入手卡。","打出时，如果这张卡拥有迅速，将1张[守卫的创造物]和1张[防御的创造物]加入手卡。
打出时，若 [本场战斗中，使用的<color=#97FFFF>创造物</color>种类] 为6种以上，将2张[加农的创造物]加入手卡。"
Skill/S_Ralmia_13Rare_Name,Text,,제네시스 아티팩트,Genesis Artifact,ジェネシスアーティファクト,创世的创造物,创世的创造物
Skill/S_Ralmia_1_Description,Text,,아티팩트,Artifact,アーティファクト,很快。除此之外没什么特别的。,很快。除此之外没什么特别的。
Skill/S_Ralmia_1_Name,Text,,고대의 아티팩트,Ancient Artifact,エンシェントアーティファクト,古老的创造物,古老的创造物
Skill/S_Ralmia_2_Description,Text,,"아티팩트.
사용 후 스킬 하나를 뽑고 공격력만큼 채력을 회복합니다.","Artifact
Draw 1 skill. Restore health by atk * 1.","アーティファクト
スキルを1個引く。体力を100%ATK回復させる。",抽取1个技能。治疗自己%a点体力值。,抽取1个技能。治疗自己%a点体力值。
Skill/S_Ralmia_2_Name,Text,,신비의 아티팩트,Mystic Artifact,ミスティックアーティファクト,神秘的创造物,神秘的创造物
Skill/S_Ralmia_3_Description,Text,,"아티팩트

사용시 스킬 하나를 뽑습니다.","Artifact
Draw 1 skill.","アーティファクト
スキルを1個引く。",抽取1个技能。,抽取1个技能。
