Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_RemiliaScarlet_0_Description,Text,,"피해를 계산할 때, 가한 피해의 25%가 초과 치유 &user로 전환됩니다.","When calculating damage, 25% of the damage dealt will result in overhealing &user.",苦痛ダメージを受けたとき、そのダメージの25%で&userをオーバーヒールする。,结算伤害时，造成伤害的25%将会超额治疗&user。,
Buff/B_RemiliaScarlet_0_Name,Text,,<sprite name="RemiliaScarlet_blood"><color=#FF3030>크림슨 나이트</color>,<sprite name="RemiliaScarlet_blood"><color=#FF3030>Crimson Night</color>,<sprite name="RemiliaScarlet_blood"><color=#FF3030>紅色の夜</color>,<sprite name="RemiliaScarlet_blood"><color=#FF3030>绯夜</color>,
Buff/B_RemiliaScarlet_1_Description,Text,,"공격받을 때 1스택을 잃고, 적에게 <sprite name=""RemiliaScarlet_blood""><color=#FF3030>크림슨 나이트</color> 1스택을 부여합니다.","Lose 1 stack when hit, and grant the enemy 1 stack of <sprite name=""RemiliaScarlet_blood""><color=#FF3030>Crimson Night</color>.",攻撃を受けたときストックを1消費して、攻撃者に<sprite name="RemiliaScarlet_blood"><color=#FF3030>紅色の夜</color>を1ストック与える。,受击时减少1层，赋予敌人1层<sprite name="RemiliaScarlet_blood"><color=#FF3030>绯夜</color>。,
Buff/B_RemiliaScarlet_1_Name,Text,,자장가,Lullaby,ララバイ,摇篮曲,
Buff/B_RemiliaScarlet_2_Description,Text,,보유한 모든 디버프의 턴당 피해량을 33% 증가시킵니다.,Increases the per-turn damage of all debuffs held by 33%.,自身が所持するデバフから1ターン毎に受けるダメージが33%増加する。,使持有的所有减益的每回合伤害量提升33%。,
Buff/B_RemiliaScarlet_2_Name,Text,,루나틱 문 매드니스,Lunatic Moon Madness,魔月狂乱,魇月癫乱,
Buff/B_RemiliaScarlet_3_0_Description,Text,,"필드에 있는 고통 디버프마다 이 버프가 ""치명타율 +5%, 받는 치유량 +5%""를 얻습니다.","For each pain debuff on the field, this buff gains ""Critical Rate +5%, Healing Received +5%.""",場に存在する苦痛デバフ1つにつき、クリティカル率と受ける回復量が5%増加する。,场上每有1个痛苦减益，这个增益获得“暴击率+5%，受到治疗量+5%”。,
Buff/B_RemiliaScarlet_3_0_Name,Text,,스칼렛 문 엠프레스,Scarlet Moon Empress,紅月の女王,绯月女皇,
Buff/B_RemiliaScarlet_3_Description,Text,,"<color=purple>고통 피해</color>를 받을 때, &a% 확률(&user의 치명타율)로 추가 50% 피해를 입힙니다.","When receiving <color=purple>Pain Damage</color>, there is an &a% chance (&user's critical rate) to deal an additional 50% damage.",<color=purple>苦痛ダメージ</color>を受けたとき、&a%(&userのクリティカル率)の確率でそのダメージが50%増加する。,受到<color=purple>痛苦伤害</color>时，有&a%几率(&user的暴击率)造成额外50%伤害。,
Buff/B_RemiliaScarlet_3_Name,Text,,피의 찬양,Praise of Blood,鮮血の贄,鲜血礼赞,
