Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Sqaull_WeakTaunt_Description,Text,,,,,,
Buff/B_Sqaull_WeakTaunt_Name,Text,,,,,发怒,
Buff/B_Squall_0_Description,Text,,,,,"每当敌方释放指向单个友军的技能时，由&user承受攻击。
承受攻击后该增益减少一层。",
Buff/B_Squall_0_Name,Text,,,,,枪刃格挡,
Buff/B_Squall_1_Description,Text,,,,,回合开始时，额外获得一层<color=#4876FF>刃甲</color>。,
Buff/B_Squall_1_Name,Text,,,,,狮子奋起,
Buff/B_Squall_3_Description,Text,,,,,,
Buff/B_Squall_3_Name,Text,,,,,元素分割,
Buff/B_Squall_7_Description,Text,,,,,自身生命值不会降到1以下。,
Buff/B_Squall_7_Name,Text,,,,,逆命者,
Buff/B_Squall_LucyD_Description,Text,,,,,,
Buff/B_Squall_LucyD_Name,Text,,,,,攻击力降低,
Buff/B_Squall_P_Name,Text,,,,,刃甲,
Buff/B_Squall_Rare_1_Description,Text,,,,,"每当有指向友军的攻击技能时，&user承受全部伤害。
如果指向友军的目标有多个，&user替其承受，受到1/2的伤害。
斯考尔替友军承受伤害时不再获得刃甲。",
Buff/B_Squall_Rare_1_Name,Text,,,,,SeeD的精锐,
Buff/B_Squall_Rare_2_Description,Text,,,,,"<color=#4876FF>刃甲</color>的最高层数增加到15。
每获得一层<color=#4876FF>刃甲</color>，增加2%攻击力。
追加攻击和反击的伤害增加&a点(攻击力的20%)。",
Buff/B_Squall_Rare_2_Name,Text,,,,,狮子之心,
Buff/B_Squall_Taunt_Description,Text,,,,,"无法攻击&target以外的目标。
攻击&target后，&target以4段&a伤害进行反击(攻击力的25%)。
攻击后解除。",
Buff/B_Squall_Taunt_Name,Text,,,,,挑衅,
Character/Squall_PassiveDes,Text,,,,,"回合开始时获得一层<color=#4876FF>刃甲</color>。每当斯考尔替队友承受攻击时，获得一层<color=#4876FF>刃甲</color>。
在一个回合内累计承受超过最大生命值25%的物理伤害后，对随机敌人进行4段30%攻击力的反击。

<b>斯考尔从装备中获取的防御力加成转化为等量的百分比最大体力值加成。</b>

<color=#919191>- 此被动从1级开始生效。</color>",
Character/Squall_PassiveName,Text,,,,,孤高的狮子,
Character/Squall_SelectInfo,Text,,,,,"隶属于佣兵培养机构“巴拉姆学园”的斯考尔能够使用难以操纵的枪刃，拥有出类拔萃的战斗资质，可以毫无困难地完成所有的训练与任务。沉默、有一点冷酷的他，由于若即若离的态度与不善交际的性格被当成了学园问题学生之一，即便如此也吸引了不少人的目光。

斯考尔是以“刃甲”增益铸就攻防一体的承伤核心，同时也能够替代队友承受伤害将其化为反击以撕裂战局。",
Character/Squall_Text_Battle_AllyND_0,Text,,,,,我来掩护！,
Character/Squall_Text_Battle_Cri_0,Text,,,,,给我倒下！,
Character/Squall_Text_Battle_Cri_1,Text,,,,,阻断！,
Character/Squall_Text_Battle_Healed_0,Text,,,,,我欠你一次。,
Character/Squall_Text_Battle_Healed_1,Text,,,,,抱歉......,
Character/Squall_Text_Battle_Idle_0,Text,,,,,他是我的猎物。,
Character/Squall_Text_Battle_Idle_1,Text,,,,,准备好，要来了！,
Character/Squall_Text_Battle_Kill_0,Text,,,,,击杀！,
Character/Squall_Text_Battle_Kill_1,Text,,,,,到此为止！,
Character/Squall_Text_Battle_Kill_2,Text,,,,,绝不姑息！,
Character/Squall_Text_Battle_ND_0,Text,,,,,唔，请求支援......,
Character/Squall_Text_Battle_ND_1,Text,,,,,我就只有这点程度吗......,
Character/Squall_Text_Battle_ND_2,Text,,,,,抱歉了，各位……,
Character/Squall_Text_Battle_Start_0,Text,,,,,上吧，任务开始。,
Character/Squall_Text_Battle_Start_1,Text,,,,,我会迅速结束这场战斗。,
Character/Squall_Text_Battle_Start_2,Text,,,,,把眼前的敌人统统解决。,
Character/Squall_name,Text,,,,,斯考尔,
Skill/S_Squall_0_Description,Text,,,,,,
Skill/S_Squall_0_Name,Text,,,,,枪刃格挡,
Skill/S_Squall_1_Description,Text,,,,,"可以在<b>无法行动</b>的状态下使用。
解除自身的<sprite=2>干扰减益。
使<sprite=1>痛苦减益和<sprite=0>弱化减益的持续时间减少1回合。
给所有敌人赋予“挑衅”。",
Skill/S_Squall_1_Name,Text,,,,,狮子奋起,
Skill/S_Squall_2_0_Name,Text,,,,,连续剑•狮子奋迅,
Skill/S_Squall_2_Description,Text,,,,,"若<color=#4876FF>刃甲</color>超过2层，则消耗2层<color=#4876FF>刃甲</color>，进行2次追加攻击。
若<color=#4876FF>刃甲</color>超过3层，则额外消耗1层<color=#4876FF>刃甲</color>，使追加攻击以暴击形式命中。",
Skill/S_Squall_2_Name,Text,,,,,连续剑•狮子奋迅,
Skill/S_Squall_3_Description,Text,,,,,,
Skill/S_Squall_3_Name,Text,,,,,元素分割,
Skill/S_Squall_4_0_Name,Text,,,,,残月轨迹,
Skill/S_Squall_4_Description,Text,,,,,"消耗最多6层<color=#4876FF>刃甲</color>。
每消耗1层<color=#4876FF>刃甲</color>使伤害增加4%，并重复释放1次。",
Skill/S_Squall_4_Name,Text,,,,,残月轨迹,
Skill/S_Squall_5_Description,Text,,,,,"丢弃目标技能，获得那个技能费用+1的<color=#4876FF>刃甲</color>层数。
那之后，优先抽取1个自己的技能。",
Skill/S_Squall_5_Name,Text,,,,,G.F.,
Skill/S_Squall_6_1_Description,Text,,,,,使1个敌人将会最先释放的攻击技能立即释放，斯考尔替友军承受此技能的总伤害量。,
Skill/S_Squall_6_1_Name,Text,,,,,静寂裁决,
Skill/S_Squall_6_2_Description,Text,,,,,使1个敌人本回合中将会最先释放的1个攻击技能延后1回合。,
Skill/S_Squall_6_2_Name,Text,,,,,静寂裁决,
Skill/S_Squall_6_Description,Text,,,,,"消耗1层<color=#4876FF>刃甲</color>，使目标最先释放的攻击技能立即释放。
若该次攻击为单体攻击，斯考尔替友军承受此技能的总伤害量。",
Skill/S_Squall_6_Name,Text,,,,,静寂裁决,
Skill/S_Squall_7_Name,Text,,,,,逆命者,
Skill/S_Squall_LucyD_Description,Text,,,,,抽取3个技能。,
Skill/S_Squall_LucyD_Name,Text,,,,,抽取,
Skill/S_Squall_Rare_1_Name,Text,,,,,SeeD的精锐,
Skill/S_Squall_Rare_2_Description,Text,,,,,,
Skill/S_Squall_Rare_2_Name,Text,,,,,狮子之心,
Skill/S_Squall_Rare_3_0_Name,Text,,,,,爆裂禁区,
Skill/S_Squall_Rare_3_Description,Text,,,,,"必定命中。
额外造成&a的伤害(防御力的50%)。
重复释放17次。",
Skill/S_Squall_Rare_3_Name,Text,,,,,爆裂禁区,
SkillExtended/SE_Squall_C_0_EnforceString,Text,,,,,攻击技能,
SkillExtended/SE_Squall_C_0_Name,Text,,,,,斯考尔拥有<color=#4876FF>刃甲</color>时，造成的伤害提升30%。,
