Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Character/Squall_Text_Battle_AllyND_0,Text,,,I’ll provide cover!,,我来掩护！,
Character/Squall_Text_Battle_Cri_0,Text,,,Fall before me!,,给我倒下！,
Character/Squall_Text_Battle_Cri_1,Text,,,Block them!,,阻断！,
Character/Squall_Text_Battle_Healed_0,Text,,,I owe you one.,,我欠你一次。,
Character/Squall_Text_Battle_Healed_1,Text,,,Sorry...,,抱歉......,
Character/Squall_Text_Battle_Idle_0,Text,,,He’s my prey.,,他是我的猎物。,
Character/Squall_Text_Battle_Idle_1,Text,,,"Get ready, here it comes!",,准备好，要来了！,
Character/Squall_Text_Battle_Kill_0,Text,,,Kill confirmed!,,击杀！,
Character/Squall_Text_Battle_Kill_1,Text,,,This ends here!,,到此为止！,
Character/Squall_Text_Battle_Kill_2,Text,,,No mercy!,,绝不姑息！,
Character/Squall_Text_Battle_ND_0,Text,,,"Ugh, requesting backup...",,唔，请求支援......,
Character/Squall_Text_Battle_ND_1,Text,,,Is this all I’m capable of...?,,我就只有这点程度吗......,
Character/Squall_Text_Battle_ND_2,Text,,,"Sorry, everyone...",,抱歉了，各位……,
Character/Squall_Text_Battle_Start_0,Text,,,"Let’s go, the mission begins.",,上吧，任务开始。,
Character/Squall_Text_Battle_Start_1,Text,,,I’ll end this fight quickly.,,我会迅速结束这场战斗。,
Character/Squall_Text_Battle_Start_2,Text,,,Let’s take out all the enemies in front of us.,,把眼前的敌人统统解决。,
