Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_E_Kanano_0_Description,Text,,,,,,
Buff/B_E_Kanano_0_Name,Text,,,,,守矢之西风,
Buff/B_Kanano_0_Description,Text,,,,,触发时，获得 &a 防护墙<color=#00E5EE>(自身最大体力值的&b)</color>。,
Buff/B_Kanano_0_Name,Text,,,,,丰收之御柱,
Buff/B_Kanano_10_Description,Text,,,,,受到攻击时减少1层，恢复1点法力值。,
Buff/B_Kanano_10_Name,Text,,,,,天龙之西风,
Buff/B_Kanano_1_Description,Text,,,,,触发时，对随机敌人造成 &a 伤害<color=#FF7A33>(攻击力的&b)</color>。,
Buff/B_Kanano_1_Name,Text,,,,,风雷之御柱,
Buff/B_Kanano_2_Description,Text,,,,,恢复百分比体力值最低的调查员 &a 点体力<color=#00E5EE>(自身最大体力值的&b)</color>。,
Buff/B_Kanano_2_Name,Text,,,,,流星之御柱,
Buff/B_Kanano_3_1_Description,Text,,,,,"无法攻击&target以外的目标。
 攻击后解除。",
Buff/B_Kanano_3_1_Name,Text,,,,,呼啸之西风,
Buff/B_Kanano_3_Description,Text,,,,,"每触发 &a 次时，抽取1个技能<color=#FF7A33>(&b)</color>。
当前触发次数：&c",
Buff/B_Kanano_3_Name,Text,,,,,狂热之御柱,
Buff/B_Kanano_4_Description,Text,,,,,御柱的效果提升 &a 级。,
Buff/B_Kanano_4_Name,Text,,,,,丰收之西风,
Buff/B_Kanano_5_Description,Text,,,,,&target每次使用手中的技能时，防御力+10%（最多40%）。,
Buff/B_Kanano_5_Name,Text,,,,,庆典之西风,
Buff/B_Kanano_7_Description,Text,,,,,回合结束时，若<color=#CD5555>饥馑5</color> - 选择本回合释放过的1个非放逐、非一次性技能，生成其复制；否则抽取1个技能。,
Buff/B_Kanano_7_Name,Text,,,,,冷冽之西风,
Buff/B_Kanano_Rare_1_Description,Text,,,,,可以同时设置2个[御柱]。,
Buff/B_Kanano_Rare_1_Name,Text,,,,,风神之神德,
Buff/B_Kanano_Rare_3_2_Description,Text,,,,,受到伤害后解除。,
Buff/B_Kanano_Rare_3_2_Name,Text,,,,,完美防御,
Character/YasakaKanano_CampSelectWord,Text,,,,,就让你领略一次——这摧枯拉朽的灵天神怒！,
Character/YasakaKanano_PassiveDes,Text,,,,,"<b>神圣庄严的古战场</b> - 回合结束时若有剩余法力值，则下一回合开始时额外获得等量的法力值。（最多2点）

<b>创造乾程度的能力</b> - 八坂神奈子可以通过技能设置不同种类的[御柱]，但同一时间只能有1个[御柱]被设置。
每当在战斗中通过特殊效果恢复1点法力值时，[御柱]的效果便会被触发1次。

<b><color=green>连击X</color></b> - 每个回合中使用过的技能大于X个时，可以触发额外效果。

<b><color=#FFC125>穗收X</color></b> - 打出时，如果牌库中的技能数量不小于X个，丢弃牌库最上方X个技能，可以触发额外效果。

<b><color=#CD5555>饥馑X</color></b> - 打出时，如果牌库中的技能数量不大于X个，可以触发额外效果。",
Character/YasakaKanano_PassiveName,Text,,,,,山与湖的化身,
Character/YasakaKanano_SelectInfo,Text,,,,,"八坂神奈子是能够调整队伍法力值的功能性坦克。

作为坦克职业，八坂神奈子几乎没有保护队友的手段。取而代之的是，她能够通过丢弃牌库中的技能来恢复队伍的法力值，为队友提供充足的费用来消耗。尽管恢复法力值的效果很诱人，但也要注意不要太过忘我，把牌库中的重要技能全部丢掉了哦。

试着结合风灵系的调查员，在扭曲之地刮起丰收的风吧！",
Character/YasakaKanano_Text_Battle_Cri_0,Text,,,,,对于没有信仰的人来说，永远不会明白信仰的意义。,
Character/YasakaKanano_Text_Battle_Healed_0,Text,,,,,感谢你的支援。,
Character/YasakaKanano_Text_Battle_Idle_0,Text,,,,,何人在呼唤我？,
Character/YasakaKanano_Text_Battle_Kill_0,Text,,,,,就让你领略一次——这摧枯拉朽的灵天神怒！,
Character/YasakaKanano_Text_Battle_ND_0,Text,,,,,信仰，在流失……,
Character/YasakaKanano_Text_Battle_Start_0,Text,,,,,所谓信仰，也就是对其物的存在心生敬意。,
Character/YasakaKanano_Text_Battle_Start_1,Text,,,,,你好，我是神。,
Character/YasakaKanano_Text_Field_GetItem_0,Text,,,,,哦？这个能拿去开宴会呢。,
Character/YasakaKanano_Text_Field_Idle_0,Text,,,,,吾即为山，敬山之人便是吾之信众。,
Character/YasakaKanano_Text_Field_Idle_1,Text,,,,,我想要唤回的，是众生对万事万物的信仰。,
Character/YasakaKanano_Text_Field_Potion_P_0,Text,,,,,唔嗯……就没有酒可以喝吗？,
Character/YasakaKanano_Text_MasterTarget,Text,,,,,信仰我，记住我吧。只要还有信仰的话，我一定还会回到你身边——,
Character/YasakaKanano_Text_PharosLeader_0,Text,,,,,我就是神，居然想让我信仰你……,
Character/YasakaKanano_Text_PharosLeader_1,Text,,,,,……唉唉，神明也会有失手的时候。,
Character/YasakaKanano_Text_PharosLeader_2,Text,,,,,就让你领略一次——这摧枯拉朽的灵天神怒！,
Character/YasakaKanano_Text_Witch_0,Text,,,,,诅咒？这么些年我可是被诅咒惯了。,
Character/YasakaKanano_Text_Witch_1,Text,,,,,比起诹访子那家伙的，这个还是太轻了。,
Character/YasakaKanano_name,Text,,,,,八坂神奈子,
Item_Equip/E_Kanano_0_Description,Text,,,,,每次使用手中的技能时，本回合+5%防御力（最多3次）。,
Item_Equip/E_Kanano_0_name,Text,,,,,守矢护符,
SimpleCampDialogue/CampDial_YasakaKanano_Cirno_Dialogues_0,Text,,,,,[A]……,
SimpleCampDialogue/CampDial_YasakaKanano_Cirno_Dialogues_1,Text,,,,,[B]嗯~你是那个山上的神吧？怎么了吗？,
SimpleCampDialogue/CampDial_YasakaKanano_Cirno_Dialogues_2,Text,,,,,[A]没什么。只是看着你们这些妖精活蹦乱跳的，感觉自己的工作也有价值。,
SimpleCampDialogue/CampDial_YasakaKanano_Cirno_Dialogues_3,Text,,,,,[B]哦！是你一直在守护大家吗？谢谢你！,
SimpleCampDialogue/CampDial_YasakaKanano_Daiyousei_Dialogues_0,Text,,,,,[A]现在在做信徒人口普查。你的名字是？,
SimpleCampDialogue/CampDial_YasakaKanano_Daiyousei_Dialogues_1,Text,,,,,[B]那个、大、大妖精……,
SimpleCampDialogue/CampDial_YasakaKanano_Daiyousei_Dialogues_2,Text,,,,,[A]不是职业而是名字。你们这些妖精呀……,
SimpleCampDialogue/CampDial_YasakaKanano_Daiyousei_Dialogues_3,Text,,,,,[B]所以说、我就叫「大妖精」啦——！,
SimpleCampDialogue/CampDial_YasakaKanano_Eirin_Dialogues_0,Text,,,,,[A]这次的伙伴居然是你啊，永琳。,
SimpleCampDialogue/CampDial_YasakaKanano_Eirin_Dialogues_1,Text,,,,,[B]唉唉、你是不是有点放水过头了呢，神奈子？,
SimpleCampDialogue/CampDial_YasakaKanano_Eirin_Dialogues_2,Text,,,,,[A]如果一个弹幕把这个地方毁了，那就没意思了吧。,
SimpleCampDialogue/CampDial_YasakaKanano_Eirin_Dialogues_3,Text,,,,,[B]呵呵呵……没意思的事情还多着呢。,
SimpleCampDialogue/CampDial_YasakaKanano_FlandreScarlet_Dialogues_0,Text,,,,,[B]看着很严肃的神明姐姐！神明的「点」如果被碰到，也会死吗？,
SimpleCampDialogue/CampDial_YasakaKanano_FlandreScarlet_Dialogues_1,Text,,,,,[A]只要还有信仰，神明就不会消亡。,
