Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Yri_Airborne_Description,Text,,,Remove when hit.,,受攻击时解除。,
Buff/B_Yri_Airborne_Name,Text,,,Airborne,,飞升,
Buff/B_Yri_BlizzardBuff_Description,Text,,,"At 3 stacks, consume buff and apply the following effect based on Self buffs:
Starbound Hunter: Gain 1 stack of Starbound Tenacity + 1 mana.

Defender of Avalon: Gain up to 2 Feather Guard + 1 mana.

If neither is active, draw 1 card. 

(If both are active, activate Starbound Hunter's effect)",,"达到3层时，消耗这个增益，并根据自身拥有的增益获得以下效果：
星界猎人：获得1层[星界韧性]，恢复1点法力值。
阿瓦隆守护者：获得2层[羽翼守卫]，恢复1点法力值。

如果两种都未拥有，抽取1个技能。
（如果两种都拥有，仅触发星界猎人的效果）",
Buff/B_Yri_BlizzardBuff_Name,Text,,,Reload,,重新装填,
Buff/B_Yri_Chirp_Description,Text,,,"Distracted by a cute fluffy space raptor!
Forgets to take next action.",,"被可爱、毛茸茸的太空迅猛龙分散注意力！
忘记下一个动作。",
Buff/B_Yri_Chirp_Name,Text,,,Aww! Cute!,,哎呀！真可爱！,
Buff/B_Yri_DCounter_Description,Text,,,"Counterattack when attacked, dealing &a damage.",,受到攻击时反击，造成&a伤害。,
Buff/B_Yri_DCounter_Name,Text,,,Interception,,拦截,
Buff/B_Yri_DStance_Description,Text,,,,,,
Buff/B_Yri_DStance_Name,Text,,,Defensive Stance,,防御姿态,
Buff/B_Yri_DefenderAggro_Description,Text,,,Must only attack &target. Remove a stack upon attacking.,,"无法攻击除&target以外的目标。
 攻击目标时解除。",
Buff/B_Yri_DefenderAggro_Name,Text,,,Intimidation,,威吓,
Buff/B_Yri_Defender_Description,Text,,,"Each turn, add a Feather Guard to hand.",,每个回合将1张[羽翼守卫]加入手中。,
Buff/B_Yri_Defender_Name,Text,,,Defender of Avalon,,阿瓦隆守护者,
