Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_YueP_0_Description,Text,,,,,"造成的伤害+&a%
产生的治疗+&a%",
Buff/B_YueP_0_Name,Text,,점입가경,,,渐入佳境,
Buff/B_Yuep_T0_Description,Text,,"이번 턴, <color=#00FF7F>악보</color>가 시전되었습니다.",,,本回合已经触发过<color=#00FF7F>乐谱</color>加成了.,
Buff/B_Yuep_T0_Name,Text,,출석체크,,,点到为止,
Buff/B_Yueq_0_Description,Text,,"자신의 <color=#00FF7F>악보</color>스킬 사용 시,
아군에게의 회복스킬은 3턴동안 턴 종료시 치유량의 50%로 치유합니다.
(턴마다 40%씩 회복량 감소)
공격 스킬일 경우, 20%의 위력으로 재시전 됩니다.
지속 중 유발된 잔향(리믹스 제외)은 한번 더 유발됩니다.",,,"使用自身的<color=#00FF7F>乐谱</color>技能时,如果指向友军,使其3回合内回合结束时回复技能产生治疗量50%的生命(每回合衰减40%);
如果指向敌人，以20%威力再次释放.
持续期间触发的残响(除Remix)会额外触发一次.",
Buff/B_Yueq_0_Name,Text,,귓가에 맴도는 여운,,,余音绕梁,
Buff/B_Yueq_0_T_Description,Text,,턴이 끝나면 &a의 체력이 회복됩니다(턴 당 40% 감소).,,,"回合结束时,回复&a点生命.(每回合衰减40%))",
Buff/B_Yueq_0_T_Name,Text,,순환치료,,,循环治疗,
Buff/B_Yueq_10_Description,Text,,"자신의 스킬을 뽑은 후, 손에 있는 루시 스킬 이외의 스킬 갯수에 따라 카드당 체력이 1씩 회복합니다.",,,"抽取到自身技能后,根据手牌中非露西技能的数量,每有一张回复1体力。",
Buff/B_Yueq_10_Name,Text,,이계의 방문자,,,八方来客,
Buff/B_Yueq_1_Description,Text,,"각 턴, 공격 스킬을 2회 연속 사용 시 공격력이 &a만큼 증가합니다.(턴당 1회)
각 턴 종료 시, &b 만큼 회복합니다.",,,"每回合连续使用2次攻击技能后，攻击力加成额外增加&a（每回合限一次）。
每回合结束时，回复&b点生命。",
Buff/B_Yueq_1_Name,Text,,격양,,,昂扬,
Buff/B_Yueq_2_Description,Text,,턴 종료시 체력이 0이 아닌 경우 &a 만큼의 메아리 방볍을 얻습니다.,,,"回合结束时,若体力极限不为0,获得&a点回声屏障.",
Buff/B_Yueq_2_Name,Text,,푸른 메아리,,,苍之回响,
Buff/B_Yueq_3_Description,Text,,"잔향 유발 시, &a 만큼 연쇄치유되고, 1중첩을 소모합니다.
",,,"触发残响时,连锁治疗&a点体力,并消耗一层.
",
Buff/B_Yueq_3_Name,Text,,지속순환,,,周而复始,
