Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
B_Yueq_BD_State_0,Text,,<color=#FF8C00>소음</color>,,,<color=#FF8C00>噪音</color>,
B_Yueq_BD_State_1,Text,,<color=#1E90FF>청성</color>,,,<color=#1E90FF>清醒</color>,
B_Yueq_BD_State_2,Text,,<color=#FF4500>격앙</color>,,,<color=#FF4500>激昂</color>,
B_Yueq_BD_State_3,Text,,<color=#40E0D0>진정</color>,,,<color=#40E0D0>舒缓</color>,
B_Yueq_BD_State_4,Text,,<color=#FFD700>종장</color>,,,<color=#FFD700>谢场</color>,
B_Yueq_BD_State_5,Text,,<color=#FF00FF>장엄</color>,,,<color=#FF00FF>肃穆</color>,
B_Yueq_BD_State_6,Text,,<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,,,<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,
P_YueQSkin_Des,Text,,"每回合开始时,展示牌堆顶的3个技能(跳过越祺和露西技能),选择其中1个放入牌堆底并使其费用-1.
若未展示,洗牌.
本回合期间,选中技能的持有者释放技能时,根据其于本回合释放的技能数获得等量层残响收集(最少1,最多3).
回合结束时,若本回合至少触发过2次残响,下个回合传声展示的技能数增加1个,且改为放在牌堆顶;若上回合未展示技能,同样有效.
残响收集达到3层时解除并获得1层充能.","每回合开始时,展示牌堆顶的3个技能(跳过越祺和露西技能),选择其中1个放入牌堆底并使其费用-1.
若未展示,洗牌.
本回合期间,选中技能的持有者释放技能时,根据其于本回合释放的技能数获得等量层残响收集(最少1,最多3).
回合结束时,若本回合至少触发过2次残响,下个回合传声展示的技能数增加1个,且改为放在牌堆顶;若上回合未展示技能,同样有效.
残响收集达到3层时解除并获得1层充能.","每回合开始时,展示牌堆顶的3个技能(跳过越祺和露西技能),选择其中1个放入牌堆底并使其费用-1.
若未展示,洗牌.
本回合期间,选中技能的持有者释放技能时,根据其于本回合释放的技能数获得等量层残响收集(最少1,最多3).
回合结束时,若本回合至少触发过2次残响,下个回合传声展示的技能数增加1个,且改为放在牌堆顶;若上回合未展示技能,同样有效.
残响收集达到3层时解除并获得1层充能.","每回合开始时,展示牌堆顶的3个技能(跳过越祺和露西技能),选择其中1个放入牌堆底并使其费用-1.
若未展示,洗牌.
本回合期间,选中技能的持有者释放技能时,根据其于本回合释放的技能数获得等量层残响收集(最少1,最多3).
回合结束时,若本回合至少触发过2次残响,下个回合传声展示的技能数增加1个,且改为放在牌堆顶;若上回合未展示技能,同样有效.
残响收集达到3层时解除并获得1层充能.","每回合开始时,展示牌堆顶的3个技能(跳过越祺和露西技能),选择其中1个放入牌堆底并使其费用-1.
若未展示,洗牌.
本回合期间,选中技能的持有者释放技能时,根据其于本回合释放的技能数获得等量层残响收集(最少1,最多3).
回合结束时,若本回合至少触发过2次残响,下个回合传声展示的技能数增加1个,且改为放在牌堆顶;若上回合未展示技能,同样有效.
残响收集达到3层时解除并获得1层充能."
P_YueQSkin_Name,Text,,传声,传声,传声,传声,传声
S_YueQ_R2_N,Text,,"사용불가.
이 스킬이 패에 추가되면 패에 있는 스킬의 공명 특수 효과가 활성화되고,
이 스킬이 패에 있을 시, 패에 있는 의 공명 특수 효과가 활성화됩니다. 공명 효과가 5회 발동되면 버려집니다.
버려질 경우 변조*<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color> <color=#FFD700>x</color>,권능.",,,"无法使用;
加入手牌时,激活所有手牌的共鸣特效;此技能在手上时,激活进入手牌的所有技能的共鸣特效,触发5次后丢弃.
被丢弃时,变调*<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,充能",
S_YueQ_R2_S,Text,,"无法使用;
加入手牌时,激活所有手牌的共鸣特效并添加""传动""效果;此技能在手上时,为进入手牌的技能添加""传动""效果,触发5次后丢弃.
被丢弃时,变调*<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,充能","无法使用;
加入手牌时,激活所有手牌的共鸣特效并添加""传动""效果;此技能在手上时,为进入手牌的技能添加""传动""效果,触发5次后丢弃.
被丢弃时,变调*<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,充能","无法使用;
加入手牌时,激活所有手牌的共鸣特效并添加""传动""效果;此技能在手上时,为进入手牌的技能添加""传动""效果,触发5次后丢弃.
被丢弃时,变调*<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,充能","无法使用;
加入手牌时,激活所有手牌的共鸣特效并添加""传动""效果;此技能在手上时,为进入手牌的技能添加""传动""效果,触发5次后丢弃.
被丢弃时,变调*<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,充能","无法使用;
加入手牌时,激活所有手牌的共鸣特效并添加""传动""效果;此技能在手上时,为进入手牌的技能添加""传动""效果,触发5次后丢弃.
被丢弃时,变调*<color=#FF4500>R</color><color=#FF00FF>e</color><color=#1E90FF>m</color><color=#00FFFF>i</color><color=#FFD700>x</color>,充能"
System/Yueq_Select_0,Text,,시전 할 <color=#00FF7F>악보</color> 스킬을 선택하세요,,,选择释放的<color=#00FF7F>乐谱</color>技能,
