Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_YuyukoF_1_Description,Text,,,,,结算时降低&a最大体力值<color=#FF7A33>(&user的攻击力的50%)</color>。,
Buff/B_YuyukoF_1_Name,Text,,,,,轮回蝶,
Buff/B_YuyukoF_6_Description,Text,,,,,结算时降低&a最大体力值<color=#FF7A33>(&user攻击力的25%/每层)</color>。,
Buff/B_YuyukoF_6_Name,Text,,,,,妄死蝶,
Buff/B_YuyukoF_8_Description,Text,,,,,"受到的伤害降低为0，但&user增加等量于伤害值的<color=#FFB6C1>返魂值</color>。
&user陷入<color=#8B008B>永眠</color>时立即解除。",
Buff/B_YuyukoF_8_Name,Text,,,,,醉梦蝶,
Buff/B_YuyukoF_9_Description,Text,,,,,体力值不会降低至1以下。,
Buff/B_YuyukoF_9_Name,Text,,,,,樱散蝶,
Buff/B_YuyukoF_Butterfly_M_Description,Text,,,,,&effect,
Buff/B_YuyukoF_Butterfly_M_Name,Text,,,,,<color=#4876FF>幽冥蝶</color>,
Buff/B_YuyukoF_Butterfly_R_Description,Text,,,,,&effect,
Buff/B_YuyukoF_Butterfly_R_Name,Text,,,,,<color=#FF69B4>人魂蝶</color>,
Buff/B_YuyukoF_Die_Description,Text,,,,,,
Buff/B_YuyukoF_Die_Name,Text,,,,,死亡的边界,
Buff/B_YuyukoF_Ghost_Description,Text,,,,,当前有<color=#E066FF>&a</color>点<color=#E066FF>亡魂</color>。,
Buff/B_YuyukoF_Ghost_Name,Text,,,,,<color=#E066FF>唤魂</color>,
Buff/B_YuyukoF_P_1_Description,Text,,,,,当前<color=#FFB6C1>返魂值</color>为：<color=#FFB6C1>&a</color>,
Buff/B_YuyukoF_P_1_Name,Text,,,,,通常,
Buff/B_YuyukoF_P_2_Description,Text,,,,,当前<color=#FFB6C1>返魂值</color>为：<color=#FFB6C1>&a</color>,
Buff/B_YuyukoF_P_2_Name,Text,,,,,<color=#FF1493>华胥</color>,
Buff/B_YuyukoF_P_3_Description,Text,,,,,当前<color=#FFB6C1>返魂值</color>为：<color=#FFB6C1>&a</color>,
Buff/B_YuyukoF_P_3_Name,Text,,,,,<color=#8B008B>永眠</color>,
Buff/B_YuyukoF_Rare_2_Description,Text,,,,,每次有敌人死亡时，对所有敌人造成&a伤害<color=#FF7A33>(攻击力的50%)</color>。,
Buff/B_YuyukoF_Rare_2_Name,Text,,,,,黄泉蝶,
Buff/B_YuyukoF_Rare_3_1_Description,Text,,,,,"所有造成的伤害额外增加&a点<color=#FF7A33>(攻击力的35%)</color>，最多触发 10 次。
当前触发次数：&b",
Buff/B_YuyukoF_Rare_3_1_Name,Text,,,,,浮月蝶,
